Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
PD53330a	0	0	18	126	0	0	6
PD53332a	10	0	0	184	6	44	0
PD53332c	6	16	0	331	2	7	0
PD53333a	0	165	52	0	0	0	17
PD53333c	23	167	0	2	5	12	0
PD53333d	27	172	22	0	7	0	0
PD53333e	0	169	25	0	3	0	0
PD53343a	30	0	110	0	0	0	2
PD53343c	60	0	88	0	5	0	18
PD53343d	174	0	39	0	8	5	0
PD53343e	257	9	0	1	0	1	0
PD53343f	106	0	43	0	18	0	10
PD53343g	60	0	91	0	2	8	19
PD53347a	3	2	0	1	1	1	291
PD53349a	43	24	55	1	25	0	25
PD53349c	52	37	5	23	30	25	17
PD53350a	0	17	35	0	163	0	26
PD53350c	29	33	0	2	190	19	22
PD53352a	0	23	70	0	0	81	0
PD53352c	0	14	76	0	0	83	0
PD53355a	10	0	47	7	121	8	0
PD53357a	32	0	45	7	5	47	46
PD53359a	8	0	30	0	0	100	13
PD53364a	11	5	0	14	44	175	11
