Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
PD53330a	1.12E+00	1.59E-01	4.36E+00	4.04E+00	0.00E+00	6.00E-02	4.91E-01
PD53332a	1.07E+00	7.99E-01	1.05E+00	2.58E+00	9.53E-01	2.83E+00	1.07E-01
PD53332c	2.05E+00	1.67E+00	4.91E-01	4.16E+00	7.50E-01	4.09E+00	6.65E-01
PD53333a	2.25E+00	4.74E+00	5.00E+00	8.56E-02	8.67E-01	1.84E+00	7.12E-01
PD53333c	2.09E+00	3.87E+00	3.52E+00	3.55E-01	1.02E+00	2.04E+00	3.99E-01
PD53333d	2.37E+00	4.56E+00	4.13E+00	1.63E-01	9.05E-01	1.33E+00	2.69E-01
PD53333e	1.03E+00	4.12E+00	4.05E+00	1.69E-01	7.88E-01	1.23E+00	3.82E-01
PD53343a	3.78E+00	9.25E-01	3.91E+00	0.00E+00	5.11E-01	1.46E+00	7.81E-01
PD53343c	4.81E+00	1.01E+00	4.99E+00	0.00E+00	9.38E-01	5.96E-01	1.32E+00
PD53343d	5.89E+00	6.43E-01	5.90E+00	2.81E-02	9.50E-01	2.06E+00	1.50E+00
PD53343e	6.43E+00	1.52E+00	5.99E+00	9.47E-02	4.36E-01	1.83E+00	2.00E+00
PD53343f	4.48E+00	2.13E-01	4.47E+00	1.72E-01	1.30E+00	1.31E+00	1.43E+00
PD53343g	4.20E+00	1.08E+00	4.37E+00	2.31E-01	1.07E+00	1.97E+00	1.53E+00
PD53347a	2.79E+00	0.00E+00	4.81E-01	0.00E+00	0.00E+00	0.00E+00	2.81E+00
PD53349a	3.10E+00	1.65E+00	2.86E+00	4.11E-01	1.55E+00	2.07E+00	1.56E+00
PD53349c	2.94E+00	2.46E+00	2.42E+00	9.73E-01	1.49E+00	2.58E+00	1.77E+00
PD53350a	1.00E+00	3.13E+00	2.41E+00	2.59E-01	3.46E+00	1.49E+00	1.28E+00
PD53350c	3.25E+00	2.65E+00	2.46E+00	1.11E-01	3.96E+00	3.50E+00	1.23E+00
PD53352a	1.68E+00	3.61E+00	4.11E+00	3.84E-01	4.19E-01	4.45E+00	3.63E-01
PD53352c	2.17E+00	2.97E+00	4.26E+00	3.48E-01	9.58E-01	4.42E+00	6.34E-01
PD53355a	1.17E+00	7.26E-01	3.75E+00	7.84E-01	3.02E+00	2.62E+00	0.00E+00
PD53357a	4.10E+00	1.31E+00	3.78E+00	8.37E-01	1.83E+00	3.30E+00	1.53E+00
PD53359a	3.00E+00	1.53E+00	3.56E+00	2.36E-01	2.43E-01	4.10E+00	5.53E-01
PD53364a	3.21E+00	2.73E+00	2.93E+00	9.28E-01	2.19E+00	4.51E+00	9.73E-01
