MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
0:homdel:0-100kb	2.0405347779473003e-07	5.1248150096085966e-05	4.4639923800104954e-07	2.2178036463316175e-07	0.0041396574348797795	0.00016056584532397444	2.9061566721111375e-07
0:homdel:100kb-1Mb	2.2015325097157755e-07	5.1307333128107756e-05	4.703940239636495e-07	2.1977235725501032e-07	0.0032778714175202596	9.647383688228928e-05	2.7137504645224906e-07
0:homdel:>1Mb	4.5415032502660323e-07	4.387437729036492e-07	7.199974811555876e-07	3.8672427450592294e-07	3.6008443028201497e-07	5.360778878582551e-07	3.4212253353871346e-07
1:LOH:0-100kb	0.020782725709141234	0.013380915658781306	0.015236203814439762	0.024667150359600782	0.012778708162950353	0.011258536118399434	0.0033922828699886765
1:LOH:100kb-1Mb	0.00521408680905239	0.022745771390618758	0.024833817800972612	0.04567156726494431	0.01891163988155313	0.016456336218161595	0.03168797663412988
1:LOH:1Mb-10Mb	0.00038346786248894205	0.012742709608268114	0.008111959437461139	0.06608267053961754	0.002463553141429742	0.024297290209542553	0.017378211056347938
1:LOH:10Mb-40Mb	6.661429186628709e-05	1.9115536495029062e-07	0.0015189677190804573	0.049269489357247946	1.1181989060915501e-07	0.0007018496689792464	2.741263049443887e-07
1:LOH:>40Mb	0.001518873256491684	0.0050359595526992965	0.0024091349487176217	0.031149144442752005	0.004503854490176309	0.0005708979130470127	3.209905220913356e-07
2:LOH:0-100kb	0.001856510714213897	0.006362496559552539	0.006853421781194698	0.009314112183019745	0.0019835199048377694	0.01448000809950173	1.441873828511575e-07
2:LOH:100kb-1Mb	0.010915928457492327	0.04209093105979264	0.018348882180871443	0.02638092851266265	0.028612873837701044	0.04883982003782876	0.0031689311736582226
2:LOH:1Mb-10Mb	0.003759504021402158	0.08100381206721068	0.011776463725943813	0.014884929548208987	0.1162614659889141	0.0780585934638134	3.711121550509233e-08
2:LOH:10Mb-40Mb	0.013865453089905486	0.00035169813818470175	0.021440484473123432	0.011954832787797045	0.012791187261755113	0.08952970866113902	5.696013753109241e-08
2:LOH:>40Mb	0.014310795812465643	0.006448307470184886	0.0270294148218953	0.0005056934265284951	0.0016091720797771812	0.01594227012977967	0.007411549793323502
3-4:LOH:0-100kb	0.005420489867988749	0.015902886293645793	0.006226706709693417	0.0008829823603809928	0.00027866095731297945	0.005123805651160183	0.003066111954176165
3-4:LOH:100kb-1Mb	0.015384705181932077	0.024533621152127125	0.009569665086617635	0.004313027465979502	0.0013951802227893495	0.01682091871670025	0.03773012889083475
3-4:LOH:1Mb-10Mb	0.022616362553344517	0.07555933587253094	0.01108595029392916	0.003346210934032001	0.0036666331290257405	0.011486802083606307	0.07985473543405533
3-4:LOH:10Mb-40Mb	0.003527995926919516	0.009137701702543381	0.007668939905557579	0.001919588852266161	0.0043688423713177825	0.010940279395195701	0.04719980076886714
3-4:LOH:>40Mb	0.0008404790314168053	0.0036080952857173543	0.0035965676014417624	0.0009094541496480702	0.0024433213174740232	0.010268178715388671	0.01458800974926234
5-8:LOH:0-100kb	0.0034733869143314423	0.002225154714451918	0.0015023181813958075	7.1198590028132e-08	2.2629945704011335e-08	0.001375892220662891	0.007610841577098455
5-8:LOH:100kb-1Mb	0.004960634005551583	0.0018200462899043846	0.003560829092636766	1.1261623047431612e-08	0.0007963959011837574	0.00076888661515234	0.016159583107801155
5-8:LOH:1Mb-10Mb	0.00456751495763001	0.0013744314266315883	0.0011245888941620308	5.808639180315822e-08	1.817867945064222e-08	0.00019660819341847712	0.021538845945419213
5-8:LOH:10Mb-40Mb	0.00026537553291767325	0.0001074400340879933	0.0012114583140822076	0.0016068087639114026	4.6348825674455975e-05	4.5438545103912984e-05	0.011556858306848028
5-8:LOH:>40Mb	0.0001124782235636701	1.1821988133053907e-05	0.00014722746076924743	2.711043544856295e-07	4.4960984375688184e-05	0.00023627220885092727	0.008229890439269241
9+:LOH:0-100kb	0.0007529643782866913	2.5145240080348684e-07	0.00022468910221874695	2.644543118890397e-07	1.943775252755131e-07	4.9286103099746014e-05	3.2874142064542866e-07
9+:LOH:100kb-1Mb	7.571312066261271e-06	0.022313094518490964	0.004223977358844415	1.0168927119025283e-07	0.0014528594857124589	5.0548048093901344e-08	0.002717008684794575
9+:LOH:1Mb-10Mb	2.0202379187210796e-05	0.002374579208490388	0.00023047604010727695	3.1331663564060363e-07	1.6742318948104184e-07	2.9201927000599424e-05	2.776661879977382e-07
9+:LOH:10Mb-40Mb	3.2167385882075906e-07	3.6777261122722396e-07	5.522405839997191e-07	3.4708671154959346e-07	2.6573032836374465e-07	4.4934387744888226e-07	0.0018006428345924519
9+:LOH:>40Mb	4.5415032502660323e-07	4.387437729036492e-07	7.199974811555876e-07	3.8672427450592294e-07	3.6008443028201497e-07	5.360778878582551e-07	3.4212253353871346e-07
2:het:0-100kb	0.02073715432547033	0.004439382048846739	0.0132508991154873	0.022901115752756596	0.010983840410929133	0.03551920089113992	0.0030917789338711986
2:het:100kb-1Mb	0.005927481832331978	0.007160698830215218	0.016365723531464482	0.07370165709406137	0.012526992222992703	0.01862169654224999	0.003086046809770835
2:het:1Mb-10Mb	0.0001039321095129253	0.00522525334753297	0.014065832351429428	0.2117158617079258	0.008891697179901	0.0064601376381290265	9.391827211047143e-08
2:het:10Mb-40Mb	0.0033515682550611064	9.915477621582624e-05	0.01691062970136045	0.10455266077071429	2.986413903727225e-08	0.0027936386519124314	3.8293027310132286e-05
2:het:>40Mb	8.139988320593261e-05	8.505742364661728e-08	0.015311802989822319	0.04635062935449241	0.0019548599615762186	0.004476789035097077	2.3166971963917148e-07
3-4:het:0-100kb	0.02880252752453089	0.03146182600408792	0.05515268682735041	0.01942932380363345	0.030278794239275156	0.024746831279671255	0.025639263912308988
3-4:het:100kb-1Mb	0.07218240255489945	0.07599272703751922	0.07973771308083087	0.036459363074973224	0.06504103261977434	0.05973216813057661	0.019574247756972907
3-4:het:1Mb-10Mb	0.21752615556120872	0.16114816918969155	0.0980203604325652	0.08844466611742974	0.07128204370848834	0.1533018547296524	0.05760569555219263
3-4:het:10Mb-40Mb	0.14940418366342784	0.09358853107318282	0.12545629271829284	0.00889113111225015	0.03705736834323034	0.1338987147761509	0.023314841212704777
3-4:het:>40Mb	0.05975729802623391	0.0977512965417941	0.1301038586627692	0.00011708354111760854	0.07413896948867205	0.07960926399811342	0.010372523869737051
5-8:het:0-100kb	0.03110379689373076	0.037365893704118205	0.03357952561573143	0.011967050498351455	0.03449581380002201	0.027319451994262636	0.02585169283207506
5-8:het:100kb-1Mb	0.05928690060565714	0.03883020550943911	0.042422870723530653	0.021689498708583416	0.05993776423856616	0.01701609946680785	0.03902028773911297
5-8:het:1Mb-10Mb	0.10601779531687498	0.0323899000919755	0.04211598954629153	0.03465479141101241	0.03624274852760664	0.03828881922422851	0.19766152113676072
5-8:het:10Mb-40Mb	0.06114409558496845	0.00029987432885491216	0.03732042315155923	0.007753811402870951	0.004338057955109207	0.005939746971010038	0.11202792897820472
5-8:het:>40Mb	0.007225845358981076	0.0016237509170273867	0.028151689698880062	9.575112507320682e-09	0.019272811409531413	0.005338717069639926	0.015144931869687071
9+:het:0-100kb	0.006268557065467917	0.04345846779644489	0.03365479703585379	0.005874108090715709	0.02679741633590311	0.005037654954703612	0.005437820493515
9+:het:100kb-1Mb	0.02155063363024965	0.01894323353364598	0.01975032074407771	0.010189109363454917	0.19214363008737564	0.004862083389075451	0.04718112139031291
9+:het:1Mb-10Mb	0.014902053809564678	0.0009859731421505557	0.01025154921359757	0.0011942695415345383	0.09278759662061929	0.019301093094954636	0.08902999710291624
9+:het:10Mb-40Mb	1.5511352962960246e-07	1.6281805443441044e-07	0.0004414311587329678	0.0012522707605749162	6.918758256979629e-08	1.2122371053635562e-07	0.008674081956297925
9+:het:>40Mb	2.8894530785805727e-07	3.5605235787272705e-07	5.572685608257189e-07	3.3956234098297953e-07	2.548651180944717e-07	4.2073954958254945e-07	0.002153495339251492
