MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
0:homdel:0-100kb	2.75E-08	5.11E-05	4.46E-08	1.48E-08	2.64E-04	1.60E-04	2.19E-08
0:homdel:100kb-1Mb	2.56E-08	5.11E-05	4.59E-08	1.53E-08	2.28E-04	9.62E-05	1.57E-08
0:homdel:>1Mb	1.30E-08	8.97E-09	1.35E-08	4.61E-09	6.97E-09	1.34E-08	2.60E-09
1:LOH:0-100kb	1.04E-03	7.31E-04	1.35E-03	6.86E-04	8.00E-04	1.27E-03	3.51E-04
1:LOH:100kb-1Mb	7.44E-04	1.02E-03	1.62E-03	8.55E-04	9.35E-04	1.24E-03	1.22E-03
1:LOH:1Mb-10Mb	2.28E-04	7.88E-04	1.28E-03	1.28E-03	4.31E-04	2.00E-03	8.07E-04
1:LOH:10Mb-40Mb	6.62E-05	1.87E-08	5.96E-04	9.21E-04	1.22E-08	5.53E-04	1.38E-08
1:LOH:>40Mb	2.21E-04	3.89E-04	6.45E-04	6.97E-04	3.74E-04	2.47E-04	6.81E-08
2:LOH:0-100kb	5.06E-04	4.35E-04	7.51E-04	5.43E-04	2.99E-04	9.57E-04	1.50E-08
2:LOH:100kb-1Mb	1.40E-03	1.55E-03	1.98E-03	9.02E-04	1.23E-03	2.45E-03	3.29E-04
2:LOH:1Mb-10Mb	1.03E-03	3.26E-03	2.10E-03	1.04E-03	3.23E-03	3.79E-03	1.71E-08
2:LOH:10Mb-40Mb	1.20E-03	3.52E-04	2.65E-03	8.05E-04	9.25E-04	3.19E-03	1.61E-08
2:LOH:>40Mb	9.19E-04	5.27E-04	2.13E-03	1.03E-04	3.34E-04	1.21E-03	5.06E-04
3-4:LOH:0-100kb	7.62E-04	8.04E-04	8.71E-04	1.27E-04	8.06E-05	6.78E-04	3.98E-04
3-4:LOH:100kb-1Mb	1.26E-03	9.92E-04	1.19E-03	3.87E-04	2.84E-04	1.31E-03	1.54E-03
3-4:LOH:1Mb-10Mb	1.70E-03	1.82E-03	2.21E-03	4.47E-04	6.41E-04	1.41E-03	1.81E-03
3-4:LOH:10Mb-40Mb	7.49E-04	5.69E-04	1.14E-03	2.39E-04	4.62E-04	9.22E-04	2.17E-03
3-4:LOH:>40Mb	3.79E-04	3.80E-04	6.89E-04	1.53E-04	3.36E-04	8.11E-04	1.17E-03
5-8:LOH:0-100kb	3.96E-04	2.67E-04	3.19E-04	1.29E-08	1.19E-08	3.11E-04	5.73E-04
5-8:LOH:100kb-1Mb	4.43E-04	2.41E-04	5.67E-04	4.07E-09	1.47E-04	2.27E-04	1.01E-03
5-8:LOH:1Mb-10Mb	4.22E-04	1.68E-04	2.62E-04	1.35E-08	6.32E-09	1.97E-04	1.00E-03
5-8:LOH:10Mb-40Mb	1.32E-04	1.07E-04	4.87E-04	2.39E-04	4.62E-05	3.13E-05	6.66E-04
5-8:LOH:>40Mb	5.64E-05	1.14E-05	9.89E-05	1.85E-08	3.36E-05	9.07E-05	5.08E-04
9+:LOH:0-100kb	9.89E-05	2.35E-08	6.21E-05	1.61E-08	2.02E-08	2.83E-05	2.82E-08
9+:LOH:100kb-1Mb	7.46E-06	1.13E-03	1.21E-03	1.51E-08	3.04E-04	1.41E-08	3.08E-04
9+:LOH:1Mb-10Mb	1.98E-05	1.87E-04	1.25E-04	1.55E-08	2.35E-08	2.89E-05	2.39E-08
9+:LOH:10Mb-40Mb	2.64E-08	1.74E-08	3.56E-08	1.18E-08	1.68E-08	2.21E-08	2.12E-04
9+:LOH:>40Mb	1.30E-08	8.97E-09	1.35E-08	4.61E-09	6.97E-09	1.34E-08	2.60E-09
2:het:0-100kb	1.76E-03	6.64E-04	1.52E-03	6.99E-04	8.65E-04	2.10E-03	3.37E-04
