Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
PD53330a	0	0	0	84	0	0	0	66
PD53332a	4	0	0	183	51	2	4	0
PD53332c	11	6	0	339	3	3	0	0
PD53333a	0	180	36	0	0	0	17	1
PD53333c	25	147	0	3	32	2	0	0
PD53333d	35	172	13	2	2	4	0	0
PD53333e	0	176	16	1	4	0	0	0
PD53343a	22	0	91	0	0	0	9	20
PD53343c	51	0	66	0	0	4	21	29
PD53343d	165	0	45	0	0	9	7	0
PD53343e	250	11	0	3	2	0	2	0
PD53343f	98	0	40	0	0	18	19	2
PD53343g	55	0	87	0	0	2	30	6
PD53347a	0	3	2	1	0	0	293	0
PD53349a	33	29	30	0	5	21	22	33
PD53349c	37	28	0	8	36	24	10	46
PD53350a	0	32	16	0	0	147	21	25
PD53350c	14	36	0	0	32	166	20	27
PD53352a	0	5	105	4	60	0	0	0
PD53352c	5	0	106	2	60	0	0	0
PD53355a	15	0	53	12	0	113	0	0
PD53357a	29	0	19	0	40	3	33	58
PD53359a	4	0	22	0	87	0	6	32
PD53364a	13	0	0	11	185	39	12	0
