Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
PD53330a	5.50E-01	4.09E-01	5.61E-01	6.32E+00	0.00E+00	0.00E+00	4.34E-01	6.76E+00
PD53332a	1.19E+00	7.06E-01	5.95E-01	3.31E+00	3.26E+00	6.54E-01	0.00E+00	2.65E+00
PD53332c	1.78E+00	8.94E-01	5.86E-01	3.65E+00	2.85E+00	7.85E-01	5.17E-01	2.45E+00
PD53333a	2.18E+00	4.87E+00	3.89E+00	1.16E-01	2.06E+00	6.72E-01	6.24E-01	3.19E+00
PD53333c	2.20E+00	4.94E+00	4.13E+00	3.57E-01	3.29E+00	9.07E-01	2.93E-01	1.09E+00
PD53333d	2.27E+00	4.62E+00	3.98E+00	2.02E-01	2.93E+00	6.41E-01	3.71E-01	2.04E+00
PD53333e	1.18E+00	4.13E+00	3.53E+00	2.16E-01	2.73E+00	6.19E-01	3.30E-01	1.66E+00
PD53343a	3.59E+00	8.24E-01	3.40E+00	0.00E+00	1.03E+00	5.76E-01	5.80E-01	3.33E+00
PD53343c	4.65E+00	1.09E+00	4.32E+00	0.00E+00	8.41E-01	1.15E+00	1.25E+00	3.94E+00
PD53343d	5.06E+00	3.37E-01	3.64E+00	0.00E+00	1.74E+00	1.08E+00	1.38E+00	3.62E+00
PD53343e	5.95E+00	1.13E+00	3.16E+00	7.00E-02	2.62E+00	7.41E-01	1.62E+00	4.91E+00
PD53343f	4.26E+00	2.29E-01	3.16E+00	1.68E-01	1.71E+00	1.29E+00	1.39E+00	3.48E+00
PD53343g	3.30E+00	7.12E-01	3.03E+00	2.21E-01	1.49E+00	1.10E+00	1.31E+00	3.41E+00
PD53347a	5.99E-01	1.70E-01	7.06E-01	0.00E+00	0.00E+00	5.50E-01	2.74E+00	2.58E+00
PD53349a	2.92E+00	1.63E+00	2.81E+00	4.07E-01	2.07E+00	1.50E+00	1.66E+00	2.69E+00
PD53349c	2.58E+00	2.44E+00	3.29E+00	1.04E+00	2.54E+00	1.31E+00	1.83E+00	3.34E+00
PD53350a	1.04E+00	3.04E+00	1.62E+00	2.36E-01	1.43E+00	3.83E+00	1.14E+00	3.25E+00
PD53350c	2.84E+00	3.68E+00	2.69E+00	9.85E-02	3.60E+00	5.02E+00	1.09E+00	3.91E+00
PD53352a	1.77E+00	3.07E+00	4.42E+00	4.28E-01	4.53E+00	4.79E-01	2.68E-01	1.43E+00
PD53352c	2.20E+00	2.20E+00	4.24E+00	3.41E-01	4.37E+00	9.05E-01	6.00E-01	1.24E+00
PD53355a	1.89E+00	4.19E-01	3.53E+00	7.49E-01	3.12E+00	3.44E+00	0.00E+00	2.31E+00
PD53357a	3.98E+00	1.34E+00	2.77E+00	8.34E-01	2.96E+00	1.45E+00	1.32E+00	4.33E+00
PD53359a	2.26E+00	8.69E-01	3.47E+00	1.68E-01	4.24E+00	0.00E+00	3.18E-01	3.89E+00
PD53364a	2.79E+00	2.03E+00	4.62E+00	9.28E-01	5.02E+00	2.14E+00	1.10E+00	2.94E+00
