MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
0:homdel:0-100kb	1.7492716560596478e-07	0.0001652355939143746	3.264011008807799e-07	1.681821816035267e-07	0.0001625622239149216	0.004361514343218005	2.387399586467609e-07	0.00026339286014383847
0:homdel:100kb-1Mb	1.8838489888040044e-07	8.583918623647157e-05	3.779974056250523e-07	1.8079893418843085e-07	9.768607338582313e-05	0.0034472417273948962	2.5113238962148897e-07	0.0001436083289780553
0:homdel:>1Mb	4.31259745816704e-07	4.5123638095390104e-07	7.109202591237817e-07	3.5132150074446143e-07	4.88778474192486e-07	3.3765508869354474e-07	3.354920974629749e-07	6.593499372797851e-07
1:LOH:0-100kb	0.017907120397139806	0.012478432394564152	0.01508256093172804	0.02484296578913927	0.012645778924147635	0.01256633923507252	0.0033395576455258437	0.01950361264141975
1:LOH:100kb-1Mb	0.0043231171835796545	0.0221890335745411	0.022969094578875228	0.04626601379364729	0.018613435351289807	0.019596317875329988	0.030479107691207902	0.02481717516668141
1:LOH:1Mb-10Mb	1.457476657392931e-05	0.012493491914628976	0.006058171783502644	0.06849757220596076	0.025055807584354852	0.001800937850491664	0.01729834358047242	0.021427171034123945
1:LOH:10Mb-40Mb	3.6429240495294836e-07	1.9518671216189886e-07	3.8848397353038864e-05	0.05305085688829422	0.0009476627193159004	8.618903805768241e-08	2.8991172570158595e-07	0.004759113062089284
1:LOH:>40Mb	0.001292773673953498	0.0051412283982337215	0.0004885141246720082	0.031175947673618795	0.0009271042350736991	0.0046265650741065655	2.085813299856909e-07	0.009621689082199226
2:LOH:0-100kb	0.0014679208752590611	0.006523236125391918	0.00810862323183585	0.009819158880673626	0.014759609989035881	0.0017935172936150146	1.3414456070393044e-07	0.0044250740162206535
2:LOH:100kb-1Mb	0.011431239509002893	0.037725378861650824	0.026817368183055804	0.027566763697889768	0.05111888438463211	0.02789665613199759	0.0030727935394575566	0.017014093492364282
2:LOH:1Mb-10Mb	0.0017036537701115861	0.07876849973989465	0.016982589071342317	0.01781772750533662	0.09036783036775888	0.11841582225686124	2.3284130676870517e-08	0.02112673571133243
2:LOH:10Mb-40Mb	0.01319963705333862	2.1118673190869687e-05	0.03312610998004402	0.013865324342991982	0.0829105229756533	0.011221607974068775	5.42142327120132e-08	0.015393855749129944
2:LOH:>40Mb	0.016303290614394114	0.004846717074026401	0.0321480946206561	0.00048051875485928856	0.013001264915619402	0.0017171294166547632	0.007616192095447331	0.007641979966126335
3-4:LOH:0-100kb	0.006067943218018854	0.014435342872707225	0.010036298267318387	0.0010571490550198349	0.006022722363907604	0.000200829752128584	0.0030746423565601332	0.0010250642871973525
3-4:LOH:100kb-1Mb	0.014958394528039208	0.02129529138786495	0.015150144538022516	0.005513028506244808	0.019909405097832858	0.0009755159383323075	0.03675669872201979	0.00751253463808748
3-4:LOH:1Mb-10Mb	0.022200782595027703	0.07392105128616094	0.01837093731912546	0.004766125368067833	0.015699758463576928	0.0034672969279370136	0.07954227678477764	0.011284338567264811
3-4:LOH:10Mb-40Mb	0.0016096136983560427	0.008073152429288157	0.01310088286318164	0.0025986097635666196	0.011734138278731052	0.00458341438077241	0.045779371997341514	0.004894496299660389
3-4:LOH:>40Mb	0.00010041466656915076	0.0032872013196505634	0.006397330315173235	0.0007773881119913017	0.009990763392637237	0.0022097520926261894	0.013416297837046044	0.004670218770087473
5-8:LOH:0-100kb	0.0033624934141523967	0.0015641527432711654	0.0021032254926359427	9.444445748130192e-08	0.001905561758109826	1.559728396216542e-08	0.007994039826444919	0.0014016370672355937
5-8:LOH:100kb-1Mb	0.005161705649814223	0.0019189664526476236	0.004092604517911127	2.7827795605617212e-08	0.0008524018953691837	0.0009942111529650788	0.01670992285757393	0.002183245889567793
5-8:LOH:1Mb-10Mb	0.005486720010262331	0.001616388218442637	0.0004327455082948006	5.6055661539211596e-08	0.00019476181183812003	3.99957108143667e-08	0.02276369573011152	0.0014091523215680013
5-8:LOH:10Mb-40Mb	0.0001222500843961427	2.2681830175841355e-07	0.0002876439629387306	0.0009820015849583718	0.00042016865470252186	9.835822306625275e-08	0.011324976984361967	0.0036819574206881354
5-8:LOH:>40Mb	2.2851622115140912e-05	2.537414728627674e-05	0.000306842568015302	2.1315464472593247e-07	5.3118445389319645e-05	7.764637766271675e-05	0.008446236441716621	0.0007930605284590087
9+:LOH:0-100kb	0.0009982873800641202	2.7196963316100663e-07	7.385115252301234e-05	2.488403565337194e-07	2.5056571986148413e-05	2.1062049514686266e-07	3.0575146077183034e-07	4.644533880437507e-05
9+:LOH:100kb-1Mb	5.810847449438939e-08	0.02745177745764977	0.0012686651109174818	1.4263650406576288e-07	1.726126070167311e-07	0.000899200532617499	0.0026074532018614603	0.0023362172666314507
9+:LOH:1Mb-10Mb	4.7413918249361584e-07	0.0025557857699658373	0.00013438318562933205	3.1253932647246075e-07	0.00018778038871786862	1.6916928143984045e-07	2.709812780210541e-07	6.237134408593193e-07
9+:LOH:10Mb-40Mb	2.986407736216279e-07	3.834101319455385e-07	5.443251824033268e-07	3.029076515304041e-07	3.9719354120393293e-07	2.7298015924603903e-07	0.0019378555713177549	3.591508198912408e-05
