MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
0:homdel:0-100kb	2.59E-08	8.58E-05	3.87E-08	1.31E-08	1.62E-04	3.44E-04	1.55E-08	1.57E-04
0:homdel:100kb-1Mb	2.63E-08	6.35E-05	3.66E-08	1.39E-08	9.73E-05	2.57E-04	1.56E-08	1.02E-04
0:homdel:>1Mb	1.19E-08	9.24E-09	1.71E-08	6.33E-09	1.51E-08	1.03E-08	5.15E-09	1.47E-08
1:LOH:0-100kb	1.00E-03	6.36E-04	1.54E-03	6.48E-04	1.29E-03	8.17E-04	3.52E-04	1.67E-03
1:LOH:100kb-1Mb	5.82E-04	1.08E-03	1.75E-03	1.00E-03	1.63E-03	1.08E-03	1.16E-03	1.98E-03
1:LOH:1Mb-10Mb	1.46E-05	7.92E-04	1.13E-03	1.34E-03	2.07E-03	4.29E-04	7.78E-04	2.44E-03
1:LOH:10Mb-40Mb	2.66E-08	1.68E-08	3.74E-05	9.93E-04	7.99E-04	1.25E-08	1.32E-08	7.50E-04
1:LOH:>40Mb	1.50E-04	3.59E-04	1.71E-04	8.10E-04	4.43E-04	4.14E-04	4.45E-08	1.36E-03
2:LOH:0-100kb	4.89E-04	4.81E-04	8.24E-04	5.78E-04	1.31E-03	3.18E-04	1.52E-08	8.37E-04
2:LOH:100kb-1Mb	1.54E-03	1.61E-03	2.67E-03	9.51E-04	2.74E-03	1.57E-03	3.16E-04	1.62E-03
2:LOH:1Mb-10Mb	4.41E-04	4.31E-03	2.98E-03	1.11E-03	4.34E-03	4.01E-03	1.00E-08	3.88E-03
2:LOH:10Mb-40Mb	1.25E-03	2.11E-05	3.15E-03	9.48E-04	4.56E-03	9.66E-04	1.70E-08	2.87E-03
2:LOH:>40Mb	1.40E-03	4.77E-04	2.13E-03	1.15E-04	1.18E-03	3.63E-04	5.28E-04	1.35E-03
3-4:LOH:0-100kb	6.73E-04	8.55E-04	1.15E-03	1.39E-04	9.84E-04	8.07E-05	3.55E-04	4.48E-04
3-4:LOH:100kb-1Mb	1.24E-03	1.03E-03	1.56E-03	5.22E-04	1.60E-03	2.33E-04	1.37E-03	1.56E-03
3-4:LOH:1Mb-10Mb	1.73E-03	2.20E-03	2.36E-03	5.47E-04	2.18E-03	6.40E-04	1.94E-03	2.59E-03
3-4:LOH:10Mb-40Mb	4.52E-04	6.10E-04	1.28E-03	2.77E-04	1.20E-03	5.07E-04	1.72E-03	1.17E-03
3-4:LOH:>40Mb	1.00E-04	3.58E-04	1.04E-03	1.27E-04	9.03E-04	3.43E-04	1.01E-03	1.11E-03
5-8:LOH:0-100kb	4.09E-04	1.86E-04	3.66E-04	1.54E-08	4.64E-04	7.68E-09	6.41E-04	3.76E-04
5-8:LOH:100kb-1Mb	5.06E-04	2.57E-04	8.25E-04	8.35E-09	2.37E-04	2.93E-04	1.10E-03	6.25E-04
5-8:LOH:1Mb-10Mb	4.59E-04	2.00E-04	1.87E-04	1.08E-08	1.20E-04	1.18E-08	1.09E-03	4.14E-04
5-8:LOH:10Mb-40Mb	7.59E-05	2.73E-08	1.53E-04	1.74E-04	2.79E-04	1.76E-08	6.90E-04	7.32E-04
5-8:LOH:>40Mb	1.60E-05	2.50E-05	1.41E-04	1.64E-08	5.24E-05	7.73E-05	5.15E-04	3.13E-04
9+:LOH:0-100kb	1.07E-04	2.48E-08	4.26E-05	1.69E-08	2.47E-05	2.71E-08	2.94E-08	2.65E-05
9+:LOH:100kb-1Mb	2.35E-08	1.33E-03	5.74E-04	1.57E-08	5.77E-08	2.62E-04	3.10E-04	1.05E-03
9+:LOH:1Mb-10Mb	1.34E-07	2.27E-04	5.87E-05	1.46E-08	9.52E-05	2.17E-08	1.96E-08	5.38E-08
9+:LOH:10Mb-40Mb	2.27E-08	1.64E-08	3.16E-08	1.25E-08	2.38E-08	1.62E-08	2.39E-04	3.53E-05
9+:LOH:>40Mb	1.19E-08	9.24E-09	1.71E-08	6.33E-09	1.51E-08	1.03E-08	5.15E-09	1.47E-08
2:het:0-100kb	1.93E-03	6.16E-04	2.32E-03	7.41E-04	2.37E-03	9.29E-04	2.94E-04	1.83E-03
2:het:100kb-1Mb	5.78E-04	5.95E-04	1.30E-03	1.36E-03	1.57E-03	8.11E-04	3.29E-04	3.58E-03
2:het:1Mb-10Mb	5.06E-06	4.26E-04	5.43E-04	2.33E-03	1.32E-03	6.92E-04	1.60E-08	6.55E-03
2:het:10Mb-40Mb	3.21E-04	2.30E-05	4.49E-04	2.97E-03	8.64E-04	4.12E-05	4.19E-08	7.62E-03
2:het:>40Mb	1.78E-08	2.66E-08	2.48E-04	2.08E-03	6.62E-04	2.38E-04	1.40E-08	6.38E-03
3-4:het:0-100kb	1.78E-03	1.50E-03	2.84E-03	7.92E-04	1.77E-03	1.58E-03	9.94E-04	3.06E-03
3-4:het:100kb-1Mb	2.47E-03	2.21E-03	3.24E-03	9.98E-04	2.73E-03	2.28E-03	1.01E-03	3.23E-03
3-4:het:1Mb-10Mb	6.43E-03	4.87E-03	6.40E-03	2.79E-03	6.32E-03	3.55E-03	1.79E-03	6.10E-03
3-4:het:10Mb-40Mb	3.67E-03	3.14E-03	5.96E-03	9.16E-04	4.94E-03	2.66E-03	1.31E-03	5.57E-03
3-4:het:>40Mb	3.08E-03	3.36E-03	4.66E-03	0.00E+00	4.70E-03	3.18E-03	7.60E-04	6.45E-03
5-8:het:0-100kb	1.63E-03	1.32E-03	1.90E-03	6.66E-04	1.78E-03	1.31E-03	9.64E-04	2.14E-03
5-8:het:100kb-1Mb	2.13E-03	2.03E-03	3.35E-03	7.02E-04	2.24E-03	2.10E-03	1.51E-03	3.62E-03
5-8:het:1Mb-10Mb	5.55E-03	3.18E-03	3.69E-03	1.01E-03	4.73E-03	2.86E-03	4.16E-03	8.33E-03
5-8:het:10Mb-40Mb	2.90E-03	1.99E-04	2.53E-03	5.84E-04	1.50E-03	6.81E-04	2.72E-03	4.61E-03
5-8:het:>40Mb	7.64E-04	3.14E-04	2.68E-03	3.72E-09	7.56E-04	1.21E-03	7.84E-04	2.09E-03
9+:het:0-100kb	2.03E-03	2.01E-03	2.23E-03	4.11E-04	9.03E-04	1.41E-03	4.50E-04	2.21E-03
9+:het:100kb-1Mb	3.05E-03	1.74E-03	3.06E-03	8.07E-04	2.35E-03	3.99E-03	1.34E-03	2.62E-03
9+:het:1Mb-10Mb	1.23E-03	1.74E-04	3.26E-03	2.87E-04	2.12E-03	3.01E-03	2.50E-03	1.77E-03
9+:het:10Mb-40Mb	2.03E-08	2.35E-08	3.73E-08	1.32E-04	2.98E-08	1.59E-08	4.88E-04	4.68E-04
9+:het:>40Mb	2.34E-08	1.92E-08	3.36E-08	1.35E-08	2.72E-08	1.82E-08	2.35E-04	5.46E-08
