Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
PD53330a	0	0	95	0	0	0	0	0	55
PD53332a	7	0	175	0	2	0	49	2	9
PD53332c	13	3	327	0	3	0	16	0	0
PD53333a	0	180	0	33	0	13	0	8	0
PD53333c	33	145	3	0	8	0	20	0	0
PD53333d	39	164	0	0	8	2	0	0	15
PD53333e	0	168	0	9	3	2	3	0	12
PD53343a	23	0	0	41	0	78	0	0	0
PD53343c	41	0	0	76	6	46	0	2	0
PD53343d	139	0	0	35	3	41	0	8	0
PD53343e	226	0	1	32	0	0	0	9	0
PD53343f	95	0	0	0	13	33	0	25	11
PD53343g	51	0	0	34	2	72	0	21	0
PD53347a	2	1	1	6	2	1	0	286	0
PD53349a	29	21	0	40	19	11	0	12	41
PD53349c	35	11	0	9	16	0	20	14	84
PD53350a	0	29	0	48	149	3	0	8	4
PD53350c	0	19	0	70	163	0	31	1	11
PD53352a	0	25	4	0	0	85	60	0	0
PD53352c	17	12	2	0	1	84	57	0	0
PD53355a	27	0	12	0	112	42	0	0	0
PD53357a	0	0	11	123	4	9	31	4	0
PD53359a	0	0	0	58	0	14	79	0	0
PD53364a	8	6	10	15	39	7	167	8	0
