Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
PD53330a	5.91E-01	1.97E-01	6.09E+00	1.17E+00	0.00E+00	8.02E-01	0.00E+00	3.15E-01	6.96E+00
PD53332a	9.30E-01	1.31E-01	3.79E+00	1.45E+00	6.46E-01	6.16E-01	2.61E+00	8.00E-02	3.77E+00
PD53332c	1.29E+00	1.35E+00	3.75E+00	1.14E+00	5.70E-01	7.40E-01	3.08E+00	5.89E-01	3.14E+00
PD53333a	2.21E+00	5.06E+00	9.41E-02	4.22E+00	6.69E-01	3.63E+00	1.71E+00	6.80E-01	2.29E+00
PD53333c	2.91E+00	4.90E+00	3.41E-01	1.21E+00	7.81E-01	2.36E+00	1.55E+00	3.47E-01	3.78E+00
PD53333d	2.95E+00	4.74E+00	1.85E-01	2.77E+00	4.64E-01	2.68E+00	1.41E+00	3.49E-01	3.23E+00
PD53333e	1.95E+00	4.24E+00	2.00E-01	1.80E+00	4.92E-01	2.33E+00	1.93E+00	3.35E-01	3.46E+00
PD53343a	2.99E+00	1.05E+00	0.00E+00	3.15E+00	5.02E-01	3.03E+00	8.13E-01	6.50E-01	2.08E+00
PD53343c	3.73E+00	1.09E+00	0.00E+00	4.49E+00	9.45E-01	3.82E+00	8.03E-01	1.13E+00	2.27E+00
PD53343d	5.73E+00	4.34E-01	2.00E-02	5.03E+00	9.20E-01	3.36E+00	1.21E+00	1.11E+00	2.43E+00
PD53343e	7.86E+00	1.13E+00	6.00E-02	7.78E+00	6.30E-01	2.01E+00	1.69E+00	1.38E+00	2.18E+00
PD53343f	4.45E+00	2.03E-01	1.83E-01	4.29E+00	1.44E+00	2.63E+00	7.58E-01	1.32E+00	2.97E+00
PD53343g	3.37E+00	7.88E-01	1.78E-01	3.34E+00	9.47E-01	2.99E+00	1.34E+00	1.42E+00	1.43E+00
PD53347a	8.41E-01	3.39E-01	0.00E+00	2.44E+00	5.81E-01	4.12E-01	2.10E-01	2.87E+00	1.20E+00
PD53349a	2.46E+00	1.50E+00	3.62E-01	3.21E+00	1.60E+00	2.30E+00	2.15E+00	1.70E+00	3.08E+00
PD53349c	2.39E+00	1.94E+00	1.03E+00	2.55E+00	1.28E+00	2.41E+00	2.74E+00	1.90E+00	4.06E+00
PD53350a	7.71E-01	2.84E+00	2.17E-01	3.10E+00	4.09E+00	1.64E+00	1.31E+00	9.60E-01	4.18E+00
PD53350c	2.40E+00	1.88E+00	7.83E-02	4.68E+00	5.05E+00	1.69E+00	2.55E+00	5.72E-01	5.06E+00
PD53352a	2.49E+00	3.17E+00	4.13E-01	1.29E+00	2.55E-01	4.05E+00	4.10E+00	1.73E-01	2.70E+00
PD53352c	2.71E+00	2.52E+00	2.52E-01	1.62E+00	6.57E-01	3.75E+00	3.73E+00	4.93E-01	2.65E+00
PD53355a	1.41E+00	1.02E+00	7.89E-01	1.80E+00	3.50E+00	3.56E+00	2.46E+00	0.00E+00	2.95E+00
PD53357a	3.02E+00	9.43E-01	8.24E-01	3.94E+00	1.37E+00	2.58E+00	2.56E+00	1.18E+00	2.53E+00
PD53359a	1.60E+00	4.74E-01	0.00E+00	3.78E+00	0.00E+00	3.77E+00	4.45E+00	2.20E-01	2.50E+00
PD53364a	2.84E+00	1.54E+00	8.86E-01	3.00E+00	1.98E+00	3.21E+00	4.42E+00	7.37E-01	3.34E+00
