MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
0:homdel:0-100kb	1.8005951815780463e-07	1.5661041626202633e-07	2.191213612690035e-07	0.0003266012642314564	0.004537478818830039	0.00010760446335950747	2.371866990813487e-07	2.380056257322849e-07	0.00045091480314702893
0:homdel:100kb-1Mb	1.7924517749179357e-07	1.7448725250446273e-07	2.46282234517281e-07	0.0001355569952475122	0.003680669314051812	0.0001076660708784516	2.213353949898078e-07	2.4305199730179084e-07	0.00030333928461679705
0:homdel:>1Mb	4.0396366296491237e-07	4.602457612179485e-07	3.602123734935958e-07	5.65312334899204e-07	3.4714223531295827e-07	7.726577759115116e-07	4.5730064286431115e-07	3.316867305613869e-07	5.999954354507508e-07
1:LOH:0-100kb	0.01918163451056216	0.012103183331200853	0.024968089824542402	0.012946833849500763	0.011734654749161563	0.018358792181716127	0.012022293906950381	0.003101943756077361	0.020690862037008633
1:LOH:100kb-1Mb	0.003156668095968058	0.02300828588255172	0.04723838342353701	0.015520555200055242	0.01918932557455264	0.026526680675451643	0.016996808957774192	0.031007828151341527	0.022273952863761225
1:LOH:1Mb-10Mb	0.0005209823274557834	0.01400570736906957	0.06824544318020344	0.004516564062831776	0.0017277547285084439	0.004233096552080013	0.029690596506659405	0.017881861692294478	0.019414000405175783
1:LOH:10Mb-40Mb	0.0001146899341161145	1.4181544653268929e-07	0.053579749800264836	3.7934372191017476e-07	8.196885492139927e-08	3.0073522825802003e-07	0.0005839789770560211	2.736762995425579e-07	0.005654262235943283
1:LOH:>40Mb	0.0016270140377598352	0.004468246770160769	0.03237071780487895	0.0014526251199731633	0.004547676132447691	0.0005491454703216902	0.0008800674161647493	1.6190170057939212e-07	0.008896900998796581
2:LOH:0-100kb	0.0019508484575761998	0.006528915845253494	0.008804671674172936	0.004745043183872042	0.0016049473776541844	0.008069359016367343	0.016274620020537894	1.293503256505346e-07	0.004290220638244194
2:LOH:100kb-1Mb	0.014212709336570697	0.03981985226739198	0.02587692401472168	0.012265926194538678	0.027480162893771195	0.026747042123881782	0.04868999773170799	0.0030614366274542837	0.02958929060958326
2:LOH:1Mb-10Mb	0.00905827362560025	0.06935694306157529	0.01430184062797082	0.020939102080059797	0.11159353561002718	0.013574587253747267	0.0917273414561896	2.1398057583610352e-08	0.05007537677840279
2:LOH:10Mb-40Mb	0.010140234635830438	1.552503647417325e-08	0.011506680991858502	0.03030712938073748	0.010961192233188796	0.028158886421448984	0.09841244120762667	3.227475470879426e-08	0.01144733139344396
2:LOH:>40Mb	0.014275585653429915	0.0060024018421288615	0.0006107231896857002	0.012485536968098359	0.0016751941317710362	0.03705606125295162	0.011368418474223674	0.008013845079694874	0.006206522105772194
3-4:LOH:0-100kb	0.008347638063811473	0.017210469292632525	0.0010885267469869931	0.001644310807931646	0.0002570433189121957	0.008451943051635168	0.005363843293543717	0.0030932951495542937	0.0030255625266887164
3-4:LOH:100kb-1Mb	0.01711906980159256	0.024304542980227665	0.004322529215657766	0.012051440282957628	0.0011099510552389801	0.010559352737474229	0.019762160105988188	0.03730748602189124	0.011551646978656693
3-4:LOH:1Mb-10Mb	0.024887942776097134	0.07855829175561667	0.0041626183051887726	0.0212625083573198	0.002644297425394545	0.012817901681819422	0.015246272713787902	0.0820055902376771	0.012449654502049157
3-4:LOH:10Mb-40Mb	0.004421818389702068	0.008500705268056663	0.0023371939990838087	0.006424276116712804	0.0049152816928290126	0.010872087520330354	0.01130060317291452	0.045323092080652716	0.01023336811304098
3-4:LOH:>40Mb	0.0012593878180834394	0.003614554763712334	0.0007210189083419749	0.0028859395122560728	0.002383521557256714	0.004733785277400386	0.011410113985543263	0.012625823642035527	0.007097608741930657
5-8:LOH:0-100kb	0.003588068836836378	0.0019246816999608995	4.754209584234559e-08	0.0018099800101828833	3.204754573715718e-08	0.002443173691275682	0.0010440456336853288	0.00818268093159034	0.002337753269929337
5-8:LOH:100kb-1Mb	0.005387201906507215	0.001670781860807624	2.9168786781497147e-08	0.0048888911140386425	0.0012111378350850544	0.0026500951599057743	0.0007969710779741846	0.016936068334616722	0.001834970302520631
5-8:LOH:1Mb-10Mb	0.005729751826197002	0.0016227155693493956	4.442176714469781e-08	0.0016927389994661013	5.8050760318728576e-08	0.00036822066768323227	0.00010853322768797247	0.023864898837637157	0.0010602304689525256
5-8:LOH:10Mb-40Mb	0.0001453186424456021	2.20834435111783e-07	0.0010093021547074833	0.0005850712047097062	8.746120421676552e-08	0.00025935101364346733	0.00032264812237393415	0.011527364033876495	0.004523645361327695
5-8:LOH:>40Mb	0.00032997787814128545	4.563488175446828e-05	2.1730233135563992e-07	0.00036223496000843626	3.1033487667642135e-07	0.00021613998636269116	0.0004036098434990976	0.008199252373025132	0.0007517191133166535
9+:LOH:0-100kb	0.0010415215365630636	2.3472999899354427e-07	2.5633575333472437e-07	0.00017507405781245212	3.092844789875926e-07	0.0002015850962616028	3.1752854035005385e-07	2.51290123429726e-07	8.998145816683235e-05
9+:LOH:100kb-1Mb	1.8562896414664465e-07	0.028448879258706938	1.1855668759608306e-07	0.0015058116008776067	0.0011702399542753738	0.0012674091947518207	1.193715292657771e-07	0.0028421653994188034	0.0021453213275152193
9+:LOH:1Mb-10Mb	0.00017601900891461852	0.0025343259843542396	2.9977536662784133e-07	3.9021530696459194e-07	1.3969119576628942e-07	9.045231752192961e-05	4.9408841706792825e-05	2.4358376464306276e-07	0.00028138380865982526
9+:LOH:10Mb-40Mb	3.269359773661051e-07	4.012295428879042e-07	3.162984938853697e-07	5.204110237855275e-07	2.6791168743045547e-07	6.319535609122795e-07	4.217800673700367e-07	0.0020276660011354863	5.128215701688533e-07
9+:LOH:>40Mb	4.0396366296491237e-07	4.602457612179485e-07	3.602123734935958e-07	5.65312334899204e-07	3.4714223531295827e-07	7.726577759115116e-07	4.5730064286431115e-07	3.316867305613869e-07	5.999954354507508e-07
2:het:0-100kb	0.01876499186604633	0.003152387907202865	0.02271823849994689	0.01580070264180449	0.010268682011096644	0.01828548333971412	0.04040865374889819	0.0030621514824300242	0.01691907664295286
