MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
0:homdel:0-100kb	6.42E-08	2.38E-08	1.58E-08	1.68E-04	3.80E-04	1.07E-04	3.36E-08	1.75E-08	1.82E-04
0:homdel:100kb-1Mb	6.26E-08	2.43E-08	1.56E-08	8.57E-05	2.92E-04	1.07E-04	2.53E-08	1.75E-08	1.56E-04
0:homdel:>1Mb	1.40E-08	9.37E-09	6.25E-09	2.12E-08	9.77E-09	1.94E-08	1.52E-08	5.74E-09	2.02E-08
1:LOH:0-100kb	1.34E-03	7.78E-04	6.73E-04	1.36E-03	8.97E-04	1.83E-03	1.31E-03	3.55E-04	1.66E-03
1:LOH:100kb-1Mb	5.43E-04	1.23E-03	8.97E-04	1.55E-03	1.05E-03	1.86E-03	1.59E-03	1.16E-03	2.19E-03
1:LOH:1Mb-10Mb	3.11E-04	8.51E-04	1.22E-03	1.11E-03	4.48E-04	9.54E-04	1.91E-03	8.50E-04	2.16E-03
1:LOH:10Mb-40Mb	1.14E-04	1.48E-08	9.62E-04	3.92E-08	1.47E-08	3.63E-08	1.75E-04	1.71E-08	1.13E-03
1:LOH:>40Mb	2.95E-04	3.68E-04	8.60E-04	3.24E-04	4.52E-04	2.50E-04	5.57E-04	2.27E-08	1.01E-03
2:LOH:0-100kb	6.07E-04	4.91E-04	6.18E-04	9.82E-04	3.31E-04	8.23E-04	1.36E-03	1.72E-08	1.03E-03
2:LOH:100kb-1Mb	1.98E-03	1.53E-03	9.60E-04	1.82E-03	1.63E-03	2.60E-03	2.63E-03	3.49E-04	3.16E-03
2:LOH:1Mb-10Mb	3.03E-03	2.79E-03	1.12E-03	4.26E-03	4.81E-03	2.73E-03	4.12E-03	8.33E-09	6.70E-03
2:LOH:10Mb-40Mb	1.25E-03	1.33E-08	9.96E-04	3.51E-03	9.87E-04	2.88E-03	3.91E-03	1.24E-08	2.26E-03
2:LOH:>40Mb	1.13E-03	4.96E-04	1.35E-04	1.46E-03	3.82E-04	2.20E-03	1.22E-03	5.34E-04	1.29E-03
3-4:LOH:0-100kb	1.09E-03	8.89E-04	1.47E-04	4.98E-04	8.75E-05	1.28E-03	8.81E-04	3.68E-04	8.47E-04
3-4:LOH:100kb-1Mb	1.63E-03	1.10E-03	4.87E-04	1.85E-03	3.09E-04	1.60E-03	1.66E-03	1.28E-03	2.04E-03
3-4:LOH:1Mb-10Mb	2.44E-03	2.47E-03	5.95E-04	2.80E-03	5.92E-04	2.23E-03	2.05E-03	1.95E-03	2.27E-03
3-4:LOH:10Mb-40Mb	2.20E-03	6.40E-04	2.92E-04	1.37E-03	6.25E-04	1.27E-03	1.21E-03	1.76E-03	1.64E-03
3-4:LOH:>40Mb	6.84E-04	4.03E-04	1.28E-04	9.31E-04	4.15E-04	1.23E-03	1.14E-03	9.54E-04	1.26E-03
5-8:LOH:0-100kb	5.90E-04	2.42E-04	1.06E-08	3.38E-04	1.21E-08	4.99E-04	2.97E-04	6.70E-04	6.21E-04
5-8:LOH:100kb-1Mb	6.58E-04	2.49E-04	8.46E-09	9.32E-04	3.83E-04	6.55E-04	2.41E-04	1.08E-03	5.32E-04
5-8:LOH:1Mb-10Mb	5.18E-04	2.06E-04	1.11E-08	4.11E-04	1.63E-08	2.44E-04	8.96E-05	1.08E-03	3.18E-04
5-8:LOH:10Mb-40Mb	1.45E-04	2.94E-08	1.54E-04	3.25E-04	1.77E-08	1.68E-04	1.55E-04	6.87E-04	9.60E-04
5-8:LOH:>40Mb	2.36E-04	4.53E-05	1.74E-08	1.51E-04	4.16E-08	1.99E-04	1.36E-04	5.52E-04	2.54E-04
9+:LOH:0-100kb	1.32E-04	2.45E-08	1.67E-08	6.90E-05	4.09E-08	9.32E-05	3.53E-08	3.16E-08	6.23E-05
9+:LOH:100kb-1Mb	6.50E-08	1.43E-03	1.49E-08	7.43E-04	2.85E-04	7.83E-04	4.13E-08	3.29E-04	1.04E-03
9+:LOH:1Mb-10Mb	1.30E-04	2.35E-04	1.54E-08	3.77E-08	2.06E-08	5.34E-05	4.92E-05	1.62E-08	1.15E-04
9+:LOH:10Mb-40Mb	3.07E-08	1.82E-08	1.18E-08	3.18E-08	1.68E-08	3.43E-08	2.55E-08	2.45E-04	2.88E-08
9+:LOH:>40Mb	1.40E-08	9.37E-09	6.25E-09	2.12E-08	9.77E-09	1.94E-08	1.52E-08	5.74E-09	2.02E-08
2:het:0-100kb	2.14E-03	5.75E-04	8.20E-04	2.11E-03	1.08E-03	2.52E-03	2.82E-03	3.21E-04	1.92E-03
2:het:100kb-1Mb	6.89E-04	5.97E-04	1.46E-03	1.26E-03	9.12E-04	1.50E-03	1.75E-03	3.25E-04	3.10E-03
2:het:1Mb-10Mb	1.96E-04	4.74E-04	2.55E-03	4.62E-04	7.83E-04	3.41E-04	1.62E-03	1.30E-08	6.35E-03
2:het:10Mb-40Mb	3.97E-04	6.35E-05	3.01E-03	3.23E-04	1.03E-04	3.78E-04	7.40E-04	1.65E-08	7.50E-03
2:het:>40Mb	1.19E-04	1.70E-08	2.11E-03	5.55E-04	3.25E-04	2.21E-04	6.19E-04	1.57E-08	6.49E-03
3-4:het:0-100kb	2.07E-03	1.52E-03	8.54E-04	3.35E-03	1.54E-03	3.79E-03	1.88E-03	1.03E-03	2.91E-03
3-4:het:100kb-1Mb	2.64E-03	1.98E-03	1.07E-03	3.71E-03	2.47E-03	3.74E-03	3.00E-03	8.54E-04	3.50E-03
3-4:het:1Mb-10Mb	5.33E-03	4.69E-03	2.88E-03	7.99E-03	3.77E-03	6.22E-03	6.03E-03	2.06E-03	9.33E-03
3-4:het:10Mb-40Mb	5.66E-03	2.54E-03	8.89E-04	6.13E-03	2.62E-03	6.20E-03	4.79E-03	1.23E-03	4.83E-03
3-4:het:>40Mb	3.29E-03	3.55E-03	0.00E+00	4.87E-03	3.35E-03	5.70E-03	4.84E-03	7.14E-04	7.32E-03
5-8:het:0-100kb	1.80E-03	1.39E-03	6.53E-04	2.36E-03	1.82E-03	2.25E-03	1.74E-03	1.11E-03	2.28E-03
5-8:het:100kb-1Mb	2.51E-03	1.77E-03	8.37E-04	3.56E-03	2.31E-03	3.28E-03	1.86E-03	1.51E-03	3.43E-03
5-8:het:1Mb-10Mb	4.98E-03	2.26E-03	1.08E-03	8.67E-03	2.89E-03	2.87E-03	4.18E-03	3.81E-03	4.25E-03
5-8:het:10Mb-40Mb	3.64E-03	2.56E-04	5.17E-04	4.84E-03	6.53E-04	3.12E-03	8.26E-04	3.46E-03	4.46E-03
5-8:het:>40Mb	5.77E-04	3.30E-04	3.51E-09	2.30E-03	1.37E-03	2.75E-03	6.42E-04	7.73E-04	1.83E-03
9+:het:0-100kb	9.14E-04	1.82E-03	4.21E-04	2.03E-03	1.75E-03	2.82E-03	8.41E-04	4.18E-04	2.58E-03
9+:het:100kb-1Mb	2.18E-03	1.53E-03	7.96E-04	3.55E-03	4.39E-03	3.44E-03	1.71E-03	1.52E-03	3.79E-03
9+:het:1Mb-10Mb	1.85E-03	1.94E-04	2.83E-04	2.99E-03	3.47E-03	2.79E-03	2.39E-03	2.20E-03	2.62E-03
9+:het:10Mb-40Mb	3.08E-08	2.36E-08	1.29E-04	5.36E-07	1.82E-08	4.65E-08	3.02E-08	5.22E-04	4.43E-04
9+:het:>40Mb	1.99E-08	1.85E-08	1.24E-08	5.10E-08	1.96E-08	3.58E-08	2.72E-08	2.46E-04	3.02E-08
