Samples	CNV48A	CNV48B	CNV48C	CNV48D
PD53330a	0	0	150	0
PD53332a	30	0	214	0
PD53332c	0	0	362	0
PD53333a	123	101	2	8
PD53333c	117	92	0	0
PD53333d	130	98	0	0
PD53333e	94	103	0	0
PD53343a	120	0	0	22
PD53343c	124	0	0	47
PD53343d	176	0	0	50
PD53343e	208	0	0	60
PD53343f	123	3	1	50
PD53343g	132	0	0	48
PD53347a	0	0	0	299
PD53349a	78	47	5	43
PD53349c	70	57	29	33
PD53350a	0	201	0	40
PD53350c	0	247	0	48
PD53352a	127	47	0	0
PD53352c	134	39	0	0
PD53355a	13	171	8	1
PD53357a	87	21	16	58
PD53359a	108	23	8	12
PD53364a	104	121	31	4
