Sample Names	MutationType	CNV48A	CNV48B	CNV48C	CNV48D
PD53330a	0:homdel:0-100kb	0.0	0.0	1.0	0.0
PD53330a	0:homdel:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	0:homdel:>1Mb	0.0	0.0	1.0	0.0
PD53330a	1:LOH:0-100kb	0.0	0.0	1.0	0.0
PD53330a	1:LOH:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	1:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	1:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	1:LOH:>40Mb	0.0	0.0	1.0	0.0
PD53330a	2:LOH:0-100kb	0.0	0.0	1.0	0.0
PD53330a	2:LOH:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	2:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	2:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	2:LOH:>40Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:LOH:0-100kb	0.0	0.0	1.0	0.0
PD53330a	3-4:LOH:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:LOH:>40Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:LOH:0-100kb	0.0	0.0	1.0	0.0
PD53330a	5-8:LOH:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:LOH:>40Mb	0.0	0.0	1.0	0.0
PD53330a	9+:LOH:0-100kb	0.0	0.0	1.0	0.0
PD53330a	9+:LOH:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	9+:LOH:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	9+:LOH:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	9+:LOH:>40Mb	0.0	0.0	1.0	0.0
PD53330a	2:het:0-100kb	0.0	0.0	1.0	0.0
PD53330a	2:het:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	2:het:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	2:het:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	2:het:>40Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:het:0-100kb	0.0	0.0	1.0	0.0
PD53330a	3-4:het:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:het:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:het:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	3-4:het:>40Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:het:0-100kb	0.0	0.0	1.0	0.0
PD53330a	5-8:het:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:het:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:het:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	5-8:het:>40Mb	0.0	0.0	1.0	0.0
PD53330a	9+:het:0-100kb	0.0	0.0	1.0	0.0
PD53330a	9+:het:100kb-1Mb	0.0	0.0	1.0	0.0
PD53330a	9+:het:1Mb-10Mb	0.0	0.0	1.0	0.0
PD53330a	9+:het:10Mb-40Mb	0.0	0.0	1.0	0.0
PD53330a	9+:het:>40Mb	0.0	0.0	1.0	0.0
PD53332a	0:homdel:0-100kb	0.9703419582179086	0.0	0.029658041782091388	0.0
PD53332a	0:homdel:100kb-1Mb	0.957562937637416	0.0	0.042437062362584155	0.0
PD53332a	0:homdel:>1Mb	0.1720564436161949	0.0	0.827943556383805	0.0
PD53332a	1:LOH:0-100kb	0.09419928627436096	0.0	0.9058007137256391	0.0
PD53332a	1:LOH:100kb-1Mb	0.035705918881431604	0.0	0.9642940811185684	0.0
PD53332a	1:LOH:1Mb-10Mb	0.0070075013553011194	0.0	0.9929924986446989	0.0
PD53332a	1:LOH:10Mb-40Mb	5.794197570353558e-07	0.0	0.9999994205802429	0.0
PD53332a	1:LOH:>40Mb	0.0062620549764883324	0.0	0.9937379450235116	0.0
PD53332a	2:LOH:0-100kb	0.0774731174647476	0.0	0.9225268825352525	0.0
PD53332a	2:LOH:100kb-1Mb	0.09825179569197014	0.0	0.9017482043080299	0.0
PD53332a	2:LOH:1Mb-10Mb	0.10537778711066227	0.0	0.8946222128893377	0.0
PD53332a	2:LOH:10Mb-40Mb	0.199426100328455	0.0	0.8005738996715449	0.0
PD53332a	2:LOH:>40Mb	0.7616529187695914	0.0	0.23834708123040863	0.0
PD53332a	3-4:LOH:0-100kb	0.4935706680810131	0.0	0.5064293319189869	0.0
PD53332a	3-4:LOH:100kb-1Mb	0.2557469824119478	0.0	0.7442530175880522	0.0
PD53332a	3-4:LOH:1Mb-10Mb	0.3398953413811185	0.0	0.6601046586188815	0.0
PD53332a	3-4:LOH:10Mb-40Mb	0.21774325561655228	0.0	0.7822567443834477	0.0
PD53332a	3-4:LOH:>40Mb	0.1623460510683238	0.0	0.8376539489316762	0.0
PD53332a	5-8:LOH:0-100kb	0.9997158834096973	0.0	0.0002841165903028124	0.0
PD53332a	5-8:LOH:100kb-1Mb	0.9999237357310571	0.0	7.626426894301052e-05	0.0
PD53332a	5-8:LOH:1Mb-10Mb	0.999743841794539	0.0	0.00025615820546097374	0.0
PD53332a	5-8:LOH:10Mb-40Mb	1.543315549040628e-05	0.0	0.9999845668445095	0.0
PD53332a	5-8:LOH:>40Mb	0.8497390242431465	0.0	0.1502609757568535	0.0
PD53332a	9+:LOH:0-100kb	0.9947963625090565	0.0	0.005203637490943481	0.0
PD53332a	9+:LOH:100kb-1Mb	0.9998694071197427	0.0	0.00013059288025738615	0.0
PD53332a	9+:LOH:1Mb-10Mb	0.9966009000641282	0.0	0.0033990999358718185	0.0
PD53332a	9+:LOH:10Mb-40Mb	0.10699660127397176	0.0	0.8930033987260283	0.0
PD53332a	9+:LOH:>40Mb	0.1720564436161949	0.0	0.827943556383805	0.0
PD53332a	2:het:0-100kb	0.10305498859355443	0.0	0.8969450114064456	0.0
PD53332a	2:het:100kb-1Mb	0.015169077041801282	0.0	0.9848309229581987	0.0
PD53332a	2:het:1Mb-10Mb	6.491856259376612e-05	0.0	0.9999350814374062	0.0
PD53332a	2:het:10Mb-40Mb	0.0020416781334100425	0.0	0.99795832186659	0.0
PD53332a	2:het:>40Mb	2.6135736835452597e-05	0.0	0.9999738642631645	0.0
PD53332a	3-4:het:0-100kb	0.2184313452931909	0.0	0.781568654706809	0.0
PD53332a	3-4:het:100kb-1Mb	0.23364280470383741	0.0	0.7663571952961626	0.0
PD53332a	3-4:het:1Mb-10Mb	0.21369386611651855	0.0	0.7863061338834815	0.0
PD53332a	3-4:het:10Mb-40Mb	0.5835800015685805	0.0	0.4164199984314195	0.0
PD53332a	3-4:het:>40Mb	0.9739108162858318	0.0	0.026089183714168282	0.0
PD53332a	5-8:het:0-100kb	0.2596394170155103	0.0	0.7403605829844898	0.0
PD53332a	5-8:het:100kb-1Mb	0.21147881780997474	0.0	0.7885211821900251	0.0
PD53332a	5-8:het:1Mb-10Mb	0.14643783652893974	0.0	0.8535621634710602	0.0
PD53332a	5-8:het:10Mb-40Mb	0.29102177443352795	0.0	0.7089782255664722	0.0
PD53332a	5-8:het:>40Mb	0.9999982662384328	0.0	1.7337615672615761e-06	0.0
PD53332a	9+:het:0-100kb	0.31585540566438064	0.0	0.6841445943356194	0.0
PD53332a	9+:het:100kb-1Mb	0.08235550058240382	0.0	0.9176444994175961	0.0
PD53332a	9+:het:1Mb-10Mb	0.1903276577535047	0.0	0.8096723422464954	0.0
PD53332a	9+:het:10Mb-40Mb	3.958453979388499e-06	0.0	0.9999960415460206	0.0
PD53332a	9+:het:>40Mb	0.1104406920932542	0.0	0.8895593079067458	0.0
