MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	0.00004672	0.00189308	0.00000020	0.00054649
0:homdel:100kb-1Mb	0.00003140	0.00149601	0.00000020	0.00049750
0:homdel:>1Mb	0.00000058	0.00000042	0.00000039	0.00000036
1:LOH:0-100kb	0.01781138	0.01224580	0.02400988	0.00544576
1:LOH:100kb-1Mb	0.01121273	0.02247252	0.04245100	0.02456224
1:LOH:1Mb-10Mb	0.00323052	0.01154930	0.06417456	0.01031178
1:LOH:10Mb-40Mb	0.00000018	0.00000012	0.04262129	0.00000033
1:LOH:>40Mb	0.00124416	0.00411205	0.02767832	0.00034326
2:LOH:0-100kb	0.00616794	0.00503051	0.01029616	0.00000419
2:LOH:100kb-1Mb	0.02274871	0.03923801	0.02926908	0.00234491
2:LOH:1Mb-10Mb	0.01822226	0.11579306	0.02168704	0.00000004
2:LOH:10Mb-40Mb	0.03231464	0.01730759	0.01818554	0.00031908
2:LOH:>40Mb	0.02076922	0.00457208	0.00091113	0.00818841
3-4:LOH:0-100kb	0.00886339	0.00543692	0.00127490	0.00201699
3-4:LOH:100kb-1Mb	0.01560054	0.01071909	0.00636440	0.02528784
3-4:LOH:1Mb-10Mb	0.02352009	0.03056428	0.00640345	0.05186659
3-4:LOH:10Mb-40Mb	0.00542261	0.00796103	0.00273099	0.02825361
3-4:LOH:>40Mb	0.00228527	0.00570811	0.00165298	0.00822137
5-8:LOH:0-100kb	0.00260133	0.00036068	0.00000010	0.00609778
5-8:LOH:100kb-1Mb	0.00241867	0.00099418	0.00000003	0.01481206
5-8:LOH:1Mb-10Mb	0.00142114	0.00025886	0.00000005	0.01683389
5-8:LOH:10Mb-40Mb	0.00000019	0.00002896	0.00170908	0.00650842
5-8:LOH:>40Mb	0.00001167	0.00003139	0.00000029	0.00484318
9+:LOH:0-100kb	0.00032998	0.00000018	0.00000024	0.00053246
9+:LOH:100kb-1Mb	0.00281538	0.01175474	0.00000005	0.00147868
9+:LOH:1Mb-10Mb	0.00047721	0.00077999	0.00000023	0.00000022
9+:LOH:10Mb-40Mb	0.00000030	0.00000025	0.00000035	0.00093538
9+:LOH:>40Mb	0.00000058	0.00000042	0.00000039	0.00000036
2:het:0-100kb	0.02007726	0.01249744	0.02449677	0.00375339
2:het:100kb-1Mb	0.00772772	0.01210231	0.07033341	0.00321013
2:het:1Mb-10Mb	0.00008705	0.00679941	0.18797033	0.00002010
2:het:10Mb-40Mb	0.00138850	0.00000171	0.09514356	0.00068614
2:het:>40Mb	0.00000866	0.00105579	0.04645732	0.00009696
3-4:het:0-100kb	0.03854431	0.03095677	0.01933392	0.02579698
3-4:het:100kb-1Mb	0.08267361	0.07106956	0.03801485	0.02380145
3-4:het:1Mb-10Mb	0.19166874	0.10173973	0.09886860	0.06490795
3-4:het:10Mb-40Mb	0.16789060	0.06352937	0.01679442	0.02748284
3-4:het:>40Mb	0.10560082	0.08915298	0.00039657	0.01216502
5-8:het:0-100kb	0.03363395	0.03507773	0.01344491	0.02686804
5-8:het:100kb-1Mb	0.04274376	0.04619316	0.02234224	0.05301581
5-8:het:1Mb-10Mb	0.04475876	0.03341923	0.03657357	0.20586745
5-8:het:10Mb-40Mb	0.02243783	0.00171917	0.00766295	0.12912492
5-8:het:>40Mb	0.01024228	0.01085911	0.00000000	0.02223744
9+:het:0-100kb	0.01936388	0.03254886	0.00587976	0.00505629
9+:het:100kb-1Mb	0.00715264	0.09637948	0.01117263	0.07998527
9+:het:1Mb-10Mb	0.00443052	0.04458832	0.00264222	0.08970522
9+:het:10Mb-40Mb	0.00000003	0.00000003	0.00104932	0.00483589
9+:het:>40Mb	0.00000028	0.00000024	0.00000032	0.00112954
