Sample Names	MutationType	CN2	CN7	CN8	CN9	CN10	CN18	CN19	CN20	CN24
PD53330a	0:homdel:0-100kb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	0:homdel:100kb-1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	0:homdel:>1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:0-100kb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:100kb-1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:1Mb-10Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:10Mb-40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	1:LOH:>40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:0-100kb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:100kb-1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:1Mb-10Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:10Mb-40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	2:LOH:>40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:0-100kb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:100kb-1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:1Mb-10Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:10Mb-40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	3-4:LOH:>40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:0-100kb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:100kb-1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:1Mb-10Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:10Mb-40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	5-8:LOH:>40Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:0-100kb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:100kb-1Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PD53330a	9+:LOH:1Mb-10Mb	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
