MutationType	CN2	CN7	CN8	CN9	CN10	CN18	CN19	CN20	CN24
0:homdel:0-100kb	0.00223767	0.00000000	0.00021626	0.00818184	0.00779524	0.00110894	0.00591472	0.00004078	0.00037172
0:homdel:100kb-1Mb	0.00719579	0.00000000	0.00072098	0.02099919	0.03122532	0.00303045	0.00677398	0.00017845	0.00076055
0:homdel:>1Mb	0.00383711	0.00000000	0.00026934	0.00900922	0.00455881	0.00075840	0.00411050	0.00011722	0.00057559
1:LOH:0-100kb	0.00282654	0.00011082	0.00095041	0.01858365	0.00879753	0.00155560	0.01041569	0.00050182	0.00063502
1:LOH:100kb-1Mb	0.00632391	0.00504080	0.00728363	0.13080787	0.03974523	0.00141876	0.06429375	0.00081924	0.00460114
1:LOH:1Mb-10Mb	0.00102376	0.00007442	0.00220491	0.15994920	0.01091525	0.00028103	0.03777062	0.00624116	0.00430765
1:LOH:10Mb-40Mb	0.00048336	0.00000002	0.00366415	0.07622936	0.00290428	0.00000008	0.02105378	0.00283775	0.00262255
1:LOH:>40Mb	0.00012432	0.00000000	0.00608932	0.02700069	0.00148398	0.00000165	0.00174097	0.00001202	0.00227007
2:LOH:0-100kb	0.00248892	0.00277607	0.01111584	0.00411906	0.00635726	0.00273632	0.00566334	0.00060974	0.00325338
2:LOH:100kb-1Mb	0.01946487	0.00454340	0.02228290	0.01377423	0.08782354	0.00655180	0.05489644	0.00134094	0.27045782
2:LOH:1Mb-10Mb	0.03355154	0.00457336	0.00829832	0.01159439	0.13191050	0.00018517	0.11706714	0.01443458	0.20220440
2:LOH:10Mb-40Mb	0.05229117	0.00004105	0.00115938	0.00494515	0.08706983	0.00015695	0.04188772	0.00966270	0.01194696
2:LOH:>40Mb	0.06737476	0.00000000	0.00013197	0.00240730	0.01593395	0.00007257	0.03389879	0.00049936	0.00507870
3-4:LOH:0-100kb	0.00271740	0.00420447	0.00956472	0.00183353	0.00743812	0.00226406	0.01388264	0.00256100	0.00068511
3-4:LOH:100kb-1Mb	0.01381945	0.00232790	0.00466290	0.00284860	0.06845530	0.01402709	0.01258572	0.02182453	0.01143560
3-4:LOH:1Mb-10Mb	0.01247139	0.00021573	0.00349215	0.00344351	0.09646664	0.05963823	0.00110793	0.02055562	0.00576055
3-4:LOH:10Mb-40Mb	0.01063124	0.00000079	0.00219410	0.00139001	0.04754809	0.07185141	0.00278047	0.00224340	0.00075315
3-4:LOH:>40Mb	0.01742692	0.00000674	0.00339912	0.00119860	0.01319828	0.05059881	0.00421117	0.00094554	0.00053379
5-8:LOH:0-100kb	0.00168941	0.00552275	0.01077048	0.00037594	0.00260391	0.00482129	0.00002587	0.00091844	0.00022786
5-8:LOH:100kb-1Mb	0.00341625	0.00682636	0.00967529	0.00083617	0.02207809	0.02136849	0.00000814	0.00241053	0.00057740
5-8:LOH:1Mb-10Mb	0.00449531	0.00006776	0.00215584	0.00066162	0.02022345	0.04681185	0.00001578	0.00524955	0.00081046
5-8:LOH:10Mb-40Mb	0.00275604	0.00000000	0.00102284	0.00037649	0.00679665	0.02208834	0.00068876	0.00029923	0.00011455
5-8:LOH:>40Mb	0.01008962	0.00004933	0.00145962	0.00038263	0.00017289	0.00536994	0.00012041	0.00012116	0.00008700
9+:LOH:0-100kb	0.00052020	0.00632901	0.02204332	0.00075942	0.00018531	0.00241473	0.00107168	0.00014531	0.00049292
9+:LOH:100kb-1Mb	0.00066864	0.02139771	0.02838152	0.00123437	0.00299660	0.01211638	0.00117826	0.00085741	0.00037680
9+:LOH:1Mb-10Mb	0.00082900	0.01464548	0.00809473	0.00057456	0.00365022	0.01534961	0.00000016	0.00046208	0.00012195
9+:LOH:10Mb-40Mb	0.00035090	0.00000061	0.00002527	0.00001019	0.00044558	0.00097940	0.00000016	0.00010940	0.00000571
9+:LOH:>40Mb	0.00071277	0.00000002	0.00011179	0.00000455	0.00000009	0.00000077	0.00004662	0.00001071	0.00000268
