Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.723	120.161	80.107%	34.123	80.473%	1.01751	0.642
PD53332a	244	0.939	111.94	45.877%	22.609	35.865%	0.24492	0.913
PD53332c	362	0.898	184.496	50.966%	47.727	43.962%	0.21199	0.865
PD53333a	234	0.884	141.525	60.481%	31.788	52.965%	0.56567	0.842
PD53333c	209	0.938	97.764	46.777%	20.902	34.929%	0.34389	0.917
PD53333d	228	0.93	119.359	52.35%	25.344	41.146%	0.41752	0.908
PD53333e	197	0.923	100.088	50.806%	21.103	40.031%	0.41457	0.893
PD53343a	142	0.905	73.598	51.83%	21.038	52.529%	0.52844	0.884
PD53343c	171	0.938	73.979	43.263%	17.71	38.711%	0.42535	0.918
PD53343d	226	0.935	113.218	50.096%	29.672	43.016%	0.38322	0.924
PD53343e	268	0.959	105.758	39.462%	29.253	32.511%	0.32681	0.953
PD53343f	177	0.954	73.853	41.725%	15.58	30.526%	0.27478	0.939
PD53343g	180	0.93	85.311	47.395%	19.131	39.414%	0.30706	0.905
PD53347a	299	0.917	155.357	51.959%	34.482	40.731%	0.41901	0.889
PD53349a	173	0.945	79.034	45.684%	16.326	38.091%	0.35075	0.927
PD53349c	189	0.939	86.133	45.573%	16.709	37.713%	0.35661	0.911
PD53350a	241	0.948	92.56	38.407%	19.982	31.895%	0.1749	0.924
PD53350c	295	0.935	123.391	41.827%	27.252	35.5%	0.22198	0.904
PD53352a	174	0.925	87.534	50.307%	19.114	41.493%	0.2837	0.899
PD53352c	173	0.929	85.088	49.184%	18.755	39.743%	0.29356	0.906
PD53355a	193	0.902	102.759	53.243%	22.532	43.227%	0.29008	0.859
PD53357a	182	0.899	112.354	61.733%	22.939	46.785%	0.49271	0.862
PD53359a	151	0.933	65.679	43.496%	16.14	37.576%	0.33035	0.911
PD53364a	260	0.917	135.427	52.087%	28.311	42.768%	0.52871	0.883
