# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
PD53330c	-0.100000	2.100000
PD53332d	-1.100000	2.100000
PD53333f	-1.100000	0.100000
PD53334a	-1.100000	3.100000
PD53337c	-1.100000	2.100000
PD53338a	-1.100000	2.100000
PD53342a	-1.100000	2.100000
PD53343h	-1.100000	1.100000
PD53345a	-1.100000	0.600000
PD53347c	-1.300000	2.900000
PD53348a	-1.100000	1.100000
PD53349d	-1.100000	1.100000
PD53350d	-1.100000	2.103000
PD53351a	-1.393000	2.100000
PD53352d	-1.100000	1.100000
PD53354a	-1.100000	1.100000
PD53355c	-1.393000	2.100000
PD53357c	-0.767000	2.100000
PD53358a	-1.100000	2.100000
PD53359c	-1.100000	1.600000
PD53361a	-1.100000	1.100000
PD53362a	-1.393000	1.433000
PD53364c	-1.393000	1.433000
PD53365a	-1.393000	1.100000
PD53368a	-1.393000	2.767000
PD53369a	-1.100000	1.100000
