MutationType	CNV48A
0:homdel:0-100kb	0.0005349669645022459
0:homdel:100kb-1Mb	0.0008424146188190206
0:homdel:>1Mb	0.0010492003458784894
1:LOH:0-100kb	0.0017940271325642243
1:LOH:100kb-1Mb	0.00758438328281045
1:LOH:1Mb-10Mb	0.023193559255450965
1:LOH:10Mb-40Mb	0.01306199255399406
1:LOH:>40Mb	0.008530630124732852
2:LOH:0-100kb	0.0031372905999887736
2:LOH:100kb-1Mb	0.028052379153668882
2:LOH:1Mb-10Mb	0.0552389806509018
2:LOH:10Mb-40Mb	0.027439339458942412
2:LOH:>40Mb	0.011498965937644243
3-4:LOH:0-100kb	0.004780709920451045
3-4:LOH:100kb-1Mb	0.012007835204713047
3-4:LOH:1Mb-10Mb	0.023945669811218977
3-4:LOH:10Mb-40Mb	0.008739247526973486
3-4:LOH:>40Mb	0.0035051690973341466
5-8:LOH:0-100kb	0.001563452562841121
5-8:LOH:100kb-1Mb	0.004941765791736543
5-8:LOH:1Mb-10Mb	0.008534300588071347
5-8:LOH:10Mb-40Mb	0.00345394273288548
5-8:LOH:>40Mb	0.0008973124142670486
9+:LOH:0-100kb	0.0029634665820049122
9+:LOH:100kb-1Mb	0.01060783294029534
9+:LOH:1Mb-10Mb	0.003345937581034377
9+:LOH:10Mb-40Mb	6.039441450411687e-07
9+:LOH:>40Mb	6.039441456096028e-07
2:het:0-100kb	0.010514438138343393
2:het:100kb-1Mb	0.015836320305243134
2:het:1Mb-10Mb	0.0410629079118371
2:het:10Mb-40Mb	0.045486399196088316
2:het:>40Mb	0.04630446583032608
3-4:het:0-100kb	0.014919469160959124
3-4:het:100kb-1Mb	0.04159897394478321
3-4:het:1Mb-10Mb	0.09493453279137612
3-4:het:10Mb-40Mb	0.0712178885564208
3-4:het:>40Mb	0.07061757922172546
5-8:het:0-100kb	0.014566246550530196
5-8:het:100kb-1Mb	0.04626031674444676
5-8:het:1Mb-10Mb	0.07291073836386204
5-8:het:10Mb-40Mb	0.022287572380155326
5-8:het:>40Mb	0.010159427397884429
9+:het:0-100kb	0.015624047061428427
9+:het:100kb-1Mb	0.05397440392524004
9+:het:1Mb-10Mb	0.0380961911380291
9+:het:10Mb-40Mb	0.0021966687979875135
9+:het:>40Mb	0.0001854348420556562
