MutationType	CNV48A
0:homdel:0-100kb	2.76E-05
0:homdel:100kb-1Mb	4.24E-05
0:homdel:>1Mb	4.11E-05
1:LOH:0-100kb	5.50E-05
1:LOH:100kb-1Mb	1.18E-04
1:LOH:1Mb-10Mb	1.98E-04
1:LOH:10Mb-40Mb	1.36E-04
1:LOH:>40Mb	1.16E-04
2:LOH:0-100kb	7.36E-05
2:LOH:100kb-1Mb	2.32E-04
2:LOH:1Mb-10Mb	2.80E-04
2:LOH:10Mb-40Mb	2.11E-04
2:LOH:>40Mb	1.42E-04
3-4:LOH:0-100kb	8.09E-05
3-4:LOH:100kb-1Mb	1.50E-04
3-4:LOH:1Mb-10Mb	2.05E-04
3-4:LOH:10Mb-40Mb	1.31E-04
3-4:LOH:>40Mb	8.62E-05
5-8:LOH:0-100kb	5.37E-05
5-8:LOH:100kb-1Mb	9.54E-05
5-8:LOH:1Mb-10Mb	1.37E-04
5-8:LOH:10Mb-40Mb	7.39E-05
5-8:LOH:>40Mb	4.51E-05
9+:LOH:0-100kb	9.16E-05
9+:LOH:100kb-1Mb	1.39E-04
9+:LOH:1Mb-10Mb	7.58E-05
9+:LOH:10Mb-40Mb	9.00E-15
9+:LOH:>40Mb	9.03E-15
2:het:0-100kb	1.48E-04
2:het:100kb-1Mb	1.65E-04
2:het:1Mb-10Mb	2.20E-04
2:het:10Mb-40Mb	2.82E-04
2:het:>40Mb	2.66E-04
3-4:het:0-100kb	1.55E-04
3-4:het:100kb-1Mb	2.67E-04
3-4:het:1Mb-10Mb	4.19E-04
3-4:het:10Mb-40Mb	3.50E-04
3-4:het:>40Mb	3.96E-04
5-8:het:0-100kb	1.77E-04
5-8:het:100kb-1Mb	3.00E-04
5-8:het:1Mb-10Mb	3.66E-04
5-8:het:10Mb-40Mb	2.11E-04
5-8:het:>40Mb	1.31E-04
9+:het:0-100kb	1.68E-04
9+:het:100kb-1Mb	3.20E-04
9+:het:1Mb-10Mb	2.53E-04
9+:het:10Mb-40Mb	6.20E-05
9+:het:>40Mb	1.59E-05
