Samples	CNV48A	CNV48B
PD53330c	9.61E-01	9.62E-01
PD53332d	2.76E-01	2.76E-01
PD53332e	3.14E-01	3.14E-01
PD53333f	0.00E+00	0.00E+00
PD53334a	9.65E-01	9.65E-01
PD53337c	7.49E-01	7.49E-01
PD53338a	1.24E+00	1.24E+00
PD53342a	7.04E-01	7.00E-01
PD53343h	6.68E-01	6.68E-01
PD53343i	9.24E-01	9.24E-01
PD53345a	0.00E+00	0.00E+00
PD53347c	0.00E+00	0.00E+00
PD53348a	1.17E+00	1.17E+00
PD53349d	3.03E-01	3.04E-01
PD53349e	3.91E-01	3.91E-01
PD53350d	4.11E-02	4.11E-02
PD53350e	1.87E-01	1.87E-01
PD53351a	9.48E-01	9.48E-01
PD53352d	1.26E-01	1.27E-01
PD53352e	3.29E-01	3.29E-01
PD53354a	9.00E-02	9.00E-02
PD53355c	2.73E-01	2.73E-01
PD53357c	1.99E-01	1.99E-01
PD53357d	0.00E+00	0.00E+00
PD53357e	3.60E-01	3.60E-01
PD53358a	9.98E-01	9.97E-01
PD53359c	0.00E+00	0.00E+00
PD53361a	8.18E-01	8.18E-01
PD53362a	5.31E-01	5.31E-01
PD53364c	5.08E-01	5.08E-01
PD53365a	4.72E-01	4.72E-01
PD53368a	6.28E-01	6.28E-01
PD53369a	9.65E-01	9.65E-01
