MutationType	CNV48A	CNV48B
0:homdel:0-100kb	3.50E-05	5.63E-05
0:homdel:100kb-1Mb	5.33E-05	5.84E-05
0:homdel:>1Mb	5.42E-05	9.54E-05
1:LOH:0-100kb	5.42E-05	1.74E-04
1:LOH:100kb-1Mb	1.09E-04	3.85E-04
1:LOH:1Mb-10Mb	1.67E-04	7.18E-04
1:LOH:10Mb-40Mb	7.66E-05	5.03E-04
1:LOH:>40Mb	5.48E-05	4.58E-04
2:LOH:0-100kb	9.66E-05	1.89E-04
2:LOH:100kb-1Mb	3.16E-04	3.67E-04
2:LOH:1Mb-10Mb	4.08E-04	5.20E-04
2:LOH:10Mb-40Mb	2.88E-04	2.26E-04
2:LOH:>40Mb	2.01E-04	2.22E-04
3-4:LOH:0-100kb	1.15E-04	1.99E-04
3-4:LOH:100kb-1Mb	2.09E-04	1.17E-04
3-4:LOH:1Mb-10Mb	2.83E-04	2.28E-04
3-4:LOH:10Mb-40Mb	1.87E-04	5.57E-05
3-4:LOH:>40Mb	1.23E-04	2.07E-05
5-8:LOH:0-100kb	7.80E-05	9.32E-05
5-8:LOH:100kb-1Mb	1.33E-04	1.25E-04
5-8:LOH:1Mb-10Mb	1.84E-04	2.05E-04
5-8:LOH:10Mb-40Mb	1.09E-04	1.30E-04
5-8:LOH:>40Mb	5.86E-05	7.46E-05
9+:LOH:0-100kb	1.17E-04	1.47E-04
9+:LOH:100kb-1Mb	1.96E-04	1.09E-04
9+:LOH:1Mb-10Mb	8.79E-05	2.41E-04
9+:LOH:10Mb-40Mb	2.54E-10	1.22E-09
9+:LOH:>40Mb	2.54E-10	1.22E-09
2:het:0-100kb	1.98E-04	2.74E-04
2:het:100kb-1Mb	2.03E-04	4.87E-04
2:het:1Mb-10Mb	1.11E-04	9.20E-04
2:het:10Mb-40Mb	8.76E-09	1.14E-03
2:het:>40Mb	6.97E-09	1.03E-03
3-4:het:0-100kb	2.27E-04	2.58E-04
3-4:het:100kb-1Mb	3.45E-04	5.30E-04
3-4:het:1Mb-10Mb	5.38E-04	7.69E-04
3-4:het:10Mb-40Mb	4.68E-04	4.73E-04
3-4:het:>40Mb	5.28E-04	5.60E-04
5-8:het:0-100kb	2.33E-04	2.70E-04
5-8:het:100kb-1Mb	3.73E-04	5.95E-04
5-8:het:1Mb-10Mb	5.09E-04	6.81E-04
5-8:het:10Mb-40Mb	2.99E-04	1.58E-04
5-8:het:>40Mb	1.85E-04	5.07E-09
9+:het:0-100kb	2.31E-04	2.38E-04
9+:het:100kb-1Mb	4.51E-04	5.77E-04
9+:het:1Mb-10Mb	3.60E-04	3.92E-04
9+:het:10Mb-40Mb	8.10E-05	9.92E-05
9+:het:>40Mb	2.20E-05	3.07E-08
