NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	93.113	57.205	22.476	46.837	0.327	0.836	20000.0
2	95.785	58.828	23.602	48.59	0.343	0.827	20000.0
3	94.428	57.632	22.992	47.82	0.337	0.827	20000.0
4	94.272	58.009	23.488	48.774	0.34	0.82	20000.0
5	95.19	57.888	23.173	47.706	0.329	0.831	30000.0
6	93.422	56.968	22.093	46.622	0.329	0.835	40000.0
7	93.735	56.864	22.426	47.004	0.325	0.833	30000.0
8	92.647	56.261	22.927	47.055	0.323	0.836	30000.0
9	96.717	59.077	22.972	48.121	0.346	0.824	30000.0
10	90.988	55.654	22.037	46.499	0.322	0.835	20000.0
11	94.133	57.07	23.089	47.508	0.32	0.832	20000.0
12	96.278	59.098	23.959	49.6	0.347	0.816	30000.0
13	95.944	58.745	23.36	48.742	0.337	0.819	30000.0
14	93.109	57.001	23.229	48.02	0.33	0.829	40000.0
15	95.451	58.273	23.264	47.987	0.334	0.828	30000.0
16	95.975	59.066	23.125	48.26	0.345	0.825	40000.0
17	94.719	57.703	23.212	47.801	0.334	0.831	30000.0
18	93.536	56.714	22.347	46.468	0.329	0.835	20000.0
19	95.747	58.768	23.188	48.631	0.328	0.822	30000.0
20	92.888	56.415	22.943	46.841	0.319	0.837	20000.0
21	95.57	58.472	23.329	48.096	0.335	0.828	40000.0
22	93.474	57.286	22.411	47.226	0.323	0.835	40000.0
23	92.169	56.253	22.469	46.643	0.323	0.838	40000.0
24	93.792	57.227	22.947	47.1	0.326	0.833	30000.0
25	93.998	57.294	22.655	46.997	0.322	0.834	20000.0
26	95.531	58.164	23.194	47.332	0.333	0.832	20000.0
27	94.266	57.684	22.757	47.166	0.337	0.831	30000.0
28	96.345	59.126	23.349	48.195	0.346	0.825	20000.0
29	96.597	59.427	23.366	48.273	0.344	0.827	40000.0
30	93.362	56.601	22.708	47.633	0.33	0.828	30000.0
31	96.498	58.881	23.962	49.428	0.344	0.816	30000.0
32	99.566	61.082	24.318	49.938	0.356	0.817	30000.0
33	95.199	58.198	22.685	47.715	0.351	0.829	20000.0
34	94.304	57.203	22.89	46.714	0.326	0.836	20000.0
35	95.189	58.435	22.626	47.355	0.343	0.829	20000.0
36	95.967	58.671	23.207	48.379	0.335	0.825	30000.0
37	95.062	58.309	22.839	47.536	0.331	0.83	30000.0
38	93.998	57.377	22.899	46.958	0.328	0.841	30000.0
39	96.049	58.883	23.263	48.515	0.348	0.826	20000.0
40	94.2	57.841	22.736	47.632	0.33	0.829	20000.0
41	93.381	57.56	22.714	47.81	0.323	0.83	20000.0
42	93.482	57.416	22.533	47.402	0.328	0.833	30000.0
43	95.459	58.357	23.238	48.121	0.336	0.825	20000.0
44	95.912	58.657	23.391	47.774	0.336	0.829	40000.0
45	94.319	57.458	22.417	47.352	0.333	0.828	20000.0
46	93.221	57.331	23.113	47.398	0.331	0.833	40000.0
47	94.582	57.964	22.537	47.218	0.336	0.828	20000.0
48	94.804	58.056	22.533	47.37	0.338	0.831	40000.0
49	96.988	60.085	23.964	49.598	0.349	0.82	20000.0
50	94.189	57.642	22.568	46.717	0.322	0.837	30000.0
51	94.69	57.936	23.113	48.01	0.334	0.83	20000.0
52	97.211	59.024	23.469	48.794	0.335	0.822	30000.0
53	93.529	57.157	22.67	46.907	0.332	0.833	20000.0
54	93.041	56.879	23.215	47.838	0.324	0.83	20000.0
