MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	0.0002366374971300722	0.0004038406820300389	0.0013433529440445113
0:homdel:100kb-1Mb	0.00019150425542786343	0.0006113652440922124	0.0025803019772821754
0:homdel:>1Mb	0.001415562320459216	0.0008905636190734967	0.0004961869205130043
1:LOH:0-100kb	0.001271479551985255	0.0045042048761388285	0.0001319302247608789
1:LOH:100kb-1Mb	0.003131875973709839	0.01967268889210118	0.004967718213461785
1:LOH:1Mb-10Mb	0.0022840140837625	0.07576126855376458	0.013723679858322626
1:LOH:10Mb-40Mb	0.0004029322260030721	0.04846990885213018	0.003169631985792023
1:LOH:>40Mb	0.0002034171952326247	0.031236038440838457	0.002549164876904868
2:LOH:0-100kb	0.00402637708597581	0.00408666234669937	0.00027291076261484195
2:LOH:100kb-1Mb	0.04873250225558877	0.009270617687104382	0.0034607799812302175
2:LOH:1Mb-10Mb	0.0951928262040019	0.017616654876046595	0.007977924317147824
2:LOH:10Mb-40Mb	0.05025392059236765	0.005928639535603679	0.000932906446501387
2:LOH:>40Mb	0.017897635982371866	0.0022168496302093386	0.008049278287406097
3-4:LOH:0-100kb	0.00722512311884202	0.003470691078101709	0.0011838238669531266
3-4:LOH:100kb-1Mb	0.014897362317512588	0.0006068168618073244	0.02014892389667466
3-4:LOH:1Mb-10Mb	0.012739976357226795	0.0001688416759013478	0.07565689937211573
3-4:LOH:10Mb-40Mb	0.006758852291545701	3.1981743946714044e-05	0.024072501494514426
3-4:LOH:>40Mb	0.003232484573266703	5.259479620764562e-05	0.008505709574233435
5-8:LOH:0-100kb	0.001799655505187161	0.0005788717763679596	0.002194235871429555
5-8:LOH:100kb-1Mb	0.004816958195358474	0.0005011814906317013	0.010254650460268522
5-8:LOH:1Mb-10Mb	0.004579172690444562	0.0028682230496826122	0.025104213496670125
5-8:LOH:10Mb-40Mb	0.001049227649110972	0.0006800956413387916	0.012388386063722398
5-8:LOH:>40Mb	0.0001098141679648812	0.0005230171050929755	0.0031375593435572567
9+:LOH:0-100kb	0.002853569445038159	0.0021477576488469906	0.0036498920466956266
9+:LOH:100kb-1Mb	0.00538572853938911	9.665091704770034e-05	0.03171893666265532
9+:LOH:1Mb-10Mb	0.0006048050334479171	0.004239143280389967	0.008307731724338937
9+:LOH:10Mb-40Mb	5.887235698764926e-07	8.778047055102433e-07	3.5088837648800106e-07
9+:LOH:>40Mb	5.887235698764926e-07	8.778047055102433e-07	3.5088837648800106e-07
2:het:0-100kb	0.017574251936973723	0.005459164187302576	0.0007963933865195871
2:het:100kb-1Mb	0.012071284805424512	0.03194573638960719	0.0070101006976369005
2:het:1Mb-10Mb	0.0014837100908641787	0.15700947269797325	0.004637125306699428
2:het:10Mb-40Mb	3.7371770216797554e-07	0.17937398850917816	0.0031848351087562688
2:het:>40Mb	3.406626590792283e-07	0.1836290991306305	0.0019983955430682774
3-4:het:0-100kb	0.026049883803352714	0.004024574246542727	0.0026186145439894017
3-4:het:100kb-1Mb	0.05956490483134985	0.028237777035683392	0.015968246887357082
3-4:het:1Mb-10Mb	0.13400876916944982	0.065404879078269	0.04142101417295635
3-4:het:10Mb-40Mb	0.11839155733585358	0.0074372351778254145	0.03641944902017712
3-4:het:>40Mb	0.12646510563790797	0.013766440995809148	0.009613485768470955
5-8:het:0-100kb	0.021370665039867162	0.005088465584849473	0.010091327840304415
5-8:het:100kb-1Mb	0.053055984489619734	0.04259954106062651	0.033295536073856054
5-8:het:1Mb-10Mb	0.04379497188143432	0.016869183000159438	0.19718247674405576
5-8:het:10Mb-40Mb	0.009161661728922325	0.00015695045302905442	0.07690200028254708
5-8:het:>40Mb	0.011672822011751122	1.5050351294121357e-08	0.01715347430294315
9+:het:0-100kb	0.021375986593775452	0.004742714302066702	0.01380206375515968
9+:het:100kb-1Mb	0.03832055458276937	0.014156301445413532	0.11796878729015589
9+:het:1Mb-10Mb	0.014196897318930866	0.002939042819224227	0.12426635233685374
9+:het:10Mb-40Mb	0.00012957196073386633	0.000521983301754858	0.008906676619513974
9+:het:>40Mb	1.6115431318288744e-05	5.114510592818533e-07	0.0007837057958590776
