MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	4.09E-05	5.65E-05	1.33E-04
0:homdel:100kb-1Mb	5.21E-05	7.56E-05	1.93E-04
0:homdel:>1Mb	8.89E-05	1.06E-04	1.43E-04
1:LOH:0-100kb	8.06E-05	2.07E-04	5.70E-05
1:LOH:100kb-1Mb	1.74E-04	4.83E-04	6.01E-04
1:LOH:1Mb-10Mb	2.42E-04	1.54E-03	2.70E-03
1:LOH:10Mb-40Mb	8.20E-05	8.72E-04	1.31E-03
1:LOH:>40Mb	4.91E-05	5.43E-04	5.67E-04
2:LOH:0-100kb	1.55E-04	2.11E-04	1.13E-04
2:LOH:100kb-1Mb	6.75E-04	4.56E-04	5.76E-04
2:LOH:1Mb-10Mb	1.08E-03	6.20E-04	1.00E-03
2:LOH:10Mb-40Mb	6.46E-04	2.67E-04	6.27E-04
2:LOH:>40Mb	4.52E-04	2.10E-04	7.70E-04
3-4:LOH:0-100kb	2.23E-04	2.13E-04	4.00E-04
3-4:LOH:100kb-1Mb	5.67E-04	1.01E-04	1.58E-03
3-4:LOH:1Mb-10Mb	7.28E-04	6.90E-05	2.50E-03
3-4:LOH:10Mb-40Mb	4.20E-04	2.18E-05	1.33E-03
3-4:LOH:>40Mb	1.88E-04	2.25E-05	5.97E-04
5-8:LOH:0-100kb	1.34E-04	9.26E-05	3.20E-04
5-8:LOH:100kb-1Mb	1.94E-04	1.05E-04	6.10E-04
5-8:LOH:1Mb-10Mb	3.54E-04	2.77E-04	1.47E-03
5-8:LOH:10Mb-40Mb	1.57E-04	1.19E-04	6.59E-04
5-8:LOH:>40Mb	3.11E-05	7.44E-05	2.31E-04
9+:LOH:0-100kb	2.13E-04	1.57E-04	4.63E-04
9+:LOH:100kb-1Mb	6.24E-04	3.79E-05	1.49E-03
9+:LOH:1Mb-10Mb	1.01E-04	2.88E-04	4.60E-04
9+:LOH:10Mb-40Mb	2.62E-09	4.05E-09	3.49E-09
9+:LOH:>40Mb	2.62E-09	4.05E-09	3.49E-09
2:het:0-100kb	3.76E-04	3.46E-04	5.38E-04
2:het:100kb-1Mb	2.76E-04	5.43E-04	4.61E-04
2:het:1Mb-10Mb	1.76E-04	1.16E-03	2.32E-03
2:het:10Mb-40Mb	2.38E-08	1.51E-03	1.86E-03
2:het:>40Mb	1.63E-08	1.55E-03	1.15E-03
3-4:het:0-100kb	4.55E-04	3.09E-04	4.54E-04
3-4:het:100kb-1Mb	6.50E-04	6.06E-04	9.60E-04
3-4:het:1Mb-10Mb	1.16E-03	8.89E-04	1.41E-03
3-4:het:10Mb-40Mb	9.43E-04	5.67E-04	1.30E-03
3-4:het:>40Mb	1.30E-03	7.65E-04	1.06E-03
5-8:het:0-100kb	4.27E-04	3.04E-04	6.01E-04
5-8:het:100kb-1Mb	6.95E-04	7.16E-04	1.52E-03
5-8:het:1Mb-10Mb	1.67E-03	8.17E-04	4.14E-03
5-8:het:10Mb-40Mb	6.87E-04	6.15E-05	2.49E-03
5-8:het:>40Mb	4.51E-04	8.60E-09	8.48E-04
9+:het:0-100kb	4.76E-04	2.80E-04	8.02E-04
9+:het:100kb-1Mb	2.69E-03	1.09E-03	6.15E-03
9+:het:1Mb-10Mb	1.43E-03	4.76E-04	2.91E-03
9+:het:10Mb-40Mb	6.13E-05	8.11E-05	3.97E-04
9+:het:>40Mb	1.12E-05	2.64E-08	7.48E-05
