Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.96	47.605	41.039%	9.69	28.137%	0.26471	0.947
PD53332d	162	0.957	63.707	39.325%	13.639	30.559%	0.18607	0.943
PD53332e	90	0.915	48.586	53.984%	15.724	42.328%	0.36723	0.905
PD53333f	203	0.946	76.782	37.824%	18.09	33.155%	0.19455	0.925
PD53334a	135	0.964	52.298	38.739%	10.442	27.134%	0.21706	0.952
PD53337c	85	0.92	44.5	52.353%	10.447	39.179%	0.32929	0.897
PD53338a	190	0.901	90.624	47.697%	19.878	43.419%	0.23012	0.84
PD53342a	167	0.952	64.306	38.507%	16.264	30.896%	0.16497	0.94
PD53343h	85	0.937	40.572	47.732%	10.818	37.171%	0.21642	0.927
PD53343i	105	0.958	38.793	36.946%	9.438	29.92%	0.1554	0.948
PD53345a	173	0.879	95.788	55.369%	25.458	48.085%	0.27977	0.842
PD53347c	261	0.941	89.639	34.344%	27.77	33.738%	0.11266	0.925
PD53348a	173	0.896	79.672	46.053%	21.425	44.801%	0.2356	0.855
PD53349d	157	0.948	63.456	40.418%	12.193	33.624%	0.17554	0.918
PD53349e	134	0.871	74.992	55.964%	15.928	53.693%	0.33301	0.792
PD53350d	190	0.893	112.736	59.335%	24.208	45.156%	0.30847	0.853
PD53350e	187	0.903	97.863	52.333%	22.366	43.18%	0.21526	0.865
PD53351a	369	0.936	136.012	36.86%	34.712	35.985%	0.14662	0.909
PD53352d	138	0.932	58.145	42.134%	14.605	36.354%	0.1971	0.908
PD53352e	178	0.947	69.309	38.938%	15.769	32.795%	0.14992	0.925
PD53354a	102	0.975	31.495	30.877%	7.949	22.288%	0.13453	0.97
PD53355c	156	0.868	86.344	55.349%	22.403	49.748%	0.3002	0.819
PD53357c	124	0.933	63.203	50.97%	13.879	37.28%	0.24015	0.915
PD53357d	181	0.964	52.868	29.209%	12.632	26.684%	0.15929	0.948
PD53357e	162	0.974	43.361	26.766%	9.296	22.64%	0.12987	0.961
PD53358a	166	0.895	87.913	52.96%	19.88	47.935%	0.25796	0.848
PD53359c	186	0.826	117.386	63.111%	25.672	61.228%	0.32304	0.719
PD53361a	124	0.977	39.062	31.502%	8.882	23.309%	0.14201	0.972
PD53362a	107	0.896	67.714	63.284%	14.185	44.656%	0.37769	0.861
PD53364c	252	0.923	113.573	45.069%	27.296	39.058%	0.16002	0.895
PD53365a	230	0.962	74.925	32.576%	16.589	27.481%	0.15747	0.946
PD53368a	258	0.962	90.793	35.191%	18.794	27.992%	0.14445	0.947
PD53369a	118	0.912	60.151	50.975%	14.674	40.951%	0.2618	0.885
