Samples	CNV48A	CNV48B	CNV48C	CNV48D
PD53330c	15	3	89	9
PD53332d	66	39	0	57
PD53332e	7	0	83	0
PD53333f	170	32	0	1
PD53334a	3	22	90	20
PD53337c	19	0	66	0
PD53338a	0	114	73	3
PD53342a	0	40	123	4
PD53343h	23	0	62	0
PD53343i	36	0	69	0
PD53345a	59	114	0	0
PD53347c	0	0	0	261
PD53348a	7	24	114	28
PD53349d	91	37	4	25
PD53349e	72	42	4	16
PD53350d	5	176	0	9
PD53350e	12	163	0	12
PD53351a	146	71	27	125
PD53352d	131	2	0	5
PD53352e	172	0	2	4
PD53354a	5	0	97	0
PD53355c	34	122	0	0
PD53357c	90	3	0	31
PD53357d	121	15	2	43
PD53357e	97	42	4	19
PD53358a	24	6	114	22
PD53359c	110	0	0	76
PD53361a	15	3	89	17
PD53362a	85	0	8	14
PD53364c	156	11	12	73
PD53365a	118	96	4	12
PD53368a	124	51	7	76
PD53369a	0	35	83	0
