Samples	CNV48A	CNV48B	CNV48C	CNV48D
PD53330c	8.02E-01	6.68E-01	8.13E-01	5.61E-01
PD53332d	2.26E+00	2.94E+00	2.32E-01	1.69E+00
PD53332e	6.41E-01	3.93E-01	6.78E-01	1.16E-01
PD53333f	3.39E+00	3.62E+00	0.00E+00	1.45E+00
PD53334a	8.06E-01	1.31E+00	9.25E-01	8.88E-01
PD53337c	7.70E-01	4.43E-01	6.24E-01	2.67E-01
PD53338a	1.33E+00	2.45E+00	2.26E+00	1.61E+00
PD53342a	5.00E-02	2.29E+00	2.05E+00	1.04E+00
PD53343h	6.81E-01	5.42E-01	6.40E-01	0.00E+00
PD53343i	9.56E-01	4.88E-01	8.86E-01	5.80E-02
PD53345a	4.58E+00	5.09E+00	0.00E+00	1.40E+00
PD53347c	0.00E+00	2.24E+00	0.00E+00	2.24E+00
PD53348a	6.88E-01	4.42E+00	3.68E+00	1.11E+00
PD53349d	2.54E+00	2.78E+00	2.67E-01	1.19E+00
PD53349e	1.89E+00	2.81E+00	3.33E-01	1.56E+00
PD53350d	4.41E+00	6.58E+00	0.00E+00	3.07E+00
PD53350e	4.00E+00	5.80E+00	1.00E-01	2.58E+00
PD53351a	4.87E+00	7.00E+00	1.15E+00	4.28E+00
PD53352d	1.44E+00	1.49E+00	8.33E-02	8.02E-01
PD53352e	1.49E+00	1.55E+00	2.75E-01	9.30E-01
PD53354a	4.61E-01	1.21E+00	1.09E+00	0.00E+00
PD53355c	3.41E+00	4.23E+00	2.33E-01	1.72E+00
PD53357c	2.67E+00	2.89E+00	1.29E-01	1.17E+00
PD53357d	2.59E+00	3.09E+00	0.00E+00	1.77E+00
PD53357e	1.94E+00	2.03E+00	3.32E-01	1.12E+00
PD53358a	1.18E+00	2.47E+00	2.09E+00	8.89E-01
PD53359c	2.20E+00	2.20E+00	0.00E+00	2.05E+00
PD53361a	6.69E-01	1.22E+00	9.61E-01	6.19E-01
PD53362a	1.32E+00	1.20E+00	5.57E-01	8.89E-01
PD53364c	3.35E+00	3.78E+00	4.39E-01	1.89E+00
PD53365a	3.33E+00	3.72E+00	4.41E-01	1.67E+00
PD53368a	3.32E+00	4.26E+00	6.39E-01	2.46E+00
PD53369a	7.88E-01	1.21E+00	8.88E-01	6.05E-01
