MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	0.0001228061074768405	0.0008862486914984658	0.0004405009173532903	0.0010655211803512544
0:homdel:100kb-1Mb	0.00010557913995409507	0.0005629027752173954	0.0006558705419428179	0.003155090871215833
0:homdel:>1Mb	0.0018647932421810508	0.000895961040504929	0.0006929106431592658	0.00036013467442998605
1:LOH:0-100kb	0.0015568195990391586	0.0005760756713960902	0.004844220036675324	0.00012913578535814763
1:LOH:100kb-1Mb	0.003964823307065614	0.002748798663253029	0.02070863503962755	0.005631282005475953
1:LOH:1Mb-10Mb	0.003083024710202906	0.02077290941645014	0.0740731041588549	0.010819452647566407
1:LOH:10Mb-40Mb	0.0006181563449263194	0.009774845967083614	0.048719165387519754	0.0010277525318031166
1:LOH:>40Mb	1.653288465565783e-05	0.006502684224271605	0.03240946034417107	0.0004116643844799128
2:LOH:0-100kb	0.0057593877434120345	0.000693811205241488	0.003753441557852852	0.0003472096315453399
2:LOH:100kb-1Mb	0.05845896903425455	0.01873391379087792	0.0073681422018648845	0.0032443577322131033
2:LOH:1Mb-10Mb	0.09476830311119556	0.07165039090439677	0.011524100273381918	0.0038685232764445487
2:LOH:10Mb-40Mb	0.06006914410740137	0.01850218536667768	0.003075537032297575	0.0005083278331960907
2:LOH:>40Mb	0.021188968224450946	0.006063939287395783	0.0014590169296851486	0.010913006885525931
3-4:LOH:0-100kb	0.01034393664682284	0.0008334245146462038	0.003214905370899004	0.0009910463119465619
3-4:LOH:100kb-1Mb	0.01774427482005489	0.0028979670151557	0.00045823189219845517	0.028661836297251286
3-4:LOH:1Mb-10Mb	0.011121738314272704	0.015797143575088057	0.00016028228449883387	0.09347232460975646
3-4:LOH:10Mb-40Mb	0.006318369302974318	0.002527472145005447	3.532249454707426e-08	0.03446511356625706
3-4:LOH:>40Mb	0.0039538202181779525	0.0004316046560285436	8.901364379738652e-06	0.011912122532958164
5-8:LOH:0-100kb	0.0019891483303953804	0.0015230452954952155	0.0005302322243547763	0.0022793345197755065
5-8:LOH:100kb-1Mb	0.005415663019941803	0.004673013818342006	0.00045008920408051267	0.010682869985021597
5-8:LOH:1Mb-10Mb	0.0049312918054448575	0.002312468494874298	0.0030634404176002584	0.03364652508302868
5-8:LOH:10Mb-40Mb	0.0006479232623445341	0.00041408349059645743	0.0005167363187637796	0.017894551397766918
5-8:LOH:>40Mb	2.1614050557001717e-05	0.0012344668744812993	0.0005406554494523163	0.002878223569380225
9+:LOH:0-100kb	0.00112393952142142	0.007733772006367588	0.0026344399201784084	0.0008605143432668872
9+:LOH:100kb-1Mb	0.0012980482816152517	0.03334249305457718	0.00010689381589902069	0.014496450450716908
9+:LOH:1Mb-10Mb	0.0002515681210105569	0.0077661431471995005	0.0038398980214461175	0.004301527999739391
9+:LOH:10Mb-40Mb	6.197237948413203e-07	4.77991363396768e-07	9.148724160468191e-07	3.41262387308916e-07
9+:LOH:>40Mb	6.197237948413203e-07	4.77991363396768e-07	9.148724160468191e-07	3.41262387308916e-07
2:het:0-100kb	0.024975666376144547	0.0015371213176167187	0.004721117908052293	0.0007864104213059165
2:het:100kb-1Mb	0.01584250890649855	0.004085172214118898	0.03364187248051167	0.009352872913402734
2:het:1Mb-10Mb	0.0021815774532319664	0.015533403539893608	0.16629026874899863	0.000901379382541343
2:het:10Mb-40Mb	5.813083609496062e-07	0.009866621147300308	0.19516638770699501	1.4487422264023024e-07
2:het:>40Mb	2.7506762052098565e-07	0.0036751431314208773	0.20355907663702966	1.5561670372754576e-07
3-4:het:0-100kb	0.03460227216593921	0.003427306993893495	0.004098469356700889	0.0034190560039723296
3-4:het:100kb-1Mb	0.05994702287018299	0.045069952388876115	0.026346484795212746	0.01497972174314782
3-4:het:1Mb-10Mb	0.14644070036709309	0.08166539579629899	0.06002558004111051	0.043288383060134945
3-4:het:10Mb-40Mb	0.1286142610758543	0.0721115882596871	0.0017280951335851785	0.03474216812755913
3-4:het:>40Mb	0.12768188506364822	0.08758301227619199	0.006991560116760542	0.006050891690538265
5-8:het:0-100kb	0.02234809179790318	0.01578387558871782	0.0044643963474663905	0.00989352966023816
5-8:het:100kb-1Mb	0.044761352390050885	0.06415526137221604	0.04034508395940065	0.0276228406233713
5-8:het:1Mb-10Mb	0.029710215339500138	0.07441950670443476	0.015410881177322153	0.23142644941806792
5-8:het:10Mb-40Mb	0.00549857630352335	0.010016158501169485	0.00014609486354445983	0.10323981307446957
5-8:het:>40Mb	0.008905082496145269	0.014797931188009983	4.878273136554867e-09	0.019517561428947373
9+:het:0-100kb	0.017905082488887274	0.0269517624474247	0.003222554079825386	0.010028293728456034
9+:het:100kb-1Mb	0.010885109259344859	0.154153976226321	0.006559097437029209	0.06511288471519946
9+:het:1Mb-10Mb	0.0029594869123604896	0.07491991437505931	0.0014368056850972582	0.10883178271353244
9+:het:10Mb-40Mb	1.356415998721161e-07	0.00037618082149890595	0.0005948865273799698	0.011694140129446851
9+:het:>40Mb	2.3699817337075046e-07	1.7996704197287273e-05	6.005551206555992e-07	0.0010869366875178343
