MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	2.88E-05	9.39E-05	6.18E-05	1.26E-04
0:homdel:100kb-1Mb	4.18E-05	8.16E-05	7.78E-05	2.26E-04
0:homdel:>1Mb	1.26E-04	1.71E-04	1.10E-04	1.01E-04
1:LOH:0-100kb	1.27E-04	1.40E-04	2.30E-04	5.53E-05
1:LOH:100kb-1Mb	2.39E-04	7.49E-04	5.31E-04	4.33E-04
1:LOH:1Mb-10Mb	3.80E-04	5.16E-03	2.37E-03	9.27E-04
1:LOH:10Mb-40Mb	1.49E-04	2.56E-03	1.30E-03	2.06E-04
1:LOH:>40Mb	1.65E-05	1.44E-03	7.68E-04	1.29E-04
2:LOH:0-100kb	2.72E-04	2.27E-04	2.28E-04	1.35E-04
2:LOH:100kb-1Mb	9.98E-04	1.20E-03	4.86E-04	3.89E-04
2:LOH:1Mb-10Mb	1.22E-03	2.10E-03	6.93E-04	5.63E-04
2:LOH:10Mb-40Mb	9.99E-04	1.22E-03	2.61E-04	5.08E-04
2:LOH:>40Mb	6.29E-04	5.83E-04	1.79E-04	8.40E-04
3-4:LOH:0-100kb	3.38E-04	2.75E-04	2.62E-04	3.82E-04
3-4:LOH:100kb-1Mb	8.93E-04	6.83E-04	9.28E-05	1.81E-03
3-4:LOH:1Mb-10Mb	9.29E-04	1.21E-03	5.61E-05	2.33E-03
3-4:LOH:10Mb-40Mb	4.80E-04	3.58E-04	1.47E-08	1.44E-03
3-4:LOH:>40Mb	2.73E-04	1.84E-04	8.21E-06	6.44E-04
5-8:LOH:0-100kb	1.73E-04	2.72E-04	9.73E-05	3.42E-04
5-8:LOH:100kb-1Mb	3.04E-04	4.71E-04	9.30E-05	7.04E-04
5-8:LOH:1Mb-10Mb	4.47E-04	6.06E-04	2.79E-04	1.67E-03
5-8:LOH:10Mb-40Mb	1.39E-04	2.75E-04	1.38E-04	6.77E-04
5-8:LOH:>40Mb	1.32E-05	1.42E-04	9.10E-05	2.91E-04
9+:LOH:0-100kb	2.12E-04	5.30E-04	1.95E-04	2.95E-04
9+:LOH:100kb-1Mb	3.46E-04	1.73E-03	4.47E-05	1.42E-03
9+:LOH:1Mb-10Mb	7.69E-05	4.86E-04	3.19E-04	4.26E-04
9+:LOH:10Mb-40Mb	5.08E-09	9.73E-09	6.45E-09	3.78E-09
9+:LOH:>40Mb	5.08E-09	9.73E-09	6.45E-09	3.78E-09
2:het:0-100kb	7.65E-04	8.04E-04	3.63E-04	5.10E-04
2:het:100kb-1Mb	5.81E-04	1.02E-03	6.90E-04	6.27E-04
2:het:1Mb-10Mb	2.70E-04	4.24E-03	1.45E-03	3.22E-04
2:het:10Mb-40Mb	6.36E-08	3.04E-03	1.51E-03	1.80E-08
2:het:>40Mb	3.02E-08	1.42E-03	2.29E-03	1.53E-08
3-4:het:0-100kb	7.50E-04	8.27E-04	3.70E-04	5.42E-04
3-4:het:100kb-1Mb	8.27E-04	1.73E-03	8.41E-04	1.04E-03
3-4:het:1Mb-10Mb	1.72E-03	2.69E-03	1.17E-03	1.89E-03
3-4:het:10Mb-40Mb	1.38E-03	2.60E-03	3.57E-04	1.16E-03
3-4:het:>40Mb	1.97E-03	4.34E-03	8.60E-04	5.67E-04
5-8:het:0-100kb	8.03E-04	1.24E-03	3.61E-04	6.54E-04
5-8:het:100kb-1Mb	1.21E-03	2.14E-03	7.46E-04	1.18E-03
5-8:het:1Mb-10Mb	1.90E-03	3.17E-03	8.70E-04	3.67E-03
5-8:het:10Mb-40Mb	6.55E-04	8.09E-04	6.22E-05	2.20E-03
5-8:het:>40Mb	5.71E-04	8.47E-04	2.77E-09	1.07E-03
9+:het:0-100kb	7.33E-04	1.35E-03	3.69E-04	5.86E-04
9+:het:100kb-1Mb	1.87E-03	5.53E-03	8.02E-04	3.95E-03
9+:het:1Mb-10Mb	7.32E-04	2.54E-03	3.02E-04	2.48E-03
9+:het:10Mb-40Mb	9.47E-08	1.50E-04	1.01E-04	4.79E-04
9+:het:>40Mb	2.70E-08	1.77E-05	2.47E-08	9.97E-05
