Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
PD53330c	8.78E-01	9.48E-01	8.76E-01	4.81E-01	6.20E-01
PD53332d	2.50E+00	3.21E+00	2.20E-01	2.53E+00	1.81E+00
PD53332e	6.08E-01	4.94E-01	7.03E-01	3.47E-01	4.82E-02
PD53333f	4.37E+00	4.44E+00	0.00E+00	3.00E+00	1.39E+00
PD53334a	5.45E-01	1.70E+00	1.30E+00	1.03E+00	7.96E-01
PD53337c	9.34E-01	7.61E-01	6.55E-01	4.23E-01	2.31E-01
PD53338a	1.27E+00	4.01E+00	3.09E+00	2.11E+00	1.02E+00
PD53342a	3.59E-02	3.62E+00	2.88E+00	1.28E+00	6.01E-01
PD53343h	9.03E-01	9.97E-01	6.88E-01	4.93E-01	1.00E-02
PD53343i	1.21E+00	1.37E+00	1.02E+00	5.91E-01	1.00E-02
PD53345a	3.68E+00	2.69E+00	0.00E+00	3.68E+00	3.92E-01
PD53347c	3.97E-01	1.86E+00	0.00E+00	1.64E+00	2.39E+00
PD53348a	5.93E-01	5.76E+00	4.99E+00	8.17E-01	1.06E+00
PD53349d	2.29E+00	1.81E+00	2.91E-01	2.15E+00	1.35E+00
PD53349e	2.32E+00	9.90E-01	3.31E-01	2.11E+00	1.51E+00
PD53350d	1.83E+00	1.94E+00	0.00E+00	2.92E+00	1.26E+00
PD53350e	2.07E+00	2.44E+00	6.86E-02	3.06E+00	1.39E+00
PD53351a	6.26E+00	1.07E+01	9.90E-01	5.65E+00	5.18E+00
PD53352d	2.52E+00	2.60E+00	4.24E-02	1.11E+00	8.70E-01
PD53352e	3.95E+00	4.08E+00	2.83E-01	1.75E+00	8.11E-01
PD53354a	5.01E-01	2.14E+00	1.93E+00	0.00E+00	0.00E+00
PD53355c	2.41E+00	1.82E+00	2.22E-01	2.39E+00	4.71E-01
PD53357c	3.30E+00	3.40E+00	1.18E-01	2.45E+00	1.16E+00
PD53357d	4.49E+00	5.09E+00	0.00E+00	2.83E+00	1.75E+00
PD53357e	2.48E+00	2.65E+00	3.38E-01	1.75E+00	1.16E+00
PD53358a	1.47E+00	3.29E+00	2.86E+00	8.65E-01	7.63E-01
PD53359c	4.30E+00	4.80E+00	0.00E+00	2.07E+00	2.09E+00
PD53361a	4.56E-01	1.60E+00	1.28E+00	8.02E-01	5.59E-01
PD53362a	2.03E+00	2.12E+00	5.55E-01	5.91E-01	8.65E-01
PD53364c	5.44E+00	6.53E+00	3.78E-01	3.33E+00	2.16E+00
PD53365a	5.29E+00	5.80E+00	3.53E-01	4.24E+00	7.50E-01
PD53368a	4.50E+00	6.27E+00	4.77E-01	3.79E+00	2.92E+00
PD53369a	6.50E-01	1.10E+00	9.72E-01	1.11E+00	3.77E-01
