MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	0.00023649070465040723	0.00043217855375292656	0.00037866256345409966	0.0012742109666739054	0.0008656943549247842
0:homdel:100kb-1Mb	5.22610335548257e-05	4.1559403607145385e-05	0.000761939131046745	0.0009123776053252541	0.003830448196940921
0:homdel:>1Mb	0.002599303807249029	0.0011585132946192278	0.0005871453881580635	0.00038001099716815644	0.000568899390427049
1:LOH:0-100kb	0.002151182259139226	0.0004116533975866332	0.0054844971873103535	0.00026078770859236047	0.00017228131479591014
1:LOH:100kb-1Mb	0.003027695893862443	0.010948833645644883	0.020139787850863514	0.00015081201829929115	0.005929403879403008
1:LOH:1Mb-10Mb	0.0005265171938864917	0.067245324252508	0.058362401197580877	0.0003172136927543789	0.006075517241101949
1:LOH:10Mb-40Mb	0.00020107028383088227	0.030335427245988172	0.04178020332733695	0.0003657403043705365	0.00034998105463930786
1:LOH:>40Mb	6.671326750286255e-05	0.014330693036135003	0.030177676176053013	0.002800681949567121	5.818610413044212e-07
2:LOH:0-100kb	0.005659533372114254	0.0039953361762074735	0.00355473427577067	0.00029769300658152533	0.00019932637587098513
2:LOH:100kb-1Mb	0.06239342053886503	0.02596441222471186	0.006517681401646773	0.01875219161719883	0.0027965827217915694
2:LOH:1Mb-10Mb	0.08316946171224117	0.06934354037977755	0.00795766748763981	0.07596929140388965	0.002024157796986401
2:LOH:10Mb-40Mb	0.0564161488506943	0.03508183739580545	0.001853426002697347	0.015610362315789529	4.2952935523643543e-07
2:LOH:>40Mb	0.022899629302555694	0.011488146120416615	0.0009552494092039155	0.005158493734220997	0.010639565987028012
3-4:LOH:0-100kb	0.012387142820045653	0.0032204345808907677	0.0031902457087807077	0.00020015426480288312	0.0023907702062662393
3-4:LOH:100kb-1Mb	0.020478518922675448	0.00964466856120346	0.00038307347685602623	0.0016970334534265063	0.032306157308630644
3-4:LOH:1Mb-10Mb	0.011649938960730992	0.020419639337243323	0.00012138910295789174	0.01341969369649064	0.10382175203412772
3-4:LOH:10Mb-40Mb	0.009337550883982004	0.003911552651915571	2.5435781931939516e-05	0.0021825317381689046	0.04103545176330954
3-4:LOH:>40Mb	0.005405904842119185	0.0003718102865245143	4.362652925919752e-05	5.508418832037343e-05	0.015736109500646016
5-8:LOH:0-100kb	0.001938319006322402	0.003877537468750347	0.00042970817962988405	0.0005203082093400058	0.0009456526359527828
5-8:LOH:100kb-1Mb	0.00844666121051489	0.005237757742191889	0.00019581787847460674	0.0030962193771356893	0.010706621623516668
5-8:LOH:1Mb-10Mb	0.008431259469305914	0.006964055950481907	0.0026238844455749445	1.816498844675607e-08	0.03778667563933311
5-8:LOH:10Mb-40Mb	0.00232694814606468	6.089540738862808e-07	0.00043290814706494987	1.9316303950134284e-07	0.022450343950526985
5-8:LOH:>40Mb	0.00021636892285847864	0.00018866339146017097	0.000668199862042016	0.0014725767772624464	0.003375340940986007
9+:LOH:0-100kb	0.0013096289793754323	0.0005889213447736097	0.0027708988469777296	0.011387029490433633	1.280861475800421e-05
9+:LOH:100kb-1Mb	0.003153379730288961	0.0029174604353923426	0.00018966016733537927	0.0439384161029011	0.013215213793801013
9+:LOH:1Mb-10Mb	0.0008228276053610273	0.004562716946269632	0.003012463427822425	0.007342719920756053	0.004604977965198031
9+:LOH:10Mb-40Mb	7.126382746491799e-07	3.3587943313762027e-07	9.834855416102074e-07	5.274315095959991e-07	3.7491362974151344e-07
9+:LOH:>40Mb	7.126382746491799e-07	3.3587943313762027e-07	9.834855416102074e-07	5.274315095959991e-07	3.7491362974151344e-07
2:het:0-100kb	0.02507202977685921	0.009883806007498209	0.005257150024438317	0.0008410626254761055	0.00028700219451425644
2:het:100kb-1Mb	0.014211049074074254	0.01435942488187493	0.0366176338121295	0.0014671701389628211	0.009369106449585161
