MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	5.61E-05	1.05E-04	5.65E-05	1.37E-04	1.26E-04
0:homdel:100kb-1Mb	2.19E-05	2.46E-05	8.64E-05	1.07E-04	2.86E-04
0:homdel:>1Mb	2.55E-04	2.18E-04	1.01E-04	1.01E-04	1.84E-04
1:LOH:0-100kb	2.12E-04	1.12E-04	2.82E-04	8.09E-05	7.74E-05
1:LOH:100kb-1Mb	2.93E-04	1.13E-03	6.34E-04	9.40E-05	4.85E-04
1:LOH:1Mb-10Mb	2.71E-04	7.39E-03	3.44E-03	2.41E-04	5.77E-04
1:LOH:10Mb-40Mb	1.08E-04	4.12E-03	1.98E-03	1.21E-04	1.38E-04
1:LOH:>40Mb	4.87E-05	2.52E-03	1.17E-03	2.60E-04	3.43E-07
2:LOH:0-100kb	3.45E-04	4.90E-04	2.61E-04	1.37E-04	1.08E-04
2:LOH:100kb-1Mb	1.52E-03	2.01E-03	5.94E-04	1.21E-03	3.32E-04
2:LOH:1Mb-10Mb	2.25E-03	3.45E-03	7.29E-04	1.61E-03	3.22E-04
2:LOH:10Mb-40Mb	1.70E-03	2.57E-03	2.74E-04	1.03E-03	3.16E-07
2:LOH:>40Mb	8.66E-04	9.18E-04	2.00E-04	5.44E-04	8.82E-04
3-4:LOH:0-100kb	7.13E-04	4.92E-04	2.94E-04	8.85E-05	7.11E-04
3-4:LOH:100kb-1Mb	1.48E-03	1.47E-03	9.21E-05	3.71E-04	2.00E-03
3-4:LOH:1Mb-10Mb	1.37E-03	1.82E-03	5.51E-05	9.50E-04	2.60E-03
3-4:LOH:10Mb-40Mb	1.18E-03	6.01E-04	1.84E-05	2.53E-04	1.86E-03
3-4:LOH:>40Mb	4.50E-04	1.08E-04	2.52E-05	5.50E-05	8.84E-04
5-8:LOH:0-100kb	2.36E-04	3.50E-04	9.03E-05	1.12E-04	2.29E-04
5-8:LOH:100kb-1Mb	8.11E-04	6.30E-04	5.37E-05	3.92E-04	7.99E-04
5-8:LOH:1Mb-10Mb	1.06E-03	1.01E-03	3.05E-04	9.47E-09	1.93E-03
5-8:LOH:10Mb-40Mb	4.76E-04	4.42E-07	1.61E-04	3.35E-08	8.98E-04
5-8:LOH:>40Mb	8.13E-05	7.34E-05	1.01E-04	1.63E-04	3.56E-04
9+:LOH:0-100kb	2.84E-04	1.74E-04	2.31E-04	6.65E-04	1.01E-05
9+:LOH:100kb-1Mb	8.00E-04	8.96E-04	6.83E-05	1.80E-03	1.28E-03
9+:LOH:1Mb-10Mb	2.77E-04	6.67E-04	3.20E-04	5.40E-04	4.47E-04
9+:LOH:10Mb-40Mb	9.50E-09	1.58E-08	9.14E-09	7.52E-09	6.57E-09
9+:LOH:>40Mb	9.50E-09	1.58E-08	9.14E-09	7.52E-09	6.57E-09
2:het:0-100kb	1.32E-03	1.64E-03	4.30E-04	3.73E-04	2.48E-04
2:het:100kb-1Mb	8.78E-04	1.24E-03	1.07E-03	3.80E-04	6.43E-04
2:het:1Mb-10Mb	3.04E-04	5.81E-03	1.78E-03	1.81E-04	2.93E-04
2:het:10Mb-40Mb	1.64E-04	5.62E-03	2.12E-03	2.87E-08	6.74E-08
2:het:>40Mb	4.40E-08	2.40E-03	3.20E-03	2.49E-07	2.06E-08
3-4:het:0-100kb	1.22E-03	1.65E-03	3.65E-04	4.68E-04	6.39E-04
3-4:het:100kb-1Mb	1.56E-03	2.85E-03	1.03E-03	1.26E-03	9.53E-04
3-4:het:1Mb-10Mb	3.34E-03	5.19E-03	1.49E-03	2.22E-03	1.80E-03
3-4:het:10Mb-40Mb	2.89E-03	3.76E-03	1.56E-04	2.33E-03	1.44E-03
3-4:het:>40Mb	3.23E-03	3.72E-03	1.26E-03	2.72E-03	6.31E-04
5-8:het:0-100kb	1.36E-03	9.49E-04	4.05E-04	1.22E-03	8.41E-04
5-8:het:100kb-1Mb	1.76E-03	3.11E-03	1.33E-03	1.54E-03	1.20E-03
5-8:het:1Mb-10Mb	1.72E-03	6.52E-03	9.17E-04	3.30E-03	4.62E-03
5-8:het:10Mb-40Mb	9.89E-04	1.20E-03	1.17E-04	7.91E-04	2.73E-03
5-8:het:>40Mb	8.71E-04	4.91E-04	1.48E-09	8.70E-04	1.47E-03
9+:het:0-100kb	9.53E-04	1.13E-03	3.69E-04	1.08E-03	5.09E-04
9+:het:100kb-1Mb	1.29E-03	3.78E-03	9.40E-04	3.78E-03	2.22E-03
9+:het:1Mb-10Mb	6.45E-04	3.25E-03	2.12E-04	2.31E-03	2.51E-03
9+:het:10Mb-40Mb	1.58E-04	8.52E-05	1.05E-04	1.18E-04	6.02E-04
9+:het:>40Mb	2.86E-08	1.71E-08	2.27E-08	2.23E-08	1.24E-04
