MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	9.556993962009486e-05	0.00017000480351107684	0.0003179341156747739	0.0015317443629848171	0.0009381674300136921	0.000779892591101472
0:homdel:100kb-1Mb	5.656518460313009e-05	6.454448967756043e-05	0.0008420503663533907	0.000978258431745509	0.004230782061130612	0.00037152811555685617
0:homdel:>1Mb	0.0023905429315431094	0.0007589130133086997	0.0003004154212864307	0.0001531071496929215	0.0005196845988449184	0.002624349824856935
1:LOH:0-100kb	0.002266312343776562	0.0005606025388047442	0.006137908278453778	0.0003859000944790125	0.0003295161254618506	0.0007808207122509714
1:LOH:100kb-1Mb	0.0031705099031201557	0.004973978286868892	0.018296290258321052	5.458966569449331e-08	0.0061988861638312895	0.016081513629827383
1:LOH:1Mb-10Mb	0.0002134527738390446	0.016993693815025353	0.04312842619687949	7.261822474902147e-08	0.0047467329937852295	0.09391989731812828
1:LOH:10Mb-40Mb	9.491682408893356e-05	0.005422959449790738	0.03427961723675679	0.0004166205405845602	0.0002219424231139655	0.04508687000149614
1:LOH:>40Mb	9.705794661680755e-05	2.6441642440033776e-08	0.026923468502159976	0.0031478420574154596	1.9799093888828168e-07	0.025054365213240004
2:LOH:0-100kb	0.005830912384555447	0.003628945044896739	0.0033317203609664146	0.00010017990302465308	0.0004105862426384732	0.0044804914210689615
2:LOH:100kb-1Mb	0.06301664936163434	0.03122833283516229	0.0064924935803719564	0.0176010460538464	0.0034376601473542225	0.028362983343158704
2:LOH:1Mb-10Mb	0.07812351873144507	0.08602057248295751	0.006953871238020071	0.0739976967345774	0.0015202203993692365	0.04630848119461007
2:LOH:10Mb-40Mb	0.047926347013562916	0.04866316845095525	0.001068046069541424	0.014156673702286184	0.00033672900416057414	0.027009686003518708
2:LOH:>40Mb	0.02544622099869798	0.013601252859463103	0.0007534797140994328	0.00435658436039489	0.011042741287011779	0.00914997075086319
3-4:LOH:0-100kb	0.012929325651214185	0.0028221647750456213	0.0029322307734869924	0.00012807166826814154	0.002335287376131134	0.007279738038906034
3-4:LOH:100kb-1Mb	0.015368799769170778	0.012190375914597667	0.00037017828517457827	0.0016084679392653811	0.032284636008553205	0.02068518838877239
3-4:LOH:1Mb-10Mb	0.008520455559816896	0.025286860425420627	0.00031390208808105055	0.012691836083322415	0.10635265171527862	0.02192689048437785
3-4:LOH:10Mb-40Mb	0.007632902321521442	0.0046550287741078476	6.14805157539422e-08	0.002446391017449052	0.0438359315181151	0.009179867476973911
3-4:LOH:>40Mb	0.005860360787104355	0.0007895233128236612	2.071200050417943e-05	0.0002062065179066064	0.017375166807323695	0.0019069615585561904
5-8:LOH:0-100kb	0.0016812967341299867	0.0033842918809132527	0.000314081776870303	0.0002550742702170084	0.0007389967038692191	0.0030723747032189407
5-8:LOH:100kb-1Mb	0.007770882035161577	0.004760638148414955	0.00015187026529474678	0.0032477945089455316	0.009904793873097333	0.007025710212159879
5-8:LOH:1Mb-10Mb	0.008983602320340652	0.004314974606042483	0.001946262152563918	0.00011619759605018488	0.038671034983584034	0.010770241419946274
5-8:LOH:10Mb-40Mb	0.002151953512350726	0.00031698711653024955	0.0005968256052405252	0.0002590626676717278	0.024941863499116153	0.000969600449444954
5-8:LOH:>40Mb	0.00018657540400452533	0.00010399007847219365	0.0007463752152109749	0.0015848445099437925	0.0038780880271683314	0.00048388903022996034
9+:LOH:0-100kb	0.0014146726316910474	0.00017988767945244179	0.003231514681537533	0.012304065189612174	1.3368263484849763e-05	0.001996412214152201
9+:LOH:100kb-1Mb	0.0030883668706600353	0.00037789926644848037	7.243571903096324e-05	0.050176004392531864	0.011698331615234566	0.011195537148315964
9+:LOH:1Mb-10Mb	0.0007926390741386769	0.0007926510218003103	0.002425315548221221	0.007397511619096448	0.0039064704131299526	0.00913335951842214
9+:LOH:10Mb-40Mb	7.895187133044601e-07	3.0024684416929403e-07	1.0385040911842225e-06	5.420492165342239e-07	3.9735037901778017e-07	4.85763936840522e-07
9+:LOH:>40Mb	7.895187133044601e-07	3.0024684416929403e-07	1.0385040911842225e-06	5.420492165342239e-07	3.9735037901778017e-07	4.85763936840522e-07
2:het:0-100kb	0.02207078350436973	0.012785617885408839	0.005887531010161382	0.0002901281734790473	0.001063057975966899	0.014929782606058666
2:het:100kb-1Mb	0.011761824641332623	0.014038963801565102	0.03712530150078237	0.0009569495932478844	0.009896648688950335	0.021248014739398968
2:het:1Mb-10Mb	0.0025738008602041694	0.008529915920184905	0.16966607518494128	0.0006346089641017372	4.140488744519999e-05	0.07373683223865647
2:het:10Mb-40Mb	0.0005053318219758296	0.0004156621347390832	0.21017438501119615	2.61575881062015e-07	1.7819343788971765e-07	0.06899985475896074
2:het:>40Mb	5.624363785550202e-07	0.0012327779846325981	0.2472329953312874	1.3042569825441816e-05	1.8256191426146983e-07	0.030587829478560737
3-4:het:0-100kb	0.031528038223823385	0.01911255433828444	0.0031378672547523936	0.001281949643770588	0.004587900149072937	0.019951324025192535
3-4:het:100kb-1Mb	0.037862930223345755	0.070324529906502	0.026830381357576698	0.04478857042267918	0.01150661385152489	0.03670801310334355
3-4:het:1Mb-10Mb	0.12228036995977164	0.16707178201526404	0.055616133026778695	0.06337715340734178	0.03085864122345811	0.07154173918068409
3-4:het:10Mb-40Mb	0.16975921411067246	0.06187163451464585	0.00040909530012868346	0.07418900145217776	0.036578561193309725	0.04058206173835401
3-4:het:>40Mb	0.17134153939783572	0.03504426696128073	0.01212565445456903	0.1149706318974495	0.006138730807587223	0.03641323202121385
5-8:het:0-100kb	0.02835235596277016	0.007368889323988697	0.00558174763104887	0.019195772842346626	0.012390008485147349	0.01142089885708316
5-8:het:100kb-1Mb	0.04054738920647651	0.05869847593363375	0.04628817769698799	0.06780615695752204	0.022634857844095677	0.026471532966243102
5-8:het:1Mb-10Mb	0.013141474195799691	0.13129197001457216	0.007283432628745885	0.058852758347056805	0.21591500848531722	0.05732197823012257
5-8:het:10Mb-40Mb	0.010174367599169613	0.014873496498457825	0.0003637872237938922	0.009812644629301417	0.12884718529880046	0.007778349196350973
5-8:het:>40Mb	0.011471811836775031	0.002159648964872165	2.077033649072746e-08	0.02357596902444641	0.026686704766470937	0.007215639972142327
9+:het:0-100kb	0.01582401412571585	0.017346261053753552	0.0038289140754796235	0.03405891104601324	0.009744992349296808	0.008818770944746604
9+:het:100kb-1Mb	0.0034456452310217857	0.06062794135296315	0.005219574228133865	0.19302074640989303	0.040262396627804266	0.029943459111192963
9+:het:1Mb-10Mb	0.0017543496654980118	0.04483241729664314	0.0004416230116822817	0.08380944122148776	0.0948214835114777	0.03034656638511251
9+:het:10Mb-40Mb	0.0004918700277628929	0.00031014574593603685	0.0008369218809829704	9.370711062167914e-05	0.016565052538821873	0.0003461088611785002
9+:het:>40Mb	3.428942815109082e-07	1.7571099967028658e-07	8.102599042558723e-07	2.3190545348157342e-05	0.0015891335257623496	4.1154243348273665e-07
