Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
PD53330c	12	0	82	5	1	5	11
PD53332d	53	47	1	22	0	0	39
PD53332e	1	6	81	2	0	0	0
PD53333f	55	20	0	13	115	0	0
PD53334a	0	30	73	4	0	21	7
PD53337c	12	0	63	0	9	0	1
PD53338a	0	3	20	61	0	106	0
PD53342a	0	0	66	14	0	87	0
PD53343h	19	5	61	0	0	0	0
PD53343i	10	15	62	0	18	0	0
PD53345a	70	5	2	96	0	0	0
PD53347c	0	7	0	7	0	0	247
PD53348a	0	1	14	0	0	158	0
PD53349d	61	9	7	29	27	0	24
PD53349e	49	0	7	32	28	0	18
PD53350d	10	31	0	132	6	0	11
PD53350e	2	31	0	119	25	0	10
PD53351a	27	258	0	0	33	41	10
PD53352d	110	0	0	3	18	0	7
PD53352e	79	4	0	0	89	6	0
PD53354a	0	0	62	0	0	40	0
PD53355c	41	0	1	108	6	0	0
PD53357c	76	26	1	0	0	0	21
PD53357d	55	72	0	0	47	0	7
PD53357e	63	27	4	26	29	3	10
PD53358a	0	0	36	0	15	115	0
PD53359c	0	0	0	0	138	0	48
PD53361a	0	28	70	0	0	26	0
PD53362a	74	7	1	0	0	15	10
PD53364c	42	162	4	0	44	0	0
PD53365a	45	71	5	45	64	0	0
PD53368a	64	112	0	14	22	17	29
PD53369a	0	0	80	32	0	0	6
