Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
PD53330c	8.56E-01	5.53E-01	1.09E+00	4.06E-01	7.04E-01	1.32E+00	7.49E-01
PD53332d	2.27E+00	3.29E+00	2.13E-01	2.03E+00	1.49E+00	1.76E+00	1.87E+00
PD53332e	3.07E-01	5.45E-01	1.19E+00	2.90E-01	1.04E+00	5.78E-01	6.28E-02
PD53333f	4.92E+00	3.16E+00	0.00E+00	2.12E+00	5.51E+00	4.12E+00	1.01E+00
PD53334a	5.27E-01	1.64E+00	1.95E+00	9.62E-01	1.18E+00	2.33E+00	6.94E-01
PD53337c	9.40E-01	3.08E-01	1.11E+00	2.26E-01	1.11E+00	9.71E-01	2.17E-01
PD53338a	1.17E+00	2.00E+00	3.51E+00	2.09E+00	1.31E+00	3.47E+00	8.22E-01
PD53342a	8.17E-02	1.44E+00	4.12E+00	2.02E+00	3.75E-01	4.54E+00	2.96E-01
PD53343h	9.47E-01	7.11E-01	1.30E+00	0.00E+00	5.78E-01	1.31E+00	0.00E+00
PD53343i	1.12E+00	1.03E+00	1.49E+00	2.16E-01	1.24E+00	1.36E+00	0.00E+00
PD53345a	3.95E+00	3.08E+00	0.00E+00	4.02E+00	2.51E+00	2.83E+00	2.76E-01
PD53347c	4.25E-01	3.15E+00	0.00E+00	9.19E-01	1.12E+00	1.29E+00	3.23E+00
PD53348a	3.11E-01	1.95E+00	5.45E+00	5.33E-01	5.76E-01	6.07E+00	7.75E-01
PD53349d	2.74E+00	1.33E+00	3.29E-01	1.76E+00	2.75E+00	2.16E+00	1.45E+00
PD53349e	2.36E+00	3.87E-01	3.75E-01	2.07E+00	2.74E+00	1.92E+00	1.53E+00
PD53350d	1.49E+00	3.01E+00	0.00E+00	4.02E+00	1.81E+00	2.58E+00	5.46E-01
PD53350e	1.71E+00	3.11E+00	4.98E-02	3.56E+00	1.97E+00	2.05E+00	8.54E-01
PD53351a	3.77E+00	7.45E+00	6.99E-01	2.89E+00	5.46E+00	5.37E+00	4.05E+00
PD53352d	2.86E+00	1.19E+00	3.15E-02	8.88E-01	2.66E+00	1.27E+00	7.56E-01
PD53352e	4.37E+00	1.90E+00	2.60E-01	6.10E-01	4.45E+00	1.93E+00	5.71E-01
PD53354a	4.87E-01	2.20E-01	2.85E+00	4.11E-02	2.83E-01	2.94E+00	0.00E+00
PD53355c	2.01E+00	2.23E+00	2.36E-01	2.60E+00	1.80E+00	1.24E+00	1.59E-01
PD53357c	3.13E+00	2.49E+00	2.83E-01	1.21E+00	1.85E+00	2.21E+00	1.02E+00
PD53357d	3.36E+00	3.14E+00	3.00E-02	1.17E+00	3.63E+00	2.76E+00	1.31E+00
PD53357e	2.55E+00	2.05E+00	3.49E-01	1.42E+00	2.55E+00	1.94E+00	1.21E+00
PD53358a	1.36E+00	1.76E+00	3.86E+00	4.39E-01	2.28E+00	4.04E+00	6.38E-01
PD53359c	3.57E+00	3.40E+00	0.00E+00	1.01E+00	4.75E+00	1.62E+00	2.87E+00
PD53361a	3.72E-01	1.29E+00	1.71E+00	8.54E-01	4.14E-01	1.89E+00	4.33E-01
PD53362a	2.38E+00	1.67E+00	5.73E-01	0.00E+00	1.63E+00	1.46E+00	7.85E-01
PD53364c	4.23E+00	5.11E+00	3.66E-01	1.01E+00	5.06E+00	3.77E+00	1.89E+00
PD53365a	4.54E+00	4.46E+00	3.74E-01	2.93E+00	4.91E+00	3.12E+00	4.78E-01
PD53368a	3.47E+00	5.20E+00	2.11E-01	1.41E+00	3.63E+00	3.45E+00	2.70E+00
PD53369a	6.54E-01	1.05E+00	1.67E+00	1.43E+00	8.10E-01	1.66E+00	2.66E-01
