MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	3.960808339368072e-05	0.00011735345440142382	0.0002668896411180555	0.0015490959470141697	0.0012275279517181836	0.0007308309214366915	0.0005945512662115382
0:homdel:100kb-1Mb	1.5175987496007793e-07	3.39101113000595e-05	0.0009452014654701201	0.0011025698721005917	0.0009753438261773085	0.00010871590937794551	0.0043820141748098255
0:homdel:>1Mb	0.0025225294249094105	0.00042294262530731433	0.0002059558032506459	0.0002736173952715948	0.0016232081316150016	0.0026642280129647133	0.00038713744755867194
1:LOH:0-100kb	0.0021804672538023183	0.00015041664650340182	0.006903843226289723	0.00017576621671196334	0.002567795202886458	0.0007379911274294671	0.00020595248666026577
1:LOH:100kb-1Mb	0.0031003385962047503	0.004922778881097542	0.016092862564037774	0.00025054936107132163	0.005448717932842513	0.021071906898878296	0.006097639959232737
1:LOH:1Mb-10Mb	0.000136543497169086	0.020383039209606296	0.035659923471691855	0.0006206874043897415	0.0024533141042763873	0.11248415896690148	0.005863399952858473
1:LOH:10Mb-40Mb	0.0002380487675541332	0.005776423175782402	0.029859159762840478	0.0008741274069191718	0.00015812715954767852	0.05837269729845616	0.0001435761075098796
1:LOH:>40Mb	0.0001551563594924943	1.5069639935845203e-05	0.024639007231088215	0.003448845562935503	0.00043336546044567823	0.03348856038872015	2.0022216915549506e-07
2:LOH:0-100kb	0.00419640624534452	0.0033298684617784602	0.003144971067194433	9.237367208966064e-05	0.008548328299277586	0.0035797209748758972	0.00019433037540885322
2:LOH:100kb-1Mb	0.05447935064925332	0.02147591779844447	0.006440288076246361	0.016546266463005565	0.0666897795615887	0.017751571652619303	0.002683809197881999
2:LOH:1Mb-10Mb	0.07344259396195411	0.07870515456604493	0.008016649400693155	0.07312703927510938	0.07524968996563075	0.0321666442183448	0.0014391869097016752
2:LOH:10Mb-40Mb	0.045458801991210294	0.04005492053013768	0.001334955878865003	0.01479672698150921	0.05591850421578329	0.012431547358728708	5.583308729129044e-08
2:LOH:>40Mb	0.029167889239149643	0.014016449718065047	0.0007628698733141447	0.003959661270637582	0.013211418016289826	0.007017825469648073	0.01001152535357587
3-4:LOH:0-100kb	0.012678623531276117	0.0013888678760763185	0.002977245923777048	2.4962361397373733e-05	0.012474762419908884	0.004016158783957358	0.0016275802977880715
3-4:LOH:100kb-1Mb	0.005412538882008846	0.008174921446706663	0.0002632406639678031	0.0019097339632065768	0.056386266231638726	0.006897814475453714	0.029226903831586243
3-4:LOH:1Mb-10Mb	0.004414681893086367	0.02654919389402494	2.0641153170686265e-07	0.01235699495513586	0.04442917268011797	0.013303430403197253	0.10689718764275312
3-4:LOH:10Mb-40Mb	0.006858765850964375	0.004244056609822166	2.9334072819686697e-08	0.0024236168529726855	0.020003309485961723	0.006922875160385616	0.043894667480334416
3-4:LOH:>40Mb	0.006284428868120813	0.00031540782931293253	2.5189534508029965e-07	0.00014782051481702753	0.00611685875167069	0.0021072134077274284	0.017978593839536643
5-8:LOH:0-100kb	0.001443624933241452	0.003381409566895428	5.046158246845067e-05	0.00020128209711527844	0.003055723623499631	0.002997610621313669	0.0006034006104121726
5-8:LOH:100kb-1Mb	0.007154890037304824	0.0037135934199068288	6.347826400464385e-05	0.0031629231552587813	0.009600056720213601	0.006657174863194939	0.010479428753065748
5-8:LOH:1Mb-10Mb	0.01227180834607509	0.005001278868218151	0.0011211367267647176	6.661692793556995e-05	0.008381716389321454	0.012169818511410711	0.038626432123860466
5-8:LOH:10Mb-40Mb	0.004078893679979068	0.00011976835726976276	0.0002711299641026699	7.286911515066663e-05	0.004027896542328034	0.0014716494064965738	0.025559621553547913
5-8:LOH:>40Mb	0.0005107828879196319	0.0002051292736826582	0.00090473937022864	0.0015110158195138544	0.0004319885815380964	0.0006265467037494687	0.0040068538736569796
9+:LOH:0-100kb	0.0006185723323728354	7.919302183616139e-05	0.0031038425657186506	0.013564290801287187	0.0026257546971862667	0.0034665458399786076	9.249294974811306e-05
9+:LOH:100kb-1Mb	0.0029264918600367196	0.0006866536808087176	2.1323214396105072e-05	0.05452892474499436	0.01398549000416665	0.011221987033988867	0.010885025375841906
9+:LOH:1Mb-10Mb	0.0011250082400742656	0.0012087577160048114	0.001790625581363514	0.006851838988540111	0.004218079153289125	0.010797918395218016	0.004470291457595152
9+:LOH:10Mb-40Mb	8.340870391521093e-07	2.2375202849644892e-07	1.071199201305717e-06	5.468257082874572e-07	5.507148728156608e-07	5.503920182992061e-07	3.9406298284916375e-07
9+:LOH:>40Mb	8.340870391521093e-07	2.2375202849644892e-07	1.071199201305717e-06	5.468257082874572e-07	5.507148728156608e-07	5.503920182992061e-07	3.9406298284916375e-07
2:het:0-100kb	0.0125211206048931	0.007849000381186997	0.006171552787600092	0.0001590368961448796	0.044742267904673554	0.007851106316701113	0.00022527445543145673
2:het:100kb-1Mb	0.008589617071434076	0.012675111875268215	0.035162110605742786	0.0012154818966047286	0.024985198100648916	0.02179787902359294	0.009212554511862835
2:het:1Mb-10Mb	0.003922650938339558	0.008408270391732912	0.1655314087867737	0.001610478754403779	0.002820222735569047	0.1026992268644357	0.0003703763143948846
2:het:10Mb-40Mb	0.0005530995462777355	0.0005203423048757827	0.20873035539453666	0.0013901964367142483	0.0017890162358244054	0.09940302670560675	2.4075473885750097e-07
