MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	2.99E-05	5.83E-05	5.62E-05	1.66E-04	1.90E-04	1.44E-04	1.24E-04
0:homdel:100kb-1Mb	2.85E-08	2.62E-05	1.16E-04	1.22E-04	2.27E-04	5.84E-05	3.44E-04
0:homdel:>1Mb	2.86E-04	1.12E-04	6.36E-05	1.10E-04	3.74E-04	4.16E-04	1.41E-04
1:LOH:0-100kb	2.67E-04	5.61E-05	4.45E-04	7.31E-05	4.70E-04	2.07E-04	1.10E-04
1:LOH:100kb-1Mb	4.26E-04	7.67E-04	9.22E-04	2.28E-04	8.97E-04	1.66E-03	5.40E-04
1:LOH:1Mb-10Mb	6.74E-05	2.40E-03	3.83E-03	6.21E-04	1.19E-03	8.68E-03	7.36E-04
1:LOH:10Mb-40Mb	1.69E-04	6.45E-04	2.43E-03	4.62E-04	7.95E-05	4.93E-03	1.11E-04
1:LOH:>40Mb	9.25E-05	1.50E-05	1.66E-03	3.38E-04	1.97E-04	3.17E-03	5.48E-08
2:LOH:0-100kb	4.14E-04	6.34E-04	2.62E-04	5.80E-05	9.11E-04	7.27E-04	8.68E-05
2:LOH:100kb-1Mb	2.22E-03	1.85E-03	6.81E-04	1.36E-03	3.25E-03	2.37E-03	3.68E-04
2:LOH:1Mb-10Mb	3.33E-03	3.66E-03	8.57E-04	2.75E-03	4.71E-03	3.86E-03	2.93E-04
2:LOH:10Mb-40Mb	2.69E-03	2.73E-03	2.33E-04	1.19E-03	4.07E-03	2.24E-03	1.79E-08
2:LOH:>40Mb	1.57E-03	1.15E-03	2.49E-04	6.29E-04	1.77E-03	1.34E-03	9.18E-04
3-4:LOH:0-100kb	8.50E-04	4.27E-04	3.92E-04	2.23E-05	1.19E-03	9.57E-04	5.56E-04
3-4:LOH:100kb-1Mb	9.27E-04	1.45E-03	8.88E-05	5.30E-04	4.35E-03	1.85E-03	2.34E-03
3-4:LOH:1Mb-10Mb	1.00E-03	1.98E-03	1.16E-07	1.02E-03	3.47E-03	2.48E-03	2.71E-03
3-4:LOH:10Mb-40Mb	1.08E-03	7.89E-04	1.28E-08	3.77E-04	2.27E-03	2.43E-03	2.16E-03
3-4:LOH:>40Mb	6.89E-04	2.01E-04	3.42E-08	1.48E-04	9.54E-04	8.65E-04	1.17E-03
5-8:LOH:0-100kb	2.20E-04	4.34E-04	2.23E-05	8.94E-05	4.78E-04	5.11E-04	2.37E-04
5-8:LOH:100kb-1Mb	8.68E-04	4.45E-04	4.66E-05	4.80E-04	1.27E-03	1.09E-03	1.06E-03
5-8:LOH:1Mb-10Mb	1.72E-03	8.38E-04	2.73E-04	6.59E-05	2.37E-03	1.82E-03	2.43E-03
5-8:LOH:10Mb-40Mb	1.01E-03	1.20E-04	1.79E-04	7.27E-05	1.23E-03	7.04E-04	1.34E-03
5-8:LOH:>40Mb	1.66E-04	8.67E-05	1.25E-04	2.10E-04	1.24E-04	2.03E-04	4.34E-04
9+:LOH:0-100kb	1.87E-04	7.91E-05	2.51E-04	8.98E-04	6.39E-04	1.03E-03	9.24E-05
9+:LOH:100kb-1Mb	1.22E-03	1.91E-04	1.85E-05	2.84E-03	2.71E-03	3.27E-03	9.41E-04
9+:LOH:1Mb-10Mb	4.93E-04	2.63E-04	3.28E-04	7.07E-04	1.27E-03	1.08E-03	4.75E-04
9+:LOH:10Mb-40Mb	1.06E-08	1.31E-08	9.49E-09	1.37E-08	1.71E-08	2.12E-08	9.47E-09
9+:LOH:>40Mb	1.06E-08	1.31E-08	9.49E-09	1.37E-08	1.71E-08	2.12E-08	9.47E-09
2:het:0-100kb	1.54E-03	1.84E-03	6.09E-04	1.10E-04	3.51E-03	2.94E-03	2.25E-04
2:het:100kb-1Mb	1.05E-03	1.52E-03	1.44E-03	4.18E-04	2.64E-03	3.52E-03	7.29E-04
2:het:1Mb-10Mb	5.55E-04	1.30E-03	2.67E-03	1.16E-03	1.84E-03	8.22E-03	2.19E-04
2:het:10Mb-40Mb	2.69E-04	1.93E-04	3.37E-03	1.39E-03	1.25E-03	9.00E-03	5.56E-08
2:het:>40Mb	1.59E-04	3.66E-04	3.84E-03	1.01E-03	2.45E-03	5.18E-03	5.35E-08
3-4:het:0-100kb	1.72E-03	1.20E-03	4.44E-04	4.04E-04	2.61E-03	1.66E-03	4.89E-04
3-4:het:100kb-1Mb	2.20E-03	2.73E-03	1.51E-03	1.72E-03	3.38E-03	3.05E-03	8.84E-04
3-4:het:1Mb-10Mb	3.77E-03	5.17E-03	2.48E-03	2.49E-03	5.78E-03	5.69E-03	1.71E-03
3-4:het:10Mb-40Mb	4.46E-03	3.64E-03	3.74E-04	3.10E-03	4.83E-03	5.13E-03	1.59E-03
3-4:het:>40Mb	3.42E-03	2.59E-03	1.56E-03	3.77E-03	4.76E-03	5.39E-03	7.09E-04
5-8:het:0-100kb	1.58E-03	7.08E-04	5.62E-04	1.55E-03	2.47E-03	1.85E-03	1.22E-03
5-8:het:100kb-1Mb	2.99E-03	3.55E-03	2.32E-03	2.63E-03	2.67E-03	4.44E-03	1.27E-03
5-8:het:1Mb-10Mb	2.48E-03	6.28E-03	9.47E-04	3.85E-03	3.67E-03	4.77E-03	5.22E-03
5-8:het:10Mb-40Mb	1.67E-03	1.74E-03	2.01E-04	7.83E-04	1.92E-03	1.89E-03	2.87E-03
5-8:het:>40Mb	1.21E-03	9.84E-04	4.59E-09	1.42E-03	2.67E-03	1.46E-03	1.49E-03
9+:het:0-100kb	1.19E-03	1.41E-03	5.33E-04	1.32E-03	1.79E-03	2.01E-03	6.79E-04
9+:het:100kb-1Mb	1.37E-03	5.09E-03	9.13E-04	4.90E-03	2.41E-03	4.74E-03	2.15E-03
9+:het:1Mb-10Mb	5.77E-04	4.72E-03	1.87E-04	2.91E-03	1.10E-03	3.62E-03	3.09E-03
