Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
PD53330c	5.09E-01	7.12E-01	3.15E-01	1.72E+00	1.12E+00	1.64E+00	7.72E-01	7.60E-01
PD53332d	3.07E+00	2.75E+00	1.97E+00	2.23E-01	2.87E+00	1.21E+00	7.07E-01	1.89E+00
PD53332e	4.23E-01	2.42E-01	2.31E-01	1.10E+00	6.16E-01	7.10E-01	4.63E-01	0.00E+00
PD53333f	3.11E+00	5.18E+00	1.79E+00	0.00E+00	6.18E+00	4.92E-01	5.46E+00	5.64E-01
PD53334a	1.71E+00	5.01E-01	9.14E-01	2.01E+00	2.05E+00	2.09E+00	8.43E-01	5.95E-01
PD53337c	4.24E-01	9.76E-01	2.91E-01	1.11E+00	1.17E+00	8.40E-01	6.19E-01	1.60E-01
PD53338a	2.45E+00	1.37E+00	2.40E+00	2.66E+00	2.23E+00	3.06E+00	6.12E-01	7.34E-01
PD53342a	1.70E+00	1.67E-01	1.49E+00	3.83E+00	1.45E+00	3.86E+00	8.53E-01	3.95E-01
PD53343h	6.64E-01	9.39E-01	1.00E-02	1.50E+00	9.40E-01	1.40E+00	2.31E-01	0.00E+00
PD53343i	1.03E+00	8.62E-01	1.12E-01	1.83E+00	1.36E+00	1.54E+00	1.08E+00	0.00E+00
PD53345a	2.63E+00	4.05E+00	3.97E+00	0.00E+00	5.32E+00	1.96E+00	1.30E+00	3.55E-01
PD53347c	2.19E+00	4.79E-01	1.01E+00	0.00E+00	9.37E-01	4.30E-01	1.68E+00	2.72E+00
PD53348a	2.31E+00	1.27E-01	5.36E-01	4.02E+00	1.96E+00	4.64E+00	2.43E-01	5.99E-01
PD53349d	1.51E+00	3.18E+00	1.65E+00	3.11E-01	2.96E+00	4.46E-01	2.14E+00	1.45E+00
PD53349e	8.72E-01	2.40E+00	2.08E+00	4.53E-01	3.35E+00	4.09E-01	2.02E+00	1.40E+00
PD53350d	3.38E+00	1.11E+00	4.22E+00	0.00E+00	3.71E+00	7.44E-01	4.50E-01	7.32E-01
PD53350e	3.18E+00	1.37E+00	3.78E+00	4.42E-02	3.12E+00	6.69E-01	1.02E+00	1.05E+00
PD53351a	8.10E+00	2.50E+00	3.12E+00	5.03E-01	6.56E+00	4.37E+00	3.96E+00	3.69E+00
PD53352d	1.52E+00	3.08E+00	5.68E-01	1.41E-02	2.50E+00	6.64E-01	2.05E+00	6.70E-01
PD53352e	2.03E+00	4.25E+00	5.67E-01	2.63E-01	3.76E+00	1.25E+00	3.66E+00	5.53E-01
PD53354a	3.36E-01	4.56E-01	9.00E-02	2.78E+00	1.09E+00	2.82E+00	2.74E-01	0.00E+00
PD53355c	1.69E+00	2.07E+00	2.59E+00	2.38E-01	2.89E+00	9.16E-01	1.37E+00	9.41E-02
PD53357c	2.72E+00	3.47E+00	7.98E-01	1.35E-01	3.42E+00	1.05E+00	9.85E-01	1.04E+00
PD53357d	3.55E+00	3.32E+00	1.20E+00	0.00E+00	3.73E+00	2.07E+00	3.41E+00	1.19E+00
PD53357e	2.25E+00	2.89E+00	1.24E+00	3.18E-01	2.59E+00	7.97E-01	1.95E+00	1.06E+00
PD53358a	1.75E+00	1.36E+00	5.04E-01	3.28E+00	2.21E+00	3.10E+00	2.39E+00	5.16E-01
PD53359c	1.91E+00	3.15E+00	1.02E+00	0.00E+00	2.55E+00	1.46E+00	4.31E+00	2.69E+00
PD53361a	1.42E+00	2.88E-01	5.19E-01	1.83E+00	9.45E-01	1.87E+00	3.20E-01	4.69E-01
PD53362a	1.80E+00	2.76E+00	0.00E+00	4.21E-01	2.53E+00	1.18E+00	1.03E+00	6.96E-01
PD53364c	5.18E+00	3.05E+00	1.08E+00	3.63E-01	5.63E+00	1.30E+00	3.64E+00	1.91E+00
PD53365a	4.94E+00	4.26E+00	3.18E+00	3.32E-01	5.38E+00	1.79E+00	4.22E+00	4.23E-01
PD53368a	5.58E+00	3.20E+00	2.29E+00	1.52E-01	4.25E+00	3.02E+00	2.95E+00	2.60E+00
PD53369a	1.20E+00	4.56E-01	1.10E+00	2.21E+00	1.90E+00	1.85E+00	6.25E-01	3.22E-01
