Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
PD53330c	0	7	0	65	0	15	3	4	22
PD53332d	42	55	26	1	0	0	0	38	0
PD53332e	8	0	1	80	1	0	0	0	0
PD53333f	7	0	1	0	168	0	27	0	0
PD53334a	20	0	0	58	0	25	0	7	25
PD53337c	0	13	0	61	0	1	10	0	0
PD53338a	8	10	45	13	0	66	0	0	48
PD53342a	0	0	28	46	0	86	0	0	7
PD53343h	6	18	0	54	0	7	0	0	0
PD53343i	12	0	0	49	25	15	4	0	0
PD53345a	0	46	64	0	18	0	0	0	45
PD53347c	0	3	7	0	0	0	0	243	8
PD53348a	42	0	0	2	0	129	0	0	0
PD53349d	0	9	15	4	94	0	0	23	12
PD53349e	0	30	29	6	39	0	17	13	0
PD53350d	28	0	119	0	28	0	0	15	0
PD53350e	30	0	108	0	29	0	5	15	0
PD53351a	195	17	0	0	0	9	25	19	104
PD53352d	2	92	5	0	13	0	26	0	0
PD53352e	1	55	0	0	54	4	64	0	0
PD53354a	0	2	0	46	3	51	0	0	0
PD53355c	0	41	99	2	0	0	14	0	0
PD53357c	31	76	2	0	0	0	0	15	0
PD53357d	65	54	9	0	0	0	47	6	0
PD53357e	13	29	14	0	59	0	10	8	29
PD53358a	0	0	2	21	0	90	46	7	0
PD53359c	6	0	6	0	0	0	134	40	0
PD53361a	32	0	0	56	0	34	0	2	0
PD53362a	20	75	0	0	0	10	0	2	0
PD53364c	155	8	0	3	70	0	13	3	0
PD53365a	65	32	46	0	28	4	45	0	10
PD53368a	97	58	28	0	1	12	25	31	6
PD53369a	0	0	5	66	0	0	0	0	47
