MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	4.603731175208736e-05	3.7540477602959755e-07	0.0017796214183444104	0.00013531518550038868	0.00013623996287804197	0.0007603629107657639	0.0019457468103483678	0.00043485739363767094	0.0007380341644721966
0:homdel:100kb-1Mb	2.834134852331971e-05	0.00022743373859171356	0.0013699839289294147	0.000998562228608506	0.0003824360175602237	2.197380813527161e-05	0.0014504611811289436	0.004456537310270931	0.0003082581463990408
0:homdel:>1Mb	0.0008826349473827122	0.002159101197459279	0.0001395083181090939	3.812744767017762e-07	0.0021668367458214277	0.0027723820096016995	0.0010655753589335682	0.00020214013031033317	0.0016481551222200608
1:LOH:0-100kb	0.0002290683849601294	0.0026218232165129505	0.000262449366957469	0.007289972680871486	0.0012427780275602628	0.0011192975937831307	0.0018921295879108157	8.916356371415191e-05	0.002520968799235277
1:LOH:100kb-1Mb	0.0039905419435146425	0.0042949823203773	2.5303978148372153e-08	0.011135129926095643	0.001774620561673288	0.031117061319607727	0.006754009965870971	0.0063047048916236295	0.010398279112252454
1:LOH:1Mb-10Mb	0.01628594353214325	0.0004878598823524527	4.82727345740841e-08	0.010841207652299829	0.0011129232810392865	0.16102183744168996	0.0011971361791077585	0.005648496271485657	0.037802575750530705
1:LOH:10Mb-40Mb	0.005268002720185478	0.0013530512588915045	0.0005351447965724887	0.01608326972972506	0.0005395876369166252	0.08957078471779824	0.0010264958249715762	1.9318556510938833e-07	0.011791480687358344
1:LOH:>40Mb	4.171176140488342e-08	0.0004128101403225415	0.0038068087178311314	0.01549086578602271	0.001129917371328144	0.05728717943707437	0.0010165615462810252	1.410139724811188e-07	0.002917808358192531
2:LOH:0-100kb	0.0022323760787110736	0.003930391111823184	0.0001733538824739611	0.0033669989467206562	0.003706584031013165	0.0033101028914001417	0.010990840029495247	0.00015046397917830133	0.003928255095804012
2:LOH:100kb-1Mb	0.023681942025432362	0.04525011416364578	0.013160887214833036	0.0065602982489832585	0.051846250622445494	0.009130569790230539	0.07489359769970179	0.002512981505397107	0.02154025025906719
2:LOH:1Mb-10Mb	0.09206792385317385	0.05735106740676201	0.07277620110195131	0.007197729914477122	0.0963831753233012	0.02049357490320517	0.06184876955368837	0.00192690656913328	0.03340308946564732
2:LOH:10Mb-40Mb	0.043663787865250756	0.04708301943813936	0.014514978253282606	0.0015512733306002246	0.025841424211351705	0.006311810745414732	0.06723628166364506	5.911056939034154e-08	0.01881176550889563
2:LOH:>40Mb	0.013653236284256423	0.040278947089681195	0.0027639155851085224	0.0007446653073129994	0.008552974672035134	0.004522963940527802	0.013663932038021472	0.01009487314176603	0.00878086261032081
3-4:LOH:0-100kb	0.0011145338693083317	0.013079376276089079	0.00012012291376192863	0.003099468454576595	0.005733278941251427	0.0025343432886590733	0.01641476692811466	0.0005904105808260595	0.0068201699594455075
3-4:LOH:100kb-1Mb	0.007314786658098455	0.0015414646341994852	0.00128399172731676	0.00045002815145176454	0.017146317111261026	0.0007146184638752828	0.07831676525063813	0.024514905330072452	0.008062479874599546
