Sample Names	MutationType	CNV48A	CNV48B
PD53330c	0:homdel:0-100kb	0.10264103016439526	0.8973589698356047
PD53330c	0:homdel:100kb-1Mb	0.1811422040840065	0.8188577959159934
PD53330c	0:homdel:>1Mb	0.116678515086997	0.883321484913003
PD53330c	1:LOH:0-100kb	0.022073622586679355	0.9779263774133207
PD53330c	1:LOH:100kb-1Mb	0.018302553235642165	0.9816974467643578
PD53330c	1:LOH:1Mb-10Mb	0.0059450377214908525	0.9940549622785091
PD53330c	1:LOH:10Mb-40Mb	0.0009872353716306207	0.9990127646283695
PD53330c	1:LOH:>40Mb	0.002143428426074164	0.9978565715739258
PD53330c	2:LOH:0-100kb	0.06847130949865965	0.9315286905013405
PD53330c	2:LOH:100kb-1Mb	0.27338309524951554	0.7266169047504845
PD53330c	2:LOH:1Mb-10Mb	0.28057508561617667	0.7194249143838233
PD53330c	2:LOH:10Mb-40Mb	0.3731711201563897	0.6268288798436102
PD53330c	2:LOH:>40Mb	0.351072607780485	0.6489273922195149
PD53330c	3-4:LOH:0-100kb	0.14963072201278738	0.8503692779872127
PD53330c	3-4:LOH:100kb-1Mb	0.622486909167396	0.37751309083260404
PD53330c	3-4:LOH:1Mb-10Mb	0.54248424565606	0.45751575434393993
PD53330c	3-4:LOH:10Mb-40Mb	0.8349959890264347	0.16500401097356543
PD53330c	3-4:LOH:>40Mb	0.9035499204997312	0.09645007950026882
PD53330c	5-8:LOH:0-100kb	0.21685728866275653	0.7831427113372433
PD53330c	5-8:LOH:100kb-1Mb	0.34890613841388035	0.6510938615861196
PD53330c	5-8:LOH:1Mb-10Mb	0.15263425426488578	0.8473657457351143
PD53330c	5-8:LOH:10Mb-40Mb	0.26033900247766667	0.7396609975223333
PD53330c	5-8:LOH:>40Mb	0.13056629690574006	0.8694337030942599
PD53330c	9+:LOH:0-100kb	0.13289006234430106	0.867109937655699
PD53330c	9+:LOH:100kb-1Mb	0.6994054008698618	0.3005945991301382
PD53330c	9+:LOH:1Mb-10Mb	0.0432638817572066	0.9567361182427934
PD53330c	9+:LOH:10Mb-40Mb	0.0607560205888387	0.9392439794111613
PD53330c	9+:LOH:>40Mb	0.0607560205888387	0.9392439794111613
PD53330c	2:het:0-100kb	0.20156450257200925	0.7984354974279907
PD53330c	2:het:100kb-1Mb	0.035333290198056554	0.9646667098019435
PD53330c	2:het:1Mb-10Mb	0.0005132500000797601	0.9994867499999202
PD53330c	2:het:10Mb-40Mb	3.7133232021025826e-08	0.999999962866768
PD53330c	2:het:>40Mb	3.369973317416397e-08	0.9999999663002669
PD53330c	3-4:het:0-100kb	0.29909559774571104	0.700904402254289
PD53330c	3-4:het:100kb-1Mb	0.14971579301430507	0.850284206985695
PD53330c	3-4:het:1Mb-10Mb	0.1473718472399957	0.8526281527600044
PD53330c	3-4:het:10Mb-40Mb	0.5006573812129838	0.49934261878701613
PD53330c	3-4:het:>40Mb	0.39017388192535835	0.6098261180746417
PD53330c	5-8:het:0-100kb	0.26099681522516816	0.7390031847748317
PD53330c	5-8:het:100kb-1Mb	0.10567486732713756	0.8943251326728623
PD53330c	5-8:het:1Mb-10Mb	0.23834916468212194	0.7616508353178781
PD53330c	5-8:het:10Mb-40Mb	0.7337189780083491	0.2662810219916509
PD53330c	5-8:het:>40Mb	0.9999682919172979	3.17080827021847e-05
PD53330c	9+:het:0-100kb	0.2570292842542298	0.7429707157457702
PD53330c	9+:het:100kb-1Mb	0.1995126289828771	0.800487371017123
PD53330c	9+:het:1Mb-10Mb	0.2532412961833986	0.7467587038166014
PD53330c	9+:het:10Mb-40Mb	0.22912417542354566	0.7708758245764543
PD53330c	9+:het:>40Mb	0.9858783201291591	0.01412167987084087
PD53332d	0:homdel:0-100kb	0.9773380996365278	0.02266190036347217
PD53332d	0:homdel:100kb-1Mb	0.988152705216929	0.011847294783071095
PD53332d	0:homdel:>1Mb	0.980316580918424	0.01968341908157597
PD53332d	1:LOH:0-100kb	0.894854375645799	0.10514562435420108
PD53332d	1:LOH:100kb-1Mb	0.875460070382076	0.124539929617924
PD53332d	1:LOH:1Mb-10Mb	0.6927761136344366	0.30722388636556336
PD53332d	1:LOH:10Mb-40Mb	0.2714558725076933	0.7285441274923068
PD53332d	1:LOH:>40Mb	0.44748509376303996	0.5525149062369601
PD53332d	2:LOH:0-100kb	0.96517431649202	0.034825683507980015
PD53332d	2:LOH:100kb-1Mb	0.9930001386017048	0.006999861398295246
PD53332d	2:LOH:1Mb-10Mb	0.9932454063823859	0.00675459361761411
PD53332d	2:LOH:10Mb-40Mb	0.9955647635394116	0.0044352364605883855
PD53332d	2:LOH:>40Mb	0.9951215530731025	0.004878446926897542
PD53332d	3-4:LOH:0-100kb	0.9851510446013476	0.014848955398652403
PD53332d	3-4:LOH:100kb-1Mb	0.9983941310417389	0.001605868958261073
PD53332d	3-4:LOH:1Mb-10Mb	0.9977682020578278	0.002231797942172189
PD53332d	3-4:LOH:10Mb-40Mb	0.9994761718332232	0.00052382816677677
PD53332d	3-4:LOH:>40Mb	0.9997169691391794	0.0002830308608207157
PD53332d	5-8:LOH:0-100kb	0.9905129035728953	0.00948709642710468
PD53332d	5-8:LOH:100kb-1Mb	0.9950751031199291	0.004924896880071048
PD53332d	5-8:LOH:1Mb-10Mb	0.985489670919381	0.014510329080619097
PD53332d	5-8:LOH:10Mb-40Mb	0.9925210693243377	0.007478930675662246
PD53332d	5-8:LOH:>40Mb	0.9826456398357247	0.017354360164275336
PD53332d	9+:LOH:0-100kb	0.9829887396325567	0.017011260367443288
PD53332d	9+:LOH:100kb-1Mb	0.998861419553574	0.0011385804464259664
PD53332d	9+:LOH:1Mb-10Mb	0.9445986560242652	0.055401343975734776
PD53332d	9+:LOH:10Mb-40Mb	0.9606137887432293	0.03938621125677066
PD53332d	9+:LOH:>40Mb	0.9606137887432293	0.03938621125677066
PD53332d	2:het:0-100kb	0.9896033545200345	0.0103966454799656
PD53332d	2:het:100kb-1Mb	0.9324790440801649	0.06752095591983509
PD53332d	2:het:1Mb-10Mb	0.16221099334434216	0.8377890066556578
PD53332d	2:het:10Mb-40Mb	1.4000720843080218e-05	0.999985999279157
PD53332d	2:het:>40Mb	1.2706170192100825e-05	0.9999872938298079
PD53332d	3-4:het:0-100kb	0.9938231908318707	0.006176809168129411
PD53332d	3-4:het:100kb-1Mb	0.9851608194356238	0.01483918056437615
PD53332d	3-4:het:1Mb-10Mb	0.9848874402540584	0.015112559745941669
PD53332d	3-4:het:10Mb-40Mb	0.9973617435573715	0.0026382564426285543
PD53332d	3-4:het:>40Mb	0.9958718300857571	0.004128169914242914
PD53332d	5-8:het:0-100kb	0.9925463637410298	0.007453636258970151
PD53332d	5-8:het:100kb-1Mb	0.9780472045411159	0.021952795458884077
PD53332d	5-8:het:1Mb-10Mb	0.991596051781226	0.008403948218773983
PD53332d	5-8:het:10Mb-40Mb	0.9990383900901146	0.0009616099098853849
PD53332d	5-8:het:>40Mb	0.9999999159011598	8.409884030588024e-08
PD53332d	9+:het:0-100kb	0.992391858649149	0.007608141350850862
PD53332d	9+:het:100kb-1Mb	0.9894708481942551	0.010529151805744834
PD53332d	9+:het:1Mb-10Mb	0.992239874734252	0.007760125265747985
PD53332d	9+:het:10Mb-40Mb	0.9911557359526548	0.008844264047345198
PD53332d	9+:het:>40Mb	0.9999620114394588	3.7988560541242305e-05
PD53332e	0:homdel:0-100kb	0.0	1.0
PD53332e	0:homdel:100kb-1Mb	0.0	1.0
PD53332e	0:homdel:>1Mb	0.0	1.0
PD53332e	1:LOH:0-100kb	0.0	1.0
PD53332e	1:LOH:100kb-1Mb	0.0	1.0
PD53332e	1:LOH:1Mb-10Mb	0.0	1.0
PD53332e	1:LOH:10Mb-40Mb	0.0	1.0
PD53332e	1:LOH:>40Mb	0.0	1.0
PD53332e	2:LOH:0-100kb	0.0	1.0
PD53332e	2:LOH:100kb-1Mb	0.0	1.0
PD53332e	2:LOH:1Mb-10Mb	0.0	1.0
PD53332e	2:LOH:10Mb-40Mb	0.0	1.0
PD53332e	2:LOH:>40Mb	0.0	1.0
PD53332e	3-4:LOH:0-100kb	0.0	1.0
PD53332e	3-4:LOH:100kb-1Mb	0.0	1.0
PD53332e	3-4:LOH:1Mb-10Mb	0.0	1.0
PD53332e	3-4:LOH:10Mb-40Mb	0.0	1.0
PD53332e	3-4:LOH:>40Mb	0.0	1.0
PD53332e	5-8:LOH:0-100kb	0.0	1.0
PD53332e	5-8:LOH:100kb-1Mb	0.0	1.0
PD53332e	5-8:LOH:1Mb-10Mb	0.0	1.0
PD53332e	5-8:LOH:10Mb-40Mb	0.0	1.0
PD53332e	5-8:LOH:>40Mb	0.0	1.0
PD53332e	9+:LOH:0-100kb	0.0	1.0
PD53332e	9+:LOH:100kb-1Mb	0.0	1.0
PD53332e	9+:LOH:1Mb-10Mb	0.0	1.0
PD53332e	9+:LOH:10Mb-40Mb	0.0	1.0
PD53332e	9+:LOH:>40Mb	0.0	1.0
PD53332e	2:het:0-100kb	0.0	1.0
PD53332e	2:het:100kb-1Mb	0.0	1.0
PD53332e	2:het:1Mb-10Mb	0.0	1.0
PD53332e	2:het:10Mb-40Mb	0.0	1.0
PD53332e	2:het:>40Mb	0.0	1.0
PD53332e	3-4:het:0-100kb	0.0	1.0
PD53332e	3-4:het:100kb-1Mb	0.0	1.0
PD53332e	3-4:het:1Mb-10Mb	0.0	1.0
PD53332e	3-4:het:10Mb-40Mb	0.0	1.0
PD53332e	3-4:het:>40Mb	0.0	1.0
PD53332e	5-8:het:0-100kb	0.0	1.0
PD53332e	5-8:het:100kb-1Mb	0.0	1.0
PD53332e	5-8:het:1Mb-10Mb	0.0	1.0
PD53332e	5-8:het:10Mb-40Mb	0.0	1.0
PD53332e	5-8:het:>40Mb	0.0	1.0
PD53332e	9+:het:0-100kb	0.0	1.0
PD53332e	9+:het:100kb-1Mb	0.0	1.0
PD53332e	9+:het:1Mb-10Mb	0.0	1.0
PD53332e	9+:het:10Mb-40Mb	0.0	1.0
PD53332e	9+:het:>40Mb	0.0	1.0
PD53333f	0:homdel:0-100kb	1.0	0.0
PD53333f	0:homdel:100kb-1Mb	1.0	0.0
PD53333f	0:homdel:>1Mb	1.0	0.0
PD53333f	1:LOH:0-100kb	1.0	0.0
PD53333f	1:LOH:100kb-1Mb	1.0	0.0
PD53333f	1:LOH:1Mb-10Mb	1.0	0.0
PD53333f	1:LOH:10Mb-40Mb	1.0	0.0
PD53333f	1:LOH:>40Mb	1.0	0.0
PD53333f	2:LOH:0-100kb	1.0	0.0
PD53333f	2:LOH:100kb-1Mb	1.0	0.0
PD53333f	2:LOH:1Mb-10Mb	1.0	0.0
PD53333f	2:LOH:10Mb-40Mb	1.0	0.0
PD53333f	2:LOH:>40Mb	1.0	0.0
PD53333f	3-4:LOH:0-100kb	1.0	0.0
PD53333f	3-4:LOH:100kb-1Mb	1.0	0.0
PD53333f	3-4:LOH:1Mb-10Mb	1.0	0.0
PD53333f	3-4:LOH:10Mb-40Mb	1.0	0.0
PD53333f	3-4:LOH:>40Mb	1.0	0.0
PD53333f	5-8:LOH:0-100kb	1.0	0.0
PD53333f	5-8:LOH:100kb-1Mb	1.0	0.0
PD53333f	5-8:LOH:1Mb-10Mb	1.0	0.0
PD53333f	5-8:LOH:10Mb-40Mb	1.0	0.0
PD53333f	5-8:LOH:>40Mb	1.0	0.0
PD53333f	9+:LOH:0-100kb	1.0	0.0
PD53333f	9+:LOH:100kb-1Mb	1.0	0.0
PD53333f	9+:LOH:1Mb-10Mb	1.0	0.0
PD53333f	9+:LOH:10Mb-40Mb	1.0	0.0
PD53333f	9+:LOH:>40Mb	1.0	0.0
PD53333f	2:het:0-100kb	1.0	0.0
PD53333f	2:het:100kb-1Mb	1.0	0.0
PD53333f	2:het:1Mb-10Mb	1.0	0.0
PD53333f	2:het:10Mb-40Mb	1.0	0.0
PD53333f	2:het:>40Mb	1.0	0.0
PD53333f	3-4:het:0-100kb	1.0	0.0
PD53333f	3-4:het:100kb-1Mb	1.0	0.0
PD53333f	3-4:het:1Mb-10Mb	1.0	0.0
PD53333f	3-4:het:10Mb-40Mb	1.0	0.0
PD53333f	3-4:het:>40Mb	1.0	0.0
PD53333f	5-8:het:0-100kb	1.0	0.0
PD53333f	5-8:het:100kb-1Mb	1.0	0.0
PD53333f	5-8:het:1Mb-10Mb	1.0	0.0
PD53333f	5-8:het:10Mb-40Mb	1.0	0.0
PD53333f	5-8:het:>40Mb	1.0	0.0
PD53333f	9+:het:0-100kb	1.0	0.0
PD53333f	9+:het:100kb-1Mb	1.0	0.0
PD53333f	9+:het:1Mb-10Mb	1.0	0.0
PD53333f	9+:het:10Mb-40Mb	1.0	0.0
PD53333f	9+:het:>40Mb	1.0	0.0
PD53334a	0:homdel:0-100kb	0.21442641641914825	0.7855735835808517
PD53334a	0:homdel:100kb-1Mb	0.34550488479997193	0.6544951152000281
PD53334a	0:homdel:>1Mb	0.23966881374555826	0.7603311862544417
PD53334a	1:LOH:0-100kb	0.05111157052343148	0.9488884294765685
PD53334a	1:LOH:100kb-1Mb	0.04259572384194378	0.9574042761580562
PD53334a	1:LOH:1Mb-10Mb	0.014071048477359793	0.9859289515226403
PD53334a	1:LOH:10Mb-40Mb	0.00235268255190396	0.9976473174480961
PD53334a	1:LOH:>40Mb	0.005099845100169415	0.9949001548998306
PD53334a	2:LOH:0-100kb	0.1492314760824227	0.8507685239175774
PD53334a	2:LOH:100kb-1Mb	0.47308739075967854	0.5269126092403215
PD53334a	2:LOH:1Mb-10Mb	0.4820477021776149	0.517952297822385
PD53334a	2:LOH:10Mb-40Mb	0.5868925956601646	0.41310740433983545
PD53334a	2:LOH:>40Mb	0.5635157383880682	0.4364842616119319
PD53334a	3-4:LOH:0-100kb	0.29572694908648334	0.7042730509135168
PD53334a	3-4:LOH:100kb-1Mb	0.797362068848846	0.20263793115115397
PD53334a	3-4:LOH:1Mb-10Mb	0.7388728587316808	0.2611271412683191
PD53334a	3-4:LOH:10Mb-40Mb	0.923524567398387	0.076475432601613
PD53334a	3-4:LOH:>40Mb	0.9571837023620154	0.042816297637984425
