MutationType	CNV48A	CNV48B
0:homdel:0-100kb	0.00054679	0.00050081
0:homdel:100kb-1Mb	0.00098498	0.00046647
0:homdel:>1Mb	0.00111281	0.00088257
1:LOH:0-100kb	0.00089116	0.00413611
1:LOH:100kb-1Mb	0.00331847	0.01864693
1:LOH:1Mb-10Mb	0.00414608	0.07262686
1:LOH:10Mb-40Mb	0.00043257	0.04585743
1:LOH:>40Mb	0.00059829	0.02917908
2:LOH:0-100kb	0.00280213	0.00399374
2:LOH:100kb-1Mb	0.03507827	0.00976732
2:LOH:1Mb-10Mb	0.06934354	0.01862712
2:LOH:10Mb-40Mb	0.03559072	0.00626298
2:LOH:>40Mb	0.01481348	0.00286853
3-4:LOH:0-100kb	0.00538428	0.00320567
3-4:LOH:100kb-1Mb	0.01624161	0.00103189
3-4:LOH:1Mb-10Mb	0.03206960	0.00283345
3-4:LOH:10Mb-40Mb	0.01200847	0.00024860
3-4:LOH:>40Mb	0.00483807	0.00005410
5-8:LOH:0-100kb	0.00189001	0.00071505
5-8:LOH:100kb-1Mb	0.00636284	0.00124391
5-8:LOH:1Mb-10Mb	0.00965067	0.00561280
5-8:LOH:10Mb-40Mb	0.00428879	0.00127653
5-8:LOH:>40Mb	0.00098165	0.00068480
9+:LOH:0-100kb	0.00324621	0.00221902
9+:LOH:100kb-1Mb	0.01444734	0.00065049
9+:LOH:1Mb-10Mb	0.00245051	0.00567711
9+:LOH:10Mb-40Mb	0.00000052	0.00000083
9+:LOH:>40Mb	0.00000052	0.00000083
2:het:0-100kb	0.01255758	0.00521117
2:het:100kb-1Mb	0.01044170	0.02986538
2:het:1Mb-10Mb	0.00071532	0.14593229
2:het:10Mb-40Mb	0.00000006	0.16373726
2:het:>40Mb	0.00000005	0.16663975
3-4:het:0-100kb	0.01887936	0.00463489
3-4:het:100kb-1Mb	0.04687525	0.02788968
3-4:het:1Mb-10Mb	0.10660314	0.06461279
3-4:het:10Mb-40Mb	0.09479914	0.00990526
3-4:het:>40Mb	0.09199006	0.01506233
5-8:het:0-100kb	0.01811080	0.00537220
5-8:het:100kb-1Mb	0.04776161	0.04234538
5-8:het:1Mb-10Mb	0.08943167	0.02993898
5-8:het:10Mb-40Mb	0.03042219	0.00115666
5-8:het:>40Mb	0.01407873	0.00000005
9+:het:0-100kb	0.01938420	0.00587003
9+:het:100kb-1Mb	0.06433749	0.02704280
9+:het:1Mb-10Mb	0.04715596	0.01456752
9+:het:10Mb-40Mb	0.00267874	0.00094416
9+:het:>40Mb	0.00025655	0.00000038
