Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
PD53330a	0	0	0	0	54	0	0	0	0	96
PD53332a	0	0	19	0	170	0	0	43	5	7
PD53332c	0	0	31	0	325	0	0	4	2	0
PD53333a	15	195	0	0	2	8	0	0	14	0
PD53333c	0	84	120	0	0	0	0	5	0	0
PD53333d	2	104	111	11	0	0	0	0	0	0
PD53333e	0	150	46	0	0	1	0	0	0	0
PD53343a	19	0	3	78	0	35	0	0	0	7
PD53343c	32	0	20	50	0	55	4	0	7	3
PD53343d	145	0	0	51	0	16	9	0	5	0
PD53343e	224	0	31	0	0	11	0	0	2	0
PD53343f	95	0	0	37	0	0	17	0	20	8
PD53343g	50	0	0	76	0	30	4	0	20	0
PD53347a	0	0	0	0	0	12	0	0	287	0
PD53349a	3	0	62	22	0	38	14	0	16	18
PD53349c	12	0	75	0	0	22	15	9	10	46
PD53350a	0	43	0	0	0	48	142	0	8	0
PD53350c	0	0	50	0	0	68	159	18	0	0
PD53352a	0	26	0	86	4	0	0	58	0	0
PD53352c	0	1	20	94	1	0	0	53	4	0
PD53355a	8	0	17	51	11	0	106	0	0	0
PD53357a	21	0	0	10	11	101	8	28	3	0
PD53359a	0	0	0	17	0	58	0	76	0	0
PD53364a	12	3	0	13	10	10	35	162	15	0
