MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	2.37E-08	2.91E-08	1.84E-04	4.76E-08	1.71E-08	1.52E-04	3.67E-04	1.76E-05	2.41E-08	5.36E-05
0:homdel:100kb-1Mb	1.85E-08	3.46E-08	1.34E-04	4.35E-08	1.69E-08	7.45E-05	3.13E-04	2.36E-07	1.87E-08	6.34E-05
0:homdel:>1Mb	1.01E-08	1.04E-08	1.87E-08	1.82E-08	8.49E-09	1.90E-08	9.81E-09	1.52E-08	5.87E-09	1.86E-08
1:LOH:0-100kb	1.14E-03	8.47E-04	1.66E-03	1.67E-03	8.86E-04	1.67E-03	9.23E-04	1.27E-03	3.30E-04	2.00E-03
1:LOH:100kb-1Mb	7.10E-04	1.27E-03	1.85E-03	2.37E-03	1.30E-03	2.01E-03	1.34E-03	1.84E-03	1.54E-03	2.33E-03
1:LOH:1Mb-10Mb	1.09E-03	9.84E-04	2.28E-03	1.00E-03	1.93E-03	1.54E-03	6.33E-04	2.86E-03	7.95E-04	2.32E-03
1:LOH:10Mb-40Mb	4.36E-04	2.46E-08	1.10E-03	3.50E-08	1.45E-03	5.35E-08	1.80E-07	1.91E-04	1.42E-08	9.96E-04
1:LOH:>40Mb	4.85E-04	5.16E-04	8.89E-04	2.11E-04	1.04E-03	3.43E-04	4.22E-04	3.19E-04	2.49E-08	1.57E-03
2:LOH:0-100kb	2.94E-04	6.44E-04	1.10E-03	1.00E-03	6.58E-04	7.83E-04	3.56E-04	1.45E-03	2.50E-08	9.95E-04
2:LOH:100kb-1Mb	1.10E-03	2.06E-03	2.69E-03	2.92E-03	1.07E-03	1.66E-03	1.47E-03	2.94E-03	3.18E-04	2.31E-03
2:LOH:1Mb-10Mb	1.02E-03	3.90E-03	5.37E-03	1.79E-03	1.16E-03	4.54E-03	4.11E-03	4.24E-03	3.16E-08	4.45E-03
2:LOH:10Mb-40Mb	9.26E-04	2.02E-03	2.62E-03	3.76E-03	1.07E-03	4.23E-03	1.09E-03	4.88E-03	8.27E-08	3.48E-03
2:LOH:>40Mb	1.20E-03	8.28E-04	1.50E-03	2.20E-03	8.79E-05	1.79E-03	3.24E-04	1.45E-03	5.51E-04	1.82E-03
3-4:LOH:0-100kb	6.16E-04	1.36E-03	1.45E-03	1.52E-03	2.48E-04	3.84E-04	6.31E-05	7.92E-04	3.20E-04	5.56E-04
3-4:LOH:100kb-1Mb	1.31E-03	1.59E-03	1.96E-03	2.09E-03	6.86E-04	2.09E-03	3.11E-04	1.79E-03	1.34E-03	1.66E-03
3-4:LOH:1Mb-10Mb	1.63E-03	2.90E-03	4.81E-03	2.01E-03	5.90E-04	3.07E-03	4.26E-04	1.82E-03	2.44E-03	2.11E-03
3-4:LOH:10Mb-40Mb	6.47E-04	9.74E-04	2.66E-03	9.77E-04	2.92E-04	6.36E-04	5.20E-04	1.30E-03	1.80E-03	2.76E-03
3-4:LOH:>40Mb	4.60E-04	8.54E-04	1.78E-03	9.06E-04	1.05E-04	5.03E-04	6.23E-04	1.19E-03	9.91E-04	1.75E-03
5-8:LOH:0-100kb	5.01E-04	2.42E-04	5.51E-04	4.81E-04	1.12E-08	6.15E-04	9.54E-09	2.10E-04	6.47E-04	4.98E-04
5-8:LOH:100kb-1Mb	8.62E-04	2.47E-04	6.80E-04	6.56E-04	8.35E-09	1.16E-03	1.87E-04	1.75E-04	9.73E-04	6.62E-04
