MutationType	CNV48A
0:homdel:0-100kb	3.48E-05
0:homdel:100kb-1Mb	2.89E-05
0:homdel:>1Mb	7.81E-15
1:LOH:0-100kb	1.61E-04
1:LOH:100kb-1Mb	2.09E-04
1:LOH:1Mb-10Mb	1.77E-04
1:LOH:10Mb-40Mb	1.18E-04
1:LOH:>40Mb	1.13E-04
2:LOH:0-100kb	1.12E-04
2:LOH:100kb-1Mb	1.98E-04
2:LOH:1Mb-10Mb	3.07E-04
2:LOH:10Mb-40Mb	2.08E-04
2:LOH:>40Mb	1.34E-04
3-4:LOH:0-100kb	1.18E-04
3-4:LOH:100kb-1Mb	1.64E-04
3-4:LOH:1Mb-10Mb	2.40E-04
3-4:LOH:10Mb-40Mb	1.33E-04
3-4:LOH:>40Mb	8.30E-05
5-8:LOH:0-100kb	6.30E-05
5-8:LOH:100kb-1Mb	7.57E-05
5-8:LOH:1Mb-10Mb	8.21E-05
5-8:LOH:10Mb-40Mb	5.31E-05
5-8:LOH:>40Mb	3.67E-05
9+:LOH:0-100kb	1.84E-05
9+:LOH:100kb-1Mb	9.82E-05
9+:LOH:1Mb-10Mb	2.87E-05
9+:LOH:10Mb-40Mb	1.60E-05
9+:LOH:>40Mb	7.68E-15
2:het:0-100kb	1.61E-04
2:het:100kb-1Mb	1.94E-04
2:het:1Mb-10Mb	2.32E-04
2:het:10Mb-40Mb	1.88E-04
2:het:>40Mb	1.09E-04
3-4:het:0-100kb	2.48E-04
3-4:het:100kb-1Mb	3.36E-04
3-4:het:1Mb-10Mb	4.84E-04
3-4:het:10Mb-40Mb	4.24E-04
3-4:het:>40Mb	3.24E-04
5-8:het:0-100kb	2.51E-04
5-8:het:100kb-1Mb	2.96E-04
5-8:het:1Mb-10Mb	3.45E-04
5-8:het:10Mb-40Mb	2.15E-04
5-8:het:>40Mb	1.46E-04
9+:het:0-100kb	1.89E-04
9+:het:100kb-1Mb	2.62E-04
9+:het:1Mb-10Mb	2.00E-04
9+:het:10Mb-40Mb	4.39E-05
9+:het:>40Mb	1.73E-05
