NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	106.545	50.088	27.341	44.753	0.252	0.847	20000.0
2	105.197	49.538	26.47	43.778	0.251	0.852	20000.0
3	101.814	48.085	25.99	42.993	0.241	0.858	20000.0
4	108.003	51.09	27.364	45.664	0.262	0.84	20000.0
5	104.897	49.509	25.793	43.155	0.247	0.859	40000.0
6	104.534	49.377	25.666	43.05	0.254	0.856	40000.0
7	107.336	50.359	27.167	45.124	0.254	0.842	20000.0
8	101.683	47.55	25.153	41.782	0.24	0.867	20000.0
9	104.556	49.403	26.055	43.322	0.248	0.857	20000.0
10	108.51	51.083	27.563	45.754	0.254	0.836	20000.0
11	104.381	49.369	25.99	43.53	0.253	0.851	30000.0
12	108.095	50.646	28.407	45.973	0.255	0.839	20000.0
13	107.434	50.458	25.965	43.616	0.256	0.853	30000.0
14	107.222	50.53	26.931	44.247	0.259	0.851	30000.0
15	106.618	50.188	26.616	44.517	0.255	0.847	20000.0
16	103.315	48.688	25.908	42.971	0.242	0.858	20000.0
17	106.175	50.229	27.083	45.202	0.262	0.839	30000.0
18	105.751	49.469	26.415	43.818	0.258	0.851	20000.0
19	108.308	51.322	26.816	45.08	0.264	0.842	20000.0
20	105.432	49.539	25.898	43.126	0.254	0.855	20000.0
21	105.587	49.386	25.856	43.237	0.245	0.851	30000.0
22	107.219	50.515	26.724	43.991	0.249	0.849	20000.0
23	107.221	50.452	27.093	44.166	0.257	0.85	20000.0
24	106.751	50.185	27.372	44.53	0.246	0.85	30000.0
25	104.692	49.187	26.208	43.974	0.253	0.847	20000.0
26	108.716	50.884	27.056	44.284	0.259	0.849	20000.0
27	105.096	49.497	26.104	43.806	0.256	0.848	20000.0
28	105.294	49.507	26.01	43.15	0.247	0.855	20000.0
29	107.503	50.746	27.073	45.025	0.26	0.841	20000.0
30	105.497	49.554	26.044	43.628	0.242	0.855	20000.0
31	104.918	49.533	26.978	44.309	0.244	0.853	20000.0
32	101.823	48.05	24.905	42.541	0.239	0.86	20000.0
33	104.357	49.131	25.537	42.435	0.258	0.861	20000.0
34	108.133	50.673	26.449	43.699	0.256	0.852	20000.0
35	106.064	50.257	27.008	44.768	0.254	0.843	20000.0
36	108.935	51.12	27.676	45.827	0.264	0.838	20000.0
37	105.872	49.422	26.623	44.244	0.257	0.848	20000.0
38	108.376	51.33	27.717	45.978	0.262	0.835	20000.0
39	106.255	50.064	27.106	44.684	0.248	0.844	20000.0
40	105.956	50.009	25.782	43.279	0.248	0.856	30000.0
41	104.917	49.362	26.056	43.043	0.25	0.856	40000.0
42	104.702	49.753	26.503	44.696	0.261	0.84	30000.0
43	109.11	51.3	27.614	45.137	0.267	0.841	20000.0
44	107.288	50.412	26.995	44.82	0.262	0.847	20000.0
45	104.95	49.51	26.191	43.667	0.251	0.851	20000.0
46	104.149	49.01	25.827	42.971	0.249	0.856	20000.0
47	107.151	50.058	27.085	43.505	0.259	0.852	20000.0
48	104.598	49.283	26.213	43.349	0.239	0.855	20000.0
49	102.627	48.54	26.059	43.577	0.242	0.856	20000.0
50	105.217	49.489	26.722	43.615	0.252	0.852	40000.0
51	102.997	48.486	26.576	43.806	0.244	0.847	20000.0
52	102.445	48.145	25.385	42.355	0.24	0.863	20000.0
53	106.492	50.376	26.06	44.185	0.257	0.846	30000.0
54	103.508	48.77	25.735	43.109	0.244	0.856	20000.0
55	104.153	48.701	26.412	43.614	0.245	0.853	20000.0
56	107.156	50.681	26.734	44.682	0.259	0.847	30000.0
57	107.53	50.215	27.332	44.965	0.256	0.845	30000.0
58	104.576	49.176	26.538	43.607	0.244	0.856	20000.0
59	103.969	48.82	26.285	43.784	0.252	0.85	30000.0
60	105.909	49.755	26.53	43.447	0.251	0.854	20000.0
61	105.553	49.572	27.04	44.964	0.255	0.846	30000.0
62	109.93	51.596	27.956	45.632	0.257	0.841	20000.0
63	106.895	49.627	26.475	43.058	0.247	0.859	20000.0
64	106.579	50.175	26.911	44.291	0.257	0.849	20000.0
65	107.099	50.092	26.503	43.622	0.252	0.852	30000.0
66	104.678	49.576	25.845	43.624	0.242	0.851	20000.0
67	107.875	50.476	27.308	44.413	0.264	0.846	20000.0
68	105.379	49.395	27.138	44.437	0.244	0.849	20000.0
69	105.58	49.658	27.326	44.748	0.256	0.845	20000.0
70	107.196	50.41	27.55	45.133	0.253	0.847	20000.0
71	107.554	51.1	27.681	45.939	0.268	0.834	20000.0
72	110.71	51.849	27.042	44.65	0.264	0.847	50000.0
73	107.134	50.258	26.655	43.772	0.263	0.852	30000.0
74	102.836	48.601	25.905	43.367	0.247	0.854	20000.0
75	108.309	50.847	26.894	45.089	0.26	0.841	30000.0
76	106.702	50.498	26.773	44.899	0.261	0.842	20000.0
77	106.818	49.607	26.019	43.186	0.253	0.856	40000.0
78	105.596	49.392	26.444	43.61	0.251	0.852	20000.0
79	108.72	51.275	28.216	46.326	0.261	0.834	20000.0
80	105.599	49.95	26.615	44.239	0.253	0.848	30000.0
81	102.878	48.096	25.627	42.545	0.244	0.859	20000.0
82	103.636	48.794	24.916	42.162	0.251	0.859	20000.0
83	109.986	51.457	28.471	46.572	0.276	0.83	40000.0
84	103.888	48.661	26.611	43.847	0.253	0.85	20000.0
85	106.373	49.967	26.389	43.19	0.255	0.856	30000.0
86	109.848	51.921	27.985	45.936	0.27	0.834	20000.0
87	104.843	48.965	26.545	44.092	0.244	0.852	20000.0
88	108.253	50.741	27.547	45.447	0.257	0.844	30000.0
89	105.89	49.696	26.098	43.85	0.251	0.848	20000.0
90	103.099	48.898	26.38	43.607	0.25	0.847	20000.0
91	106.927	50.46	25.75	43.636	0.258	0.848	20000.0
92	107.878	50.963	27.655	45.239	0.269	0.843	20000.0
93	106.274	50.229	26.979	44.205	0.256	0.85	20000.0
94	105.889	49.767	26.283	43.341	0.245	0.857	30000.0
95	107.463	50.227	27.043	44.297	0.254	0.848	20000.0
96	103.676	48.96	26.136	43.595	0.248	0.851	20000.0
97	103.706	49.054	26.271	43.755	0.25	0.85	20000.0
98	106.903	50.092	26.28	43.583	0.255	0.854	40000.0
99	106.588	50.154	26.111	44.011	0.253	0.848	30000.0
100	103.007	48.659	26.957	44.08	0.247	0.847	30000.0
