Samples	CNV48A	CNV48B	CNV48C
PD53330a	5.14E-01	7.99E-01	7.85E-01
PD53332a	1.02E+00	3.26E-01	1.02E+00
PD53332c	4.00E-01	3.32E-01	5.07E-01
PD53333a	2.40E+00	2.33E+00	3.06E-01
PD53333c	1.36E+00	1.34E+00	4.87E-01
PD53333d	1.80E+00	1.79E+00	2.50E-01
PD53333e	1.37E+00	1.36E+00	3.38E-01
PD53343a	3.53E+00	3.53E+00	0.00E+00
PD53343c	4.70E+00	4.70E+00	0.00E+00
PD53343d	5.91E+00	5.94E+00	1.91E-01
PD53343e	7.50E+00	7.48E+00	2.19E-01
PD53343f	3.97E+00	3.97E+00	1.94E-01
PD53343g	3.92E+00	3.96E+00	2.48E-01
PD53347a	0.00E+00	0.00E+00	0.00E+00
PD53349a	2.15E+00	2.14E+00	3.97E-01
PD53349c	2.12E+00	2.05E+00	8.41E-01
PD53350a	4.15E+00	4.05E+00	4.78E-01
PD53350c	5.04E+00	4.86E+00	4.65E-01
PD53352a	1.50E+00	1.37E+00	5.17E-01
PD53352c	2.07E+00	2.01E+00	4.57E-01
PD53355a	3.29E+00	3.07E+00	6.77E-01
PD53357a	2.68E+00	2.60E+00	7.30E-01
PD53359a	2.57E+00	2.48E+00	5.80E-01
PD53364a	2.02E+00	1.89E+00	8.40E-01
