Samples	CNV48A	CNV48B	CNV48C	CNV48D
PD53330a	7.80E-01	1.96E-01	8.43E-01	6.41E-01
PD53332a	1.80E+00	9.62E-01	1.89E+00	1.49E-01
PD53332c	3.63E+00	9.48E-01	3.73E+00	4.89E-01
PD53333a	8.44E+00	8.45E+00	2.55E-01	8.49E-01
PD53333c	6.90E+00	6.93E+00	4.32E-01	4.77E-01
PD53333d	7.26E+00	7.33E+00	2.44E-01	7.24E-01
PD53333e	6.56E+00	6.64E+00	2.63E-01	2.95E-01
PD53343a	1.94E+00	1.32E+00	0.00E+00	1.57E+00
PD53343c	2.50E+00	1.58E+00	0.00E+00	2.00E+00
PD53343d	3.33E+00	1.36E+00	1.69E-01	2.93E+00
PD53343e	4.33E+00	2.09E+00	1.66E-01	3.76E+00
PD53343f	3.27E+00	2.18E+00	1.91E-01	2.31E+00
PD53343g	2.95E+00	2.00E+00	2.20E-01	2.19E+00
PD53347a	1.34E+00	0.00E+00	0.00E+00	1.34E+00
PD53349a	2.23E+00	2.38E+00	4.18E-01	1.47E+00
PD53349c	2.56E+00	3.11E+00	8.56E-01	1.35E+00
PD53350a	1.47E+00	3.37E+00	3.78E-01	3.11E+00
PD53350c	1.82E+00	3.82E+00	3.17E-01	3.84E+00
PD53352a	4.98E+00	5.19E+00	5.02E-01	2.72E-01
PD53352c	3.88E+00	4.13E+00	4.64E-01	7.53E-01
PD53355a	2.46E+00	3.22E+00	7.21E-01	2.43E+00
PD53357a	2.63E+00	2.48E+00	7.66E-01	1.85E+00
PD53359a	3.51E+00	3.68E+00	6.09E-01	9.51E-01
PD53364a	4.75E+00	4.59E+00	9.08E-01	1.18E+00
