MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	1.6304901507169233e-07	2.561139492719633e-05	0.002794225864391109	2.4501835355295043e-07	3.63251170315948e-05
0:homdel:100kb-1Mb	1.5605611636715366e-07	5.286204903853786e-06	0.0023956935191985452	2.53667794396506e-07	2.8003337865811774e-05
0:homdel:>1Mb	5.911394987379026e-07	4.951582741341554e-07	3.977046905845327e-07	3.9454471448152615e-07	3.438313325432318e-07
1:LOH:0-100kb	0.017764012734405695	0.013874660790897907	0.013112341603264212	0.023882445693016053	0.0032299374922171607
1:LOH:100kb-1Mb	0.0075711614429746985	0.023459648839198054	0.021098556509241462	0.04295344304293394	0.029164412105455995
1:LOH:1Mb-10Mb	0.0007168700394686311	0.01665630982723087	0.006148875070712165	0.06626843927428126	0.01307876593407606
1:LOH:10Mb-40Mb	2.726655443296977e-07	0.0014251632337385644	0.0009058083841387177	0.04262029249880982	2.8436746664084466e-07
1:LOH:>40Mb	0.0006707709815371388	0.0049371154532271075	0.0034753921930413866	0.02779383468441665	0.00010456224728183083
2:LOH:0-100kb	0.004305381393297187	0.0071820919858993195	0.005120614796657179	0.010125676737880554	1.3388992499585585e-07
2:LOH:100kb-1Mb	0.01419536053785123	0.04189413049723953	0.033053191639482976	0.03007725762203336	0.0028856549251481023
2:LOH:1Mb-10Mb	0.0059541724138404105	0.07054422300490615	0.11271430496592075	0.021782820809166877	1.763521982667271e-08
2:LOH:10Mb-40Mb	0.03964190181577578	0.007557781144675602	0.024378140905165536	0.01769846532563804	3.202101062527163e-08
2:LOH:>40Mb	0.02384709776379168	0.008365828477613241	0.003533037285219649	0.000565259466969863	0.007091481525206902
3-4:LOH:0-100kb	0.005045016319826345	0.015581970289543107	0.0007022609923033041	0.0011760540295316702	0.003084511201648752
3-4:LOH:100kb-1Mb	0.010766050317797635	0.023759466928291176	0.002991689667735115	0.006124829156316309	0.03253169771283865
3-4:LOH:1Mb-10Mb	0.008627265911298422	0.05690029687481001	0.007433319429758569	0.004621344720360696	0.07262592721730471
3-4:LOH:10Mb-40Mb	0.0021436953679521763	0.011303220541645943	0.005619527066704961	0.0020518077854598006	0.037060161726549266
