MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	2.19E-08	2.54E-05	2.02E-04	1.39E-08	3.59E-05
0:homdel:100kb-1Mb	2.07E-08	5.09E-06	1.72E-04	1.36E-08	1.94E-05
0:homdel:>1Mb	3.20E-09	5.95E-09	4.81E-09	5.60E-09	1.61E-09
1:LOH:0-100kb	4.17E-04	4.84E-04	5.97E-04	6.68E-04	3.58E-04
1:LOH:100kb-1Mb	5.03E-04	8.86E-04	1.01E-03	9.20E-04	1.12E-03
1:LOH:1Mb-10Mb	3.07E-04	8.82E-04	8.49E-04	1.23E-03	6.10E-04
1:LOH:10Mb-40Mb	9.81E-09	7.69E-04	7.62E-04	9.72E-04	1.37E-08
1:LOH:>40Mb	1.03E-04	7.17E-04	3.71E-04	6.78E-04	5.27E-05
2:LOH:0-100kb	2.70E-04	3.91E-04	4.16E-04	4.55E-04	1.19E-08
2:LOH:100kb-1Mb	7.61E-04	1.00E-03	1.06E-03	7.04E-04	2.77E-04
2:LOH:1Mb-10Mb	1.08E-03	2.15E-03	2.44E-03	7.79E-04	7.10E-09
2:LOH:10Mb-40Mb	1.97E-03	1.79E-03	1.60E-03	6.31E-04	8.64E-09
2:LOH:>40Mb	5.79E-04	5.91E-04	5.18E-04	1.09E-04	4.11E-04
3-4:LOH:0-100kb	3.31E-04	6.64E-04	1.80E-04	1.27E-04	2.91E-04
3-4:LOH:100kb-1Mb	5.52E-04	8.20E-04	4.21E-04	3.53E-04	1.07E-03
3-4:LOH:1Mb-10Mb	8.56E-04	2.03E-03	1.32E-03	3.69E-04	1.80E-03
3-4:LOH:10Mb-40Mb	2.78E-04	5.72E-04	4.87E-04	2.27E-04	1.44E-03
3-4:LOH:>40Mb	2.45E-04	6.09E-04	4.24E-04	3.28E-04	8.03E-04
5-8:LOH:0-100kb	2.33E-04	1.75E-04	5.40E-05	1.09E-08	5.99E-04
5-8:LOH:100kb-1Mb	3.18E-04	1.39E-04	1.48E-04	9.28E-09	8.42E-04
5-8:LOH:1Mb-10Mb	2.49E-04	1.19E-04	1.60E-05	1.40E-08	7.97E-04
5-8:LOH:10Mb-40Mb	1.75E-05	4.30E-04	1.31E-04	1.97E-04	5.68E-04
5-8:LOH:>40Mb	2.99E-05	3.86E-05	9.07E-05	2.63E-05	3.80E-04
9+:LOH:0-100kb	6.32E-05	1.37E-05	1.86E-08	1.92E-08	5.23E-05
9+:LOH:100kb-1Mb	7.83E-05	7.77E-04	7.23E-04	1.32E-08	3.19E-04
9+:LOH:1Mb-10Mb	4.57E-06	1.32E-04	4.43E-05	1.60E-08	2.50E-08
9+:LOH:10Mb-40Mb	2.47E-08	2.15E-08	1.63E-08	1.53E-08	1.45E-04
9+:LOH:>40Mb	3.20E-09	5.95E-09	4.81E-09	5.60E-09	1.61E-09
2:het:0-100kb	8.28E-04	9.23E-04	9.24E-04	7.38E-04	3.40E-04
2:het:100kb-1Mb	5.13E-04	1.39E-03	8.27E-04	1.21E-03	3.04E-04
2:het:1Mb-10Mb	4.38E-08	3.51E-03	2.79E-03	1.96E-03	1.29E-08
2:het:10Mb-40Mb	2.07E-04	3.12E-03	1.19E-03	2.23E-03	6.89E-05
2:het:>40Mb	3.39E-05	2.99E-03	1.31E-03	1.52E-03	1.64E-08
3-4:het:0-100kb	9.27E-04	1.11E-03	9.17E-04	8.84E-04	9.01E-04
3-4:het:100kb-1Mb	1.17E-03	1.33E-03	1.39E-03	7.75E-04	9.59E-04
3-4:het:1Mb-10Mb	1.97E-03	3.21E-03	1.98E-03	1.62E-03	1.50E-03
3-4:het:10Mb-40Mb	2.23E-03	2.84E-03	2.02E-03	6.42E-04	9.35E-04
3-4:het:>40Mb	1.69E-03	2.92E-03	1.74E-03	1.81E-04	6.00E-04
5-8:het:0-100kb	7.81E-04	1.03E-03	1.07E-03	4.96E-04	1.01E-03
5-8:het:100kb-1Mb	1.17E-03	1.11E-03	1.25E-03	6.82E-04	1.68E-03
5-8:het:1Mb-10Mb	2.92E-03	1.08E-03	1.93E-03	8.51E-04	3.19E-03
5-8:het:10Mb-40Mb	1.95E-03	1.15E-03	6.25E-04	8.82E-04	2.74E-03
5-8:het:>40Mb	5.21E-04	3.14E-04	7.23E-04	6.18E-09	7.45E-04
9+:het:0-100kb	5.73E-04	1.20E-03	1.04E-03	3.39E-04	5.18E-04
9+:het:100kb-1Mb	9.13E-04	1.02E-03	3.73E-03	5.64E-04	2.23E-03
9+:het:1Mb-10Mb	8.03E-04	7.97E-04	2.15E-03	2.42E-04	2.27E-03
9+:het:10Mb-40Mb	1.18E-08	1.30E-04	4.39E-05	1.40E-04	4.26E-04
9+:het:>40Mb	2.64E-08	1.94E-08	1.78E-08	1.75E-08	1.54E-04
