Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
PD53330a	0	0	0	0	139	11
PD53332a	0	4	37	7	191	5
PD53332c	0	15	0	1	345	1
PD53333a	0	200	11	0	0	23
PD53333c	16	176	7	5	5	0
PD53333d	32	185	0	9	2	0
PD53333e	0	191	0	5	0	1
PD53343a	98	14	21	9	0	0
PD53343c	123	17	0	17	0	14
PD53343d	208	0	3	14	0	1
PD53343e	242	10	0	0	7	9
PD53343f	140	0	0	26	0	11
PD53343g	119	0	31	13	0	17
PD53347a	0	0	3	0	0	296
PD53349a	65	38	9	32	3	26
PD53349c	50	43	18	32	25	21
PD53350a	0	30	4	180	0	27
PD53350c	19	34	10	205	0	27
PD53352a	0	44	130	0	0	0
PD53352c	20	29	121	3	0	0
PD53355a	26	0	23	139	5	0
PD53357a	54	0	60	10	10	48
PD53359a	13	0	121	0	0	17
PD53364a	0	1	177	50	16	16
