Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
PD53330a	1.69E+00	2.81E-01	1.55E+00	2.57E+00	3.02E+00	4.53E-01
PD53332a	1.02E+00	6.85E-01	3.40E+00	1.03E+00	3.32E+00	0.00E+00
PD53332c	1.02E+00	1.29E+00	5.24E+00	7.60E-01	5.22E+00	8.79E-01
PD53333a	1.53E+00	2.81E+00	2.61E+00	9.35E-01	9.46E-02	7.72E-01
PD53333c	1.44E+00	3.10E+00	2.73E+00	9.03E-01	4.40E-01	3.20E-01
PD53333d	2.12E+00	3.22E+00	2.24E+00	5.97E-01	1.87E-01	3.87E-01
PD53333e	1.08E+00	2.37E+00	2.19E+00	8.10E-01	2.85E-01	3.60E-01
PD53343a	3.11E+00	1.19E+00	2.72E+00	6.79E-01	0.00E+00	9.34E-01
PD53343c	3.71E+00	1.58E+00	2.58E+00	7.93E-01	0.00E+00	1.69E+00
PD53343d	4.18E+00	6.03E-01	3.39E+00	1.14E+00	5.03E-02	2.11E+00
PD53343e	5.12E+00	1.76E+00	4.28E+00	6.39E-01	1.09E-01	2.61E+00
PD53343f	3.33E+00	3.86E-01	2.42E+00	1.31E+00	1.73E-01	1.93E+00
PD53343g	3.58E+00	1.36E+00	2.81E+00	1.06E+00	1.93E-01	1.93E+00
PD53347a	1.29E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.29E+00
PD53349a	2.79E+00	1.88E+00	2.31E+00	1.63E+00	3.95E-01	1.48E+00
PD53349c	2.46E+00	2.61E+00	2.65E+00	1.93E+00	9.17E-01	1.56E+00
PD53350a	1.62E+00	3.10E+00	1.50E+00	4.24E+00	2.64E-01	1.80E+00
PD53350c	2.89E+00	3.26E+00	2.61E+00	5.05E+00	6.18E-02	2.09E+00
PD53352a	2.44E+00	3.44E+00	4.44E+00	9.10E-01	4.57E-01	2.59E-01
PD53352c	2.75E+00	2.93E+00	4.22E+00	1.23E+00	3.64E-01	7.07E-01
PD53355a	2.36E+00	2.10E+00	2.91E+00	3.37E+00	7.64E-01	7.98E-01
PD53357a	3.48E+00	1.28E+00	3.53E+00	1.67E+00	7.80E-01	1.71E+00
PD53359a	3.34E+00	1.74E+00	4.24E+00	4.69E-01	4.42E-01	6.89E-01
PD53364a	3.03E+00	2.96E+00	4.98E+00	2.92E+00	9.11E-01	1.31E+00
