MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	2.300060583060315e-07	2.0240437379470677e-07	2.8702847274075796e-07	0.003419183762434841	2.3025783640662212e-07	0.00012135792757788977
0:homdel:100kb-1Mb	2.1754732511425347e-07	2.1022561988104372e-07	3.0690490639528887e-07	0.0029031766431731397	2.395714322034337e-07	7.335327751945897e-05
0:homdel:>1Mb	5.509290001626255e-07	4.6438324758923953e-07	5.878554225091648e-07	3.840676259869724e-07	3.8734887795044417e-07	3.426104450454659e-07
1:LOH:0-100kb	0.01865511816868093	0.01377715752586937	0.011845150332791023	0.013116720584420562	0.02395072237122804	0.0030168302985762716
1:LOH:100kb-1Mb	0.007412281859433279	0.02182540260255337	0.01943011702556646	0.02130872521083802	0.044246629793196914	0.030178645979613065
1:LOH:1Mb-10Mb	0.0005212286911830688	0.012635315846418962	0.021101057738997044	0.003295178112491257	0.0650245825946331	0.015239524243684386
1:LOH:10Mb-40Mb	3.613239798738732e-07	1.8295612826957353e-07	0.0012089025047763969	0.0002832128867672168	0.046033775508403776	2.5807948162537286e-07
1:LOH:>40Mb	0.0011620921541804208	0.004457953792634157	0.0014885078203581514	0.0037092917167325366	0.029453000277280806	0.00017446708870707539
2:LOH:0-100kb	0.002590117402410783	0.006661499508895758	0.012086906574943442	0.003095008630631639	0.00937329874076454	1.2967139205954937e-07
2:LOH:100kb-1Mb	0.009231842321605654	0.03928384150378406	0.042776028187945486	0.02949805317912251	0.028508731611073018	0.0030692330704018113
2:LOH:1Mb-10Mb	0.0007301552344961237	0.0729012382403016	0.062221778204038854	0.10901613604743034	0.01881171075697722	2.856468825231947e-08
2:LOH:10Mb-40Mb	0.01720318899614995	0.0011417933888719744	0.07861379060894251	0.015731706958516157	0.014127851840589756	6.867418038680739e-08
2:LOH:>40Mb	0.01979603304431521	0.006608289410085604	0.021174823475532775	0.002257443388763484	0.00027960146041586145	0.007461402173401339
3-4:LOH:0-100kb	0.004663319996402891	0.017053239332038856	0.005695001223693197	0.00019749253106609687	0.0011522526819704026	0.0030396293647508444
3-4:LOH:100kb-1Mb	0.010368710397215182	0.02296188340289518	0.017772772248717955	0.0016681786138053668	0.00581415705722236	0.034521675948053596
3-4:LOH:1Mb-10Mb	0.01409474691813557	0.06907717321068048	0.010644981285731775	0.003460063459991716	0.0039017997890255173	0.07666532676666975
3-4:LOH:10Mb-40Mb	0.0015411244660210278	0.01037448288872838	0.009957954207386592	0.004803515731058496	0.0017984327428031577	0.04353008246049285
3-4:LOH:>40Mb	0.00015283784644759101	0.0038724362563721825	0.010033518534664268	0.0024765947954929857	0.001070980207679959	0.013685389518214377
5-8:LOH:0-100kb	0.0026938830918609115	0.002191303278872425	0.0014662768483999144	6.355566500772625e-05	6.83369500364961e-08	0.008125935628084164
5-8:LOH:100kb-1Mb	0.00461455587075875	0.0017568910532062532	0.0011535147363986198	0.0010295492186058652	2.6400716848229422e-08	0.017301667443588825
5-8:LOH:1Mb-10Mb	0.003379747041303176	0.0014683220298167398	0.00013966527126910933	3.848631706659944e-08	5.317519322645126e-08	0.02073758975137025
5-8:LOH:10Mb-40Mb	0.00011639776460064865	7.396522753075007e-05	0.0001875901935802027	0.0004475896862197004	0.0018791221129639446	0.01129728552261696
5-8:LOH:>40Mb	2.0772653888849747e-05	4.707906268471618e-05	0.00013605782529470644	0.00012055752198318559	3.498046666180698e-05	0.007907092512719203
9+:LOH:0-100kb	0.0007547514438754277	2.280762642214995e-07	7.645038490522893e-05	2.525440672229706e-07	2.6488119697631873e-07	1.3467871000472086e-05
9+:LOH:100kb-1Mb	4.861099853314954e-08	0.021531195027645254	0.00017148638746292022	0.0015103442813612844	1.0659194035866903e-07	0.0028488300253243894
9+:LOH:1Mb-10Mb	2.9770054997158015e-07	0.0020306494106944227	9.520818664299213e-05	2.201905590037967e-07	3.567995690900716e-07	2.7069548522717925e-07
9+:LOH:10Mb-40Mb	3.0341544773160745e-07	3.1940373490968454e-07	4.2405672228795766e-07	2.5613109245981035e-07	3.042648650009028e-07	0.0018803875352304544
9+:LOH:>40Mb	5.509290001626255e-07	4.6438324758923953e-07	5.878554225091648e-07	3.840676259869724e-07	3.8734887795044417e-07	3.426104450454659e-07
2:het:0-100kb	0.017480425424873828	0.004876912543841172	0.034736457387916746	0.012973826313839254	0.024791052816435694	0.0033557092355485808
2:het:100kb-1Mb	0.007225557616336573	0.0060192693036515265	0.017463882421143353	0.014868568438105285	0.07162448111921549	0.002659902618363592
2:het:1Mb-10Mb	0.0009478617005939327	0.004260449969712888	0.008229187619126251	0.012221118957300518	0.2011445751041174	8.189488109887082e-08
2:het:10Mb-40Mb	0.004226652999662406	0.0002939760810308556	0.004209544900997599	0.004249657904939852	0.10186262868344784	3.433547439913198e-05
2:het:>40Mb	0.0012667297137836408	4.484863660891847e-08	0.005889468192122536	0.006128837144549237	0.04705577515996993	2.2115013266876816e-07
3-4:het:0-100kb	0.03799229576718062	0.03610218835994601	0.03077527780622404	0.03198269265703857	0.01969095235224813	0.02448025818914175
3-4:het:100kb-1Mb	0.0807191214337945	0.07964464515447617	0.06350290631875395	0.06383343082387	0.03741300346329808	0.02109066447010264
3-4:het:1Mb-10Mb	0.18685384901240468	0.15545756720006465	0.14051418473012744	0.07632753654383123	0.09482971828430892	0.06261264661327004
3-4:het:10Mb-40Mb	0.1582322634384036	0.09805010192096233	0.14188878133893013	0.03942552851513028	0.011796471920097246	0.023659911039285362
3-4:het:>40Mb	0.08375634763389826	0.10607609156519175	0.09616532939421177	0.07421337973326445	0.0004084282201802125	0.009195076835894725
5-8:het:0-100kb	0.032870922916821144	0.03863567655906081	0.025672264250461013	0.034391829897649585	0.013417107423301787	0.027853057156316936
5-8:het:100kb-1Mb	0.056961818262934685	0.039941106215119364	0.021960108394632697	0.06069779386743903	0.021686218408867718	0.04083936531096697
5-8:het:1Mb-10Mb	0.09311116916127503	0.030828002309426665	0.033773955050855876	0.036960380948461526	0.03403081555850804	0.2022189627587795
5-8:het:10Mb-40Mb	0.06288802440278232	0.0008409374316924812	0.00799187073900157	0.005513855134122423	0.0071534608294189185	0.11183576710522175
5-8:het:>40Mb	0.01617572065677308	0.002124139570251744	0.00923800115189863	0.019062264566292696	7.652124409673888e-09	0.01626703335903585
9+:het:0-100kb	0.012116955737471926	0.045244523845613005	0.009609857481383415	0.02654666324611753	0.005087770026220823	0.006134086938333851
9+:het:100kb-1Mb	0.015553891945202984	0.01899543459125198	0.002399362642502183	0.17416897311806678	0.010036682173700627	0.05282810907810927
9+:het:1Mb-10Mb	0.011839211006827739	0.0008752912096761634	0.016417900252716465	0.08297505509108305	0.0015783357179100222	0.08452880565077066
9+:het:10Mb-40Mb	7.538014348817512e-05	1.1247984609497052e-07	8.147524391007188e-05	4.551171852643421e-05	0.0009281202837709657	0.007776417284892006
9+:het:>40Mb	3.261602519089024e-07	3.495806564757231e-07	4.5419126475820804e-07	2.727056545559492e-07	3.362531986184081e-07	0.0017389687838925737
