MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	2.36E-08	4.78E-08	3.42E-08	2.50E-04	1.54E-08	8.41E-05
0:homdel:100kb-1Mb	2.24E-08	4.85E-08	3.58E-08	2.10E-04	1.53E-08	4.81E-05
0:homdel:>1Mb	8.38E-09	3.95E-09	1.08E-08	6.55E-09	4.89E-09	1.79E-09
1:LOH:0-100kb	7.26E-04	5.56E-04	9.74E-04	7.14E-04	7.24E-04	3.38E-04
1:LOH:100kb-1Mb	5.90E-04	7.23E-04	1.08E-03	9.91E-04	8.01E-04	1.11E-03
1:LOH:1Mb-10Mb	3.01E-04	6.11E-04	1.54E-03	5.83E-04	1.05E-03	6.50E-04
1:LOH:10Mb-40Mb	1.42E-08	1.14E-08	7.13E-04	1.85E-04	1.04E-03	9.18E-09
1:LOH:>40Mb	3.87E-04	2.85E-04	6.63E-04	3.88E-04	7.36E-04	9.31E-05
2:LOH:0-100kb	3.20E-04	3.98E-04	8.32E-04	3.62E-04	4.34E-04	1.20E-08
2:LOH:100kb-1Mb	6.32E-04	1.11E-03	1.85E-03	1.17E-03	6.39E-04	2.92E-04
2:LOH:1Mb-10Mb	3.98E-04	1.79E-03	3.23E-03	2.90E-03	8.57E-04	9.43E-09
2:LOH:10Mb-40Mb	1.11E-03	6.97E-04	3.07E-03	1.04E-03	6.97E-04	1.33E-08
2:LOH:>40Mb	8.00E-04	4.17E-04	1.14E-03	3.83E-04	7.52E-05	4.61E-04
3-4:LOH:0-100kb	3.44E-04	6.36E-04	6.75E-04	9.22E-05	1.44E-04	2.78E-04
3-4:LOH:100kb-1Mb	5.47E-04	7.21E-04	1.30E-03	2.92E-04	3.52E-04	1.09E-03
3-4:LOH:1Mb-10Mb	1.05E-03	1.34E-03	1.27E-03	5.51E-04	3.59E-04	1.95E-03
3-4:LOH:10Mb-40Mb	2.36E-04	5.18E-04	7.44E-04	5.22E-04	1.96E-04	1.55E-03
3-4:LOH:>40Mb	1.35E-04	4.02E-04	8.59E-04	3.57E-04	2.08E-04	9.18E-04
5-8:LOH:0-100kb	2.43E-04	1.92E-04	2.67E-04	6.35E-05	1.60E-08	5.91E-04
5-8:LOH:100kb-1Mb	3.62E-04	1.73E-04	3.99E-04	1.66E-04	1.06E-08	9.53E-04
5-8:LOH:1Mb-10Mb	3.00E-04	1.52E-04	8.87E-05	1.71E-08	2.42E-08	8.49E-04
5-8:LOH:10Mb-40Mb	8.05E-05	6.33E-05	9.89E-05	2.21E-04	4.62E-04	6.62E-04
5-8:LOH:>40Mb	1.43E-05	2.68E-05	7.92E-05	8.47E-05	3.47E-05	4.61E-04
9+:LOH:0-100kb	7.86E-05	2.25E-08	3.65E-05	2.44E-08	1.79E-08	1.29E-05
9+:LOH:100kb-1Mb	1.75E-08	7.06E-04	1.71E-04	2.92E-04	1.39E-08	3.54E-04
9+:LOH:1Mb-10Mb	2.40E-08	1.45E-04	4.98E-05	2.60E-08	1.57E-08	2.36E-08
9+:LOH:10Mb-40Mb	2.41E-08	1.80E-08	2.58E-08	1.76E-08	1.55E-08	1.66E-04
9+:LOH:>40Mb	8.38E-09	3.95E-09	1.08E-08	6.55E-09	4.89E-09	1.79E-09
2:het:0-100kb	8.94E-04	5.02E-04	1.66E-03	1.01E-03	7.82E-04	3.28E-04
2:het:100kb-1Mb	7.66E-04	3.74E-04	1.12E-03	1.28E-03	1.19E-03	2.81E-04
2:het:1Mb-10Mb	9.48E-04	3.85E-04	2.98E-03	2.10E-03	2.35E-03	2.04E-08
2:het:10Mb-40Mb	1.77E-03	9.97E-05	1.63E-03	2.46E-03	1.68E-03	3.41E-05
2:het:>40Mb	1.27E-03	1.22E-08	1.36E-03	2.38E-03	1.66E-03	1.38E-08
3-4:het:0-100kb	1.28E-03	9.28E-04	1.85E-03	1.08E-03	6.93E-04	8.44E-04
3-4:het:100kb-1Mb	1.46E-03	1.31E-03	2.11E-03	1.64E-03	8.80E-04	9.84E-04
3-4:het:1Mb-10Mb	3.73E-03	2.33E-03	4.29E-03	2.26E-03	1.54E-03	1.58E-03
3-4:het:10Mb-40Mb	3.05E-03	1.89E-03	4.54E-03	2.05E-03	7.61E-04	1.06E-03
3-4:het:>40Mb	2.47E-03	2.07E-03	4.43E-03	2.11E-03	2.69E-04	6.12E-04
5-8:het:0-100kb	9.13E-04	8.53E-04	1.46E-03	1.18E-03	5.05E-04	9.78E-04
5-8:het:100kb-1Mb	1.39E-03	1.16E-03	1.60E-03	1.34E-03	7.47E-04	1.57E-03
5-8:het:1Mb-10Mb	3.77E-03	1.51E-03	4.29E-03	2.21E-03	9.53E-04	3.19E-03
5-8:het:10Mb-40Mb	1.91E-03	2.15E-04	1.47E-03	8.54E-04	6.38E-04	2.37E-03
5-8:het:>40Mb	8.04E-04	2.74E-04	1.13E-03	8.82E-04	6.07E-09	8.19E-04
9+:het:0-100kb	9.25E-04	1.03E-03	1.02E-03	1.05E-03	3.19E-04	4.99E-04
9+:het:100kb-1Mb	9.72E-04	1.03E-03	9.30E-04	4.13E-03	6.49E-04	2.60E-03
9+:het:1Mb-10Mb	8.29E-04	2.17E-04	1.46E-03	2.32E-03	2.59E-04	2.24E-03
9+:het:10Mb-40Mb	7.53E-05	1.59E-08	8.13E-05	4.54E-05	1.03E-04	5.44E-04
9+:het:>40Mb	2.38E-08	1.74E-08	2.47E-08	1.75E-08	1.56E-08	1.89E-04
