Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
PD53330a	9.25E-01	1.94E-01	5.04E+00	4.77E+00	0.00E+00	1.51E+00	4.65E-01
PD53332a	8.60E-01	9.52E-01	2.74E+00	2.56E+00	6.55E-01	2.13E+00	2.00E-02
PD53332c	1.09E+00	1.75E+00	2.93E+00	3.54E+00	7.60E-01	2.40E+00	8.38E-01
PD53333a	1.39E+00	4.54E+00	4.14E+00	1.55E-01	7.46E-01	2.67E+00	7.48E-01
PD53333c	1.69E+00	3.89E+00	2.81E+00	4.39E-01	8.92E-01	2.75E+00	2.66E-01
PD53333d	1.87E+00	4.63E+00	3.91E+00	1.73E-01	4.39E-01	2.43E+00	3.54E-01
PD53333e	1.16E+00	4.08E+00	3.62E+00	2.96E-01	6.15E-01	2.48E+00	3.15E-01
PD53343a	3.50E+00	9.36E-01	3.52E+00	0.00E+00	5.17E-01	2.53E+00	7.19E-01
PD53343c	4.17E+00	1.14E+00	4.46E+00	0.00E+00	6.70E-01	1.93E+00	1.42E+00
PD53343d	4.41E+00	6.97E-01	3.88E+00	6.72E-02	1.08E+00	2.77E+00	1.85E+00
PD53343e	5.46E+00	1.87E+00	4.30E+00	4.45E-02	5.52E-01	2.91E+00	2.03E+00
PD53343f	3.74E+00	5.19E-01	3.57E+00	1.44E-01	1.26E+00	1.70E+00	1.70E+00
PD53343g	3.79E+00	8.34E-01	3.82E+00	1.83E-01	1.07E+00	2.34E+00	1.88E+00
PD53347a	1.03E+00	1.56E+00	7.95E-01	0.00E+00	0.00E+00	0.00E+00	1.96E+00
PD53349a	2.69E+00	1.77E+00	2.83E+00	3.53E-01	1.49E+00	2.16E+00	1.50E+00
PD53349c	2.46E+00	2.52E+00	3.46E+00	9.49E-01	1.72E+00	3.06E+00	1.71E+00
PD53350a	1.30E+00	2.32E+00	2.64E+00	2.22E-01	3.23E+00	1.52E+00	1.52E+00
PD53350c	3.01E+00	1.57E+00	3.74E+00	3.00E-02	3.45E+00	2.33E+00	1.33E+00
PD53352a	2.65E+00	3.41E+00	2.90E+00	4.55E-01	5.79E-01	4.42E+00	1.80E-01
PD53352c	3.05E+00	2.67E+00	3.17E+00	3.28E-01	1.14E+00	4.10E+00	7.32E-01
PD53355a	2.58E+00	9.98E-01	2.88E+00	8.18E-01	3.15E+00	3.13E+00	0.00E+00
PD53357a	3.98E+00	8.74E-01	4.10E+00	7.81E-01	1.21E+00	3.12E+00	1.63E+00
PD53359a	2.64E+00	1.20E+00	4.62E+00	2.38E-01	3.20E-01	4.28E+00	7.08E-01
PD53364a	2.68E+00	2.67E+00	3.47E+00	8.67E-01	2.62E+00	4.62E+00	1.14E+00
