Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.885	74.182	49.455%	19.854	46.822%	0.23251	0.842
PD53332a	244	0.978	57.281	23.476%	13.241	21.004%	0.07111	0.967
PD53332c	362	0.988	59.898	16.546%	17.83	16.424%	0.04532	0.985
PD53333a	234	0.972	64.521	27.573%	14.215	23.685%	0.10103	0.958
PD53333c	209	0.993	32.469	15.535%	8.189	13.684%	0.03865	0.991
PD53333d	228	0.994	30.523	13.387%	6.556	10.644%	0.04039	0.992
PD53333e	197	0.991	32.242	16.366%	7.159	13.58%	0.04457	0.987
PD53343a	142	0.964	46.63	32.838%	10.805	26.979%	0.12206	0.951
PD53343c	171	0.98	43.955	25.705%	9.123	19.941%	0.11807	0.972
PD53343d	226	0.994	31.633	13.997%	7.299	10.582%	0.03377	0.993
PD53343e	268	0.99	47.888	17.869%	15.065	16.743%	0.06058	0.989
PD53343f	177	0.979	44.251	25.001%	10.524	20.619%	0.07228	0.971
PD53343g	180	0.978	45.309	25.172%	10.219	21.053%	0.08224	0.969
PD53347a	299	0.998	21.767	7.28%	4.776	5.642%	0.00976	0.998
PD53349a	173	0.968	53.455	30.899%	10.813	25.229%	0.11239	0.951
PD53349c	189	0.968	56.263	29.769%	11.19	25.256%	0.13277	0.948
PD53350a	241	0.987	48.693	20.205%	10.031	16.011%	0.06877	0.982
PD53350c	295	0.988	59.851	20.288%	12.326	16.057%	0.06298	0.983
PD53352a	174	0.976	46.485	26.716%	10.141	22.014%	0.07354	0.965
PD53352c	173	0.975	49.275	28.483%	10.449	22.142%	0.08725	0.965
PD53355a	193	0.956	64.253	33.292%	15.222	29.203%	0.11408	0.938
PD53357a	182	0.965	62.401	34.286%	13.707	27.956%	0.13966	0.954
PD53359a	151	0.967	50.026	33.13%	12.012	27.965%	0.13539	0.961
PD53364a	260	0.982	60.291	23.189%	13.12	19.82%	0.0568	0.974
