Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
PD53330a	0	0	0	127	23	0	0	0
PD53332a	0	0	0	162	0	82	0	0
PD53332c	0	0	0	304	0	58	0	0
PD53333a	0	175	20	0	21	0	0	18
PD53333c	21	153	0	0	0	31	4	0
PD53333d	36	180	0	2	0	0	10	0
PD53333e	0	180	0	0	13	0	4	0
PD53343a	25	0	60	0	57	0	0	0
PD53343c	57	0	17	0	86	0	8	3
PD53343d	168	0	32	0	4	0	9	13
PD53343e	229	0	0	0	0	24	0	15
PD53343f	108	0	22	0	8	0	20	19
PD53343g	56	0	65	0	30	0	3	26
PD53347a	0	0	4	1	0	0	0	294
PD53349a	34	28	6	0	65	3	24	13
PD53349c	31	25	0	12	42	44	23	12
PD53350a	0	22	0	0	55	0	151	13
PD53350c	0	13	0	0	55	51	161	15
PD53352a	0	23	127	2	0	22	0	0
PD53352c	14	10	123	0	0	24	2	0
PD53355a	23	0	44	10	0	0	116	0
PD53357a	15	0	8	0	97	39	0	23
PD53359a	0	0	39	0	59	53	0	0
PD53364a	0	0	63	0	0	156	29	12
