Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
PD53330a	0	0	0	86	0	0	0	0	64
PD53332a	0	0	0	165	50	0	0	0	29
PD53332c	5	10	0	328	13	4	0	2	0
PD53333a	190	0	29	1	0	0	6	8	0
PD53333c	135	21	0	1	47	5	0	0	0
PD53333d	166	31	0	0	15	9	1	0	6
PD53333e	165	0	11	0	18	3	0	0	0
PD53343a	0	25	56	0	0	0	61	0	0
PD53343c	7	54	93	0	0	6	10	1	0
PD53343d	0	152	33	0	0	8	24	9	0
PD53343e	12	221	3	0	0	0	0	18	14
PD53343f	0	98	20	0	0	19	22	18	0
PD53343g	0	53	37	0	0	3	62	25	0
PD53347a	3	1	0	1	0	4	3	287	0
PD53349a	28	33	54	0	0	22	3	10	23
PD53349c	17	29	19	0	28	20	0	7	69
PD53350a	26	0	57	1	0	145	0	12	0
PD53350c	5	0	51	0	51	154	0	16	18
PD53352a	19	0	0	5	39	0	111	0	0
PD53352c	6	13	0	2	41	1	107	3	0
PD53355a	0	22	0	10	0	114	47	0	0
PD53357a	0	12	94	10	42	0	0	24	0
PD53359a	0	0	70	0	72	0	9	0	0
PD53364a	0	0	13	9	167	28	26	17	0
