Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
PD53330a	2.06E-01	6.49E-01	1.23E+00	6.26E+00	5.80E-02	0.00E+00	4.97E-01	2.19E-01	7.13E+00
PD53332a	0.00E+00	1.16E+00	4.17E-01	3.43E+00	3.23E+00	5.44E-01	7.93E-01	1.03E-01	2.80E+00
PD53332c	1.08E+00	1.13E+00	4.20E-01	4.21E+00	3.65E+00	6.84E-01	2.79E-01	7.36E-01	3.10E+00
PD53333a	4.84E+00	1.26E+00	3.87E+00	1.47E-01	2.46E+00	6.76E-01	2.29E+00	6.35E-01	2.64E+00
PD53333c	4.71E+00	1.65E+00	2.65E+00	4.32E-01	4.53E+00	7.92E-01	2.38E+00	2.67E-01	2.43E+00
PD53333d	5.27E+00	2.02E+00	3.40E+00	1.44E-01	4.00E+00	3.49E-01	2.91E+00	2.41E-01	2.47E+00
PD53333e	4.47E+00	8.07E-01	2.94E+00	2.35E-01	3.51E+00	4.96E-01	1.91E+00	2.45E-01	2.11E+00
PD53343a	7.09E-01	3.41E+00	3.52E+00	0.00E+00	8.30E-01	5.44E-01	3.62E+00	4.84E-01	1.56E+00
PD53343c	1.52E+00	4.09E+00	4.14E+00	0.00E+00	6.34E-01	8.51E-01	3.89E+00	1.19E+00	1.75E+00
PD53343d	6.16E-01	4.78E+00	3.72E+00	0.00E+00	6.54E-01	1.01E+00	2.90E+00	1.40E+00	2.40E+00
PD53343e	1.46E+00	6.30E+00	5.26E+00	0.00E+00	9.67E-01	5.43E-01	2.20E+00	1.25E+00	4.01E+00
PD53343f	1.52E-01	4.26E+00	3.36E+00	1.68E-01	1.50E+00	1.22E+00	2.58E+00	1.34E+00	2.57E+00
PD53343g	7.80E-01	3.92E+00	3.65E+00	1.89E-01	1.19E+00	9.69E-01	3.00E+00	1.57E+00	1.34E+00
PD53347a	1.68E+00	1.06E+00	2.47E+00	0.00E+00	4.96E-01	0.00E+00	5.66E-01	4.04E+00	2.85E+00
PD53349a	1.65E+00	2.70E+00	2.84E+00	3.54E-01	1.81E+00	1.36E+00	2.36E+00	1.66E+00	3.00E+00
PD53349c	1.61E+00	2.84E+00	2.30E+00	9.85E-01	3.07E+00	1.61E+00	2.20E+00	1.87E+00	4.26E+00
PD53350a	2.47E+00	8.31E-01	3.36E+00	1.84E-01	1.78E+00	3.59E+00	9.85E-01	1.22E+00	2.02E+00
PD53350c	1.26E+00	2.36E+00	4.61E+00	9.36E-02	3.79E+00	5.48E+00	1.32E+00	7.41E-01	5.68E+00
PD53352a	3.24E+00	2.14E+00	1.73E+00	4.52E-01	3.93E+00	3.78E-01	4.07E+00	3.19E-01	1.16E+00
PD53352c	2.09E+00	2.33E+00	1.80E+00	2.49E-01	3.46E+00	7.60E-01	4.24E+00	7.63E-01	1.12E+00
PD53355a	4.37E-01	1.38E+00	3.01E+00	7.73E-01	2.69E+00	3.09E+00	3.58E+00	0.00E+00	1.29E+00
PD53357a	6.52E-01	3.26E+00	3.98E+00	8.04E-01	2.72E+00	1.00E+00	2.62E+00	1.31E+00	3.08E+00
PD53359a	4.22E-01	1.62E+00	4.34E+00	0.00E+00	4.50E+00	0.00E+00	4.02E+00	5.97E-01	3.02E+00
PD53364a	1.60E+00	2.77E+00	3.39E+00	9.03E-01	5.86E+00	2.16E+00	5.19E+00	7.77E-01	4.04E+00
