MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	1.8501960248329396e-07	1.530551210038311e-07	0.0001047244874807518	2.1943834980220344e-07	9.792483370887339e-05	0.0042034265220831915	2.9250504918199027e-07	2.1895205890132274e-07	0.00042694707188843493
0:homdel:100kb-1Mb	1.9403262085937456e-07	1.419400468405385e-07	0.00020085687814209053	2.0397079119049978e-07	8.104341905912805e-05	0.003349488587142275	2.960761209402918e-07	2.1365085331126466e-07	0.00042114071496101245
0:homdel:>1Mb	4.4224499216483084e-07	4.2293929752190707e-07	6.752589072789305e-07	3.556930127501801e-07	4.385045837196344e-07	3.3256944107051825e-07	7.179943253277088e-07	3.363697244296304e-07	5.231647275039109e-07
1:LOH:0-100kb	0.011053172687992401	0.01920976609374982	0.014458131159499317	0.02523678507655859	0.012926221096782627	0.011415369188180194	0.0133986530912739	0.0027246111410714315	0.020085256089851667
1:LOH:100kb-1Mb	0.023093473673798146	0.0036093530408106743	0.020138800002459902	0.04679915111511946	0.01825667803390388	0.0199919916363433	0.022446044763983083	0.03150649948627688	0.020232117830310016
1:LOH:1Mb-10Mb	0.013654109026637115	0.0004102961544118955	0.004774557600780441	0.06733002927154302	0.02900014190462116	0.0018557910480944883	0.010134733806527692	0.017781931154922007	0.021307344891878587
1:LOH:10Mb-40Mb	1.8238943065185253e-07	3.5560351924424083e-07	3.6158686296872135e-06	0.05357449240831102	0.0011113814934354239	1.0364121489914169e-07	3.805475948134074e-05	2.6745255343740837e-07	0.006216492773247779
1:LOH:>40Mb	0.005121562774156985	0.0011719307792290579	0.0006594638977800571	0.031674696803092955	0.0028417934006898984	0.0037640878299365	0.00019759227143708813	1.2902281332216603e-05	0.01111631324758065
2:LOH:0-100kb	0.005884443433969864	0.0010045192756936317	0.005714444947974471	0.009296622357447574	0.013645035746457097	0.0019466395903361899	0.009094040195011246	1.471966670818503e-07	0.004642326453676588
2:LOH:100kb-1Mb	0.03519836204010062	0.012737138170504637	0.010369877598277526	0.026231273161247372	0.05706508834008872	0.02655459077219348	0.0329425230412744	0.0028949386853426517	0.025594256208278238
2:LOH:1Mb-10Mb	0.06492800490447735	0.003975090124658891	0.018245003307299612	0.01520935294645561	0.10677525479346514	0.11383826224413497	0.027123364937216364	3.681614893162219e-08	0.04457687925359679
2:LOH:10Mb-40Mb	1.1160343547089724e-08	0.011223868296457624	0.03265382973122726	0.01376142778200915	0.062075423741094087	0.01151699122608079	0.05137871569904604	5.619781604515595e-08	0.01911985284891969
2:LOH:>40Mb	0.004948419718606998	0.0149430141089249	0.013503731581218403	0.0001723586459615234	0.01168091483571132	0.001387397932222294	0.03668324965517968	0.007962473085102601	0.0029363212141153383
3-4:LOH:0-100kb	0.018553412464561915	0.0077858861168670045	0.0027993905793796616	0.0014102939391423775	0.004587950065581481	0.00022027564080588036	0.009349460164036713	0.0028204118186231676	0.0017162839096334893
3-4:LOH:100kb-1Mb	0.02612582815811038	0.012355445347784553	0.012354531660630528	0.005785718194076992	0.0187189727675468	0.0009390842573606051	0.013180350448698164	0.035103893214836715	0.012431724164855495
3-4:LOH:1Mb-10Mb	0.08106539856642485	0.019668194805399254	0.01196352618406678	0.004224799989932251	0.018094579528844638	0.002708235186739003	0.012857318702941711	0.07949123097682445	0.018927899874259992
3-4:LOH:10Mb-40Mb	0.009181699673420099	0.0026771468421839016	0.004510970575354918	0.001888552393977534	0.01265903182096757	0.004671751231336429	0.011019717606597474	0.04476882504299283	0.009658840937480165
3-4:LOH:>40Mb	0.0028954400943587187	0.0006904136950980444	0.0027106877435360845	0.000568696267436799	0.012549198828065187	0.0018130655627015813	0.005019002004319759	0.013113472503227398	0.007213023936076439
