Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,2.84e-04,57.0%,47.92%,101.87%,41.19%,93.53,0.3125,0.9434,0.142,0.513,0.798,0.251
2*,0.98,0.97,YES,1.03e-01,42.44%,40.82%,91.02%,35.77%,81.02,0.192,0.5855,0.085,0.365,0.881,0.485
3,0.84,0.6,YES,Most Stab Sigs,34.59%,36.89%,53.28%,30.52%,55.74,0.1536,0.2721,0.061,0.166,0.914,0.761
4,0.79,0.54,NO,N/A,27.07%,30.49%,52.35%,27.77%,47.26,0.1241,0.2767,0.041,0.117,0.942,0.84
5,0.75,0.4,NO,N/A,23.17%,27.68%,51.86%,23.78%,46.84,0.1025,0.2752,0.032,0.114,0.955,0.843
6,0.7,0.14,NO,N/A,20.85%,24.83%,52.2%,21.81%,47.23,0.0857,0.2707,0.027,0.115,0.963,0.843
7,0.54,-0.41,NO,N/A,19.55%,25.09%,49.46%,20.81%,46.82,0.0857,0.2325,0.024,0.115,0.966,0.842
8,0.45,-0.24,NO,N/A,18.19%,21.18%,40.03%,17.83%,39.01,0.0758,0.1578,0.019,0.079,0.974,0.892
9,0.37,-0.49,NO,N/A,16.83%,20.28%,46.19%,16.43%,46.07,0.0732,0.2274,0.019,0.112,0.974,0.844
10,0.32,-0.44,NO,N/A,15.37%,19.45%,41.66%,15.13%,39.63,0.0667,0.1857,0.016,0.076,0.978,0.902
