Sample Names	MutationType	CNV48A	CNV48B
PD53330a	0:homdel:0-100kb	0.0	1.0
PD53330a	0:homdel:100kb-1Mb	0.0	1.0
PD53330a	0:homdel:>1Mb	0.0	1.0
PD53330a	1:LOH:0-100kb	0.0	1.0
PD53330a	1:LOH:100kb-1Mb	0.0	1.0
PD53330a	1:LOH:1Mb-10Mb	0.0	1.0
PD53330a	1:LOH:10Mb-40Mb	0.0	1.0
PD53330a	1:LOH:>40Mb	0.0	1.0
PD53330a	2:LOH:0-100kb	0.0	1.0
PD53330a	2:LOH:100kb-1Mb	0.0	1.0
PD53330a	2:LOH:1Mb-10Mb	0.0	1.0
PD53330a	2:LOH:10Mb-40Mb	0.0	1.0
PD53330a	2:LOH:>40Mb	0.0	1.0
PD53330a	3-4:LOH:0-100kb	0.0	1.0
PD53330a	3-4:LOH:100kb-1Mb	0.0	1.0
PD53330a	3-4:LOH:1Mb-10Mb	0.0	1.0
PD53330a	3-4:LOH:10Mb-40Mb	0.0	1.0
PD53330a	3-4:LOH:>40Mb	0.0	1.0
PD53330a	5-8:LOH:0-100kb	0.0	1.0
PD53330a	5-8:LOH:100kb-1Mb	0.0	1.0
PD53330a	5-8:LOH:1Mb-10Mb	0.0	1.0
PD53330a	5-8:LOH:10Mb-40Mb	0.0	1.0
PD53330a	5-8:LOH:>40Mb	0.0	1.0
PD53330a	9+:LOH:0-100kb	0.0	1.0
PD53330a	9+:LOH:100kb-1Mb	0.0	1.0
PD53330a	9+:LOH:1Mb-10Mb	0.0	1.0
PD53330a	9+:LOH:10Mb-40Mb	0.0	1.0
PD53330a	9+:LOH:>40Mb	0.0	1.0
PD53330a	2:het:0-100kb	0.0	1.0
PD53330a	2:het:100kb-1Mb	0.0	1.0
PD53330a	2:het:1Mb-10Mb	0.0	1.0
PD53330a	2:het:10Mb-40Mb	0.0	1.0
PD53330a	2:het:>40Mb	0.0	1.0
PD53330a	3-4:het:0-100kb	0.0	1.0
PD53330a	3-4:het:100kb-1Mb	0.0	1.0
PD53330a	3-4:het:1Mb-10Mb	0.0	1.0
PD53330a	3-4:het:10Mb-40Mb	0.0	1.0
PD53330a	3-4:het:>40Mb	0.0	1.0
PD53330a	5-8:het:0-100kb	0.0	1.0
PD53330a	5-8:het:100kb-1Mb	0.0	1.0
PD53330a	5-8:het:1Mb-10Mb	0.0	1.0
PD53330a	5-8:het:10Mb-40Mb	0.0	1.0
PD53330a	5-8:het:>40Mb	0.0	1.0
PD53330a	9+:het:0-100kb	0.0	1.0
PD53330a	9+:het:100kb-1Mb	0.0	1.0
PD53330a	9+:het:1Mb-10Mb	0.0	1.0
PD53330a	9+:het:10Mb-40Mb	0.0	1.0
PD53330a	9+:het:>40Mb	0.0	1.0
PD53332a	0:homdel:0-100kb	0.9978548951798913	0.002145104820108662
PD53332a	0:homdel:100kb-1Mb	0.997411359275237	0.0025886407247628918
PD53332a	0:homdel:>1Mb	0.16092384310995822	0.8390761568900417
PD53332a	1:LOH:0-100kb	0.08320341957392467	0.9167965804260751
PD53332a	1:LOH:100kb-1Mb	0.06068357828073627	0.9393164217192638
PD53332a	1:LOH:1Mb-10Mb	0.018406195810836613	0.9815938041891633
PD53332a	1:LOH:10Mb-40Mb	1.188689166410475e-07	0.9999998811310835
PD53332a	1:LOH:>40Mb	0.008723530316351433	0.9912764696836486
PD53332a	2:LOH:0-100kb	0.06480834639001823	0.9351916536099819
PD53332a	2:LOH:100kb-1Mb	0.10964449793454832	0.8903555020654517
PD53332a	2:LOH:1Mb-10Mb	0.2296283756068682	0.7703716243931319
PD53332a	2:LOH:10Mb-40Mb	0.14395462248923058	0.8560453775107693
PD53332a	2:LOH:>40Mb	0.673285581416507	0.326714418583493
PD53332a	3-4:LOH:0-100kb	0.45123162261123717	0.5487683773887628
PD53332a	3-4:LOH:100kb-1Mb	0.27583225036999326	0.7241677496300067
PD53332a	3-4:LOH:1Mb-10Mb	0.4469683899287535	0.5530316100712466
PD53332a	3-4:LOH:10Mb-40Mb	0.3852600372691011	0.6147399627308989
PD53332a	3-4:LOH:>40Mb	0.32656787636085244	0.6734321236391476
PD53332a	5-8:LOH:0-100kb	0.9995209550349633	0.0004790449650367604
PD53332a	5-8:LOH:100kb-1Mb	0.9998212835125577	0.00017871648744226045
PD53332a	5-8:LOH:1Mb-10Mb	0.9997917841191909	0.00020821588080913584
PD53332a	5-8:LOH:10Mb-40Mb	0.09199443619285948	0.9080055638071406
PD53332a	5-8:LOH:>40Mb	0.8051782337571116	0.19482176624288838
PD53332a	9+:LOH:0-100kb	0.9936444518225613	0.006355548177438769
PD53332a	9+:LOH:100kb-1Mb	0.9998798818633007	0.00012011813669931549
PD53332a	9+:LOH:1Mb-10Mb	0.9971553678276645	0.002844632172335615
PD53332a	9+:LOH:10Mb-40Mb	0.9930313691322231	0.006968630867776828
PD53332a	9+:LOH:>40Mb	0.16092384346233943	0.8390761565376605
PD53332a	2:het:0-100kb	0.07902798503960515	0.9209720149603949
PD53332a	2:het:100kb-1Mb	0.016299900885376407	0.9837000991146236
PD53332a	2:het:1Mb-10Mb	9.13907452964461e-05	0.9999086092547036
PD53332a	2:het:10Mb-40Mb	0.0005306348154865477	0.9994693651845133
PD53332a	2:het:>40Mb	1.7170727504123228e-05	0.9999828292724958
PD53332a	3-4:het:0-100kb	0.20372725448298806	0.796272745517012
PD53332a	3-4:het:100kb-1Mb	0.21520152590924863	0.7847984740907513
PD53332a	3-4:het:1Mb-10Mb	0.18088173838281554	0.8191182616171845
PD53332a	3-4:het:10Mb-40Mb	0.4813171110848429	0.5186828889151571
PD53332a	3-4:het:>40Mb	0.8764714091235605	0.12352859087643951
PD53332a	5-8:het:0-100kb	0.266546616884364	0.733453383115636
PD53332a	5-8:het:100kb-1Mb	0.2402171088983207	0.7597828911016793
PD53332a	5-8:het:1Mb-10Mb	0.24052453488329548	0.7594754651167045
PD53332a	5-8:het:10Mb-40Mb	0.3714856339485437	0.6285143660514563
PD53332a	5-8:het:>40Mb	0.9999641601608695	3.5839839130444716e-05
PD53332a	9+:het:0-100kb	0.3834169614015914	0.6165830385984086
PD53332a	9+:het:100kb-1Mb	0.35779139969384705	0.6422086003061529
PD53332a	9+:het:1Mb-10Mb	0.5631063863628569	0.43689361363714313
PD53332a	9+:het:10Mb-40Mb	0.13430735414614692	0.8656926458538531
PD53332a	9+:het:>40Mb	0.5879026783570669	0.41209732164293306
PD53332c	0:homdel:0-100kb	0.0	1.0
PD53332c	0:homdel:100kb-1Mb	0.0	1.0
PD53332c	0:homdel:>1Mb	0.0	1.0
PD53332c	1:LOH:0-100kb	0.0	1.0
PD53332c	1:LOH:100kb-1Mb	0.0	1.0
PD53332c	1:LOH:1Mb-10Mb	0.0	1.0
PD53332c	1:LOH:10Mb-40Mb	0.0	1.0
PD53332c	1:LOH:>40Mb	0.0	1.0
PD53332c	2:LOH:0-100kb	0.0	1.0
PD53332c	2:LOH:100kb-1Mb	0.0	1.0
PD53332c	2:LOH:1Mb-10Mb	0.0	1.0
PD53332c	2:LOH:10Mb-40Mb	0.0	1.0
PD53332c	2:LOH:>40Mb	0.0	1.0
PD53332c	3-4:LOH:0-100kb	0.0	1.0
PD53332c	3-4:LOH:100kb-1Mb	0.0	1.0
PD53332c	3-4:LOH:1Mb-10Mb	0.0	1.0
PD53332c	3-4:LOH:10Mb-40Mb	0.0	1.0
PD53332c	3-4:LOH:>40Mb	0.0	1.0
PD53332c	5-8:LOH:0-100kb	0.0	1.0
PD53332c	5-8:LOH:100kb-1Mb	0.0	1.0
PD53332c	5-8:LOH:1Mb-10Mb	0.0	1.0
PD53332c	5-8:LOH:10Mb-40Mb	0.0	1.0
PD53332c	5-8:LOH:>40Mb	0.0	1.0
PD53332c	9+:LOH:0-100kb	0.0	1.0
PD53332c	9+:LOH:100kb-1Mb	0.0	1.0
PD53332c	9+:LOH:1Mb-10Mb	0.0	1.0
PD53332c	9+:LOH:10Mb-40Mb	0.0	1.0
PD53332c	9+:LOH:>40Mb	0.0	1.0
PD53332c	2:het:0-100kb	0.0	1.0
PD53332c	2:het:100kb-1Mb	0.0	1.0
PD53332c	2:het:1Mb-10Mb	0.0	1.0
PD53332c	2:het:10Mb-40Mb	0.0	1.0
PD53332c	2:het:>40Mb	0.0	1.0
PD53332c	3-4:het:0-100kb	0.0	1.0
PD53332c	3-4:het:100kb-1Mb	0.0	1.0
PD53332c	3-4:het:1Mb-10Mb	0.0	1.0
PD53332c	3-4:het:10Mb-40Mb	0.0	1.0
PD53332c	3-4:het:>40Mb	0.0	1.0
PD53332c	5-8:het:0-100kb	0.0	1.0
PD53332c	5-8:het:100kb-1Mb	0.0	1.0
PD53332c	5-8:het:1Mb-10Mb	0.0	1.0
PD53332c	5-8:het:10Mb-40Mb	0.0	1.0
PD53332c	5-8:het:>40Mb	0.0	1.0
PD53332c	9+:het:0-100kb	0.0	1.0
PD53332c	9+:het:100kb-1Mb	0.0	1.0
PD53332c	9+:het:1Mb-10Mb	0.0	1.0
PD53332c	9+:het:10Mb-40Mb	0.0	1.0
PD53332c	9+:het:>40Mb	0.0	1.0
PD53333a	0:homdel:0-100kb	0.9999941528770359	5.847122964043079e-06
PD53333a	0:homdel:100kb-1Mb	0.9999929407584384	7.05924156163885e-06
PD53333a	0:homdel:>1Mb	0.9860160897985427	0.013983910201457268
PD53333a	1:LOH:0-100kb	0.9709014987714927	0.029098501228507333
PD53333a	1:LOH:100kb-1Mb	0.9595988174272301	0.04040118257276996
PD53333a	1:LOH:1Mb-10Mb	0.8733208248763848	0.12667917512361515
PD53333a	1:LOH:10Mb-40Mb	4.37004326910734e-05	0.9999562995673089
PD53333a	1:LOH:>40Mb	0.7638972236140561	0.23610277638594385
PD53333a	2:LOH:0-100kb	0.9622329095900224	0.03776709040997759
PD53333a	2:LOH:100kb-1Mb	0.9783901225964388	0.021609877403561344
PD53333a	2:LOH:1Mb-10Mb	0.9909573994032593	0.009042600596740615
PD53333a	2:LOH:10Mb-40Mb	0.9840828079568341	0.01591719204316596
PD53333a	2:LOH:>40Mb	0.9986818653066735	0.0013181346933264762
